"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","CG475","CG988","AB3","AT6","CG415","CG102","CG412","ICMP10754","SBV_10752","CG1000","K306","NCPPB3554","CG516"
"g002450","g002450",NA,"hypothetical protein",50,29,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",672,774,682.48,85,4,"CG475_04789","CG988_03422","AB3_01116","AT6_02457","CG415_02707","CG102_00575","CG412_04763","ICMP10754_00027","SBV_10752_05000","CG1000_04919","K306_00793","NCPPB3554_05018","CG516_01446"
"g001764_000001","g001764",NA,"hypothetical protein",60,34,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1131,1203,1156.75,86,1,"CG475_02416","CG988_05331","AB3_02190","AT6_02023","CG415_02319","CG102_04819","CG412_02472","ICMP10754_02034","SBV_10752_04037","CG1000_00418","K306_01694","NCPPB3554_03018","CG516_02846"
"g002935_000002","g002935","mkl","putative ribonucleotide transport ATP-binding protein mkl",70,26,311,1,1,1,0,0,0,0,311,"putative ribonucleotide transport ATP-binding protein mkl(179):putative phospholipid import ATP-binding protein MlaF(132)","mkl(179):mlaF(132)",810,876,849.97,86,2,"CG475_02417","CG988_05330","AB3_02189","AT6_02024","CG415_02318","CG102_04818","CG412_02473","ICMP10754_02035","SBV_10752_04038","CG1000_00419","K306_01693","NCPPB3554_03019","CG516_02845"
"g004094","g004094",NA,"hypothetical protein",50,19,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1368,1374,1370.55,86,3,"CG475_02418","CG988_05329","AB3_02188","AT6_02025","CG415_02317","CG102_04817","CG412_02474","ICMP10754_02036","SBV_10752_04039","CG1000_00420","K306_01692","NCPPB3554_03020","CG516_02844"
"g001262_000001","g001262",NA,"hypothetical protein",60,39,311,1,1,1,1,0,1,0,311,"hypothetical protein(312)","NA(312)",228,666,610.02,86,4,"CG475_02419","CG988_05328","AB3_02187","AT6_02026","CG415_02316","CG102_04816","CG412_02475","ICMP10754_02037","SBV_10752_04040","CG1000_00421","K306_01691","NCPPB3554_03021","CG516_02843"
"g001046","g001046",NA,"hypothetical protein",50,42,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1002,1191,1110.29,87,1,"CG475_04430","CG988_00256","AB3_03139","AT6_04201","CG415_02074","CG102_01446","CG412_04312","ICMP10754_05331","SBV_10752_04238","CG1000_00620","K306_01492","NCPPB3554_03220","CG516_02644"
"g001337_1_000001","g001337_1",NA,"hypothetical protein",60,37,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",603,618,609.73,87,2,"CG475_04428","CG988_00258","AB3_03141","AT6_04203","CG415_02076","CG102_01448","CG412_04310","ICMP10754_05329","SBV_10752_04236","CG1000_00618","K306_01494","NCPPB3554_03218","CG516_02646"
"g001537_000002","g001537","ydjA","Putative NAD(P)H nitroreductase YdjA",70,36,311,1,1,1,0,0,0,0,311,"Putative NAD(P)H nitroreductase YdjA(311)","ydjA(311)",582,597,584.15,87,3,"CG475_04427","CG988_00259","AB3_03142","AT6_04204","CG415_02077","CG102_01449","CG412_04309","ICMP10754_05328","SBV_10752_04235","CG1000_00617","K306_01495","NCPPB3554_03217","CG516_02647"
"g002381_000001","g002381",NA,"hypothetical protein",60,29,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",786,1197,1003.01,87,4,"CG475_04426","CG988_00260","AB3_03143","AT6_04205","CG415_02078","CG102_01450","CG412_04308","ICMP10754_05327","SBV_10752_04234","CG1000_00616","K306_01496","NCPPB3554_03216","CG516_02648"
"g001269_000001","g001269","lgt","Prolipoprotein diacylglyceryl transferase",60,39,311,1,1,1,0,0,0,0,311,"Prolipoprotein diacylglyceryl transferase(311)","lgt(311)",813,969,860.66,88,1,"CG475_00865","CG988_03313","AB3_00260","AT6_01094","CG415_02602","CG102_00472","CG412_04660","ICMP10754_00130","SBV_10752_05103","CG1000_05022","K306_00896","NCPPB3554_05121","CG516_01011"
"g001939_000002","g001939",NA,"hypothetical protein",70,33,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",261,468,274.87,88,2,"CG475_00864","CG988_03312","AB3_00261","AT6_01093","CG415_02601","CG102_00471","CG412_04659","ICMP10754_00131","SBV_10752_05104","CG1000_05023","K306_00897","NCPPB3554_05122","CG516_01010"
"g005723_000003","g005723",NA,"hypothetical protein",80,13,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",501,501,501,88,3,"CG475_00863","CG988_03311","AB3_00262","AT6_01092","CG415_02600","CG102_00470","CG412_04658","ICMP10754_00132","SBV_10752_05105","CG1000_05024","K306_00898","NCPPB3554_05123","CG516_01009"
"g001027_1_000005","g001027_1","csaA","putative chaperone CsaA",80,42,311,1,1,1,0,0,0,0,311,"putative chaperone CsaA(311)","csaA(311)",342,360,345.02,88,4,"CG475_00861","CG988_03309","AB3_00264","AT6_01090","CG415_02598","CG102_00468","CG412_04656","ICMP10754_00134","SBV_10752_05107","CG1000_05026","K306_00900","NCPPB3554_05125","CG516_01007"
"g002079_000002","g002079","atm1","ATM1-type heavy metal exporter",70,29,311,1,1,1,0,0,0,0,311,"ATM1-type heavy metal exporter(310):hypothetical protein(1)","atm1(310):NA(1)",180,1902,1881.73,89,1,"CG475_02108","CG988_04533","AB3_05091","AT6_05122","CG415_04872","CG102_04402","CG412_02164","ICMP10754_01744","SBV_10752_00246","CG1000_00109","K306_02004","NCPPB3554_02708","CG516_00373"
"g003440_000001","g003440","psd","Phosphatidylserine decarboxylase proenzyme",60,23,311,1,1,1,2,0,2,0,311,"Phosphatidylserine decarboxylase proenzyme(311):hypothetical protein(2)","psd(311):NA(2)",189,918,699.06,89,2,"CG475_02107","CG988_04534","AB3_05092","AT6_05123","CG415_04871","CG102_04401","CG412_02163","ICMP10754_01743","SBV_10752_00247","CG1000_00108","K306_02005","NCPPB3554_02707","CG516_00372"
"g002302_000002","g002302",NA,"hypothetical protein",70,29,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",849,909,874.38,89,3,"CG475_02106","CG988_04535","AB3_05093","AT6_05124","CG415_04870","CG102_04400","CG412_02162","ICMP10754_01742","SBV_10752_00248","CG1000_00107","K306_02006","NCPPB3554_02706","CG516_00371"
"g001576_000001","g001576",NA,"hypothetical protein",60,36,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",129,219,137.9,89,4,"CG475_02105","CG988_04536","AB3_05094","AT6_05125","CG415_04869","CG102_04399","CG412_02161","ICMP10754_01741","SBV_10752_00249","CG1000_00106","K306_02007","NCPPB3554_02705","CG516_00370"
"g001157_000002","g001157",NA,"hypothetical protein",70,39,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1605,1740,1628.1,90,1,"CG475_04917","CG988_03544","AB3_00055","AT6_00086","CG415_02832","CG102_00920","CG412_01047","ICMP10754_04393","SBV_10752_03017","CG1000_01967","K306_00664","NCPPB3554_03639","CG516_04407"
"g001743_000003","g001743",NA,"hypothetical protein",80,34,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1152,1179,1167.26,90,2,"CG475_04916","CG988_03543","AB3_00054","AT6_00085","CG415_02831","CG102_00921","CG412_01048","ICMP10754_04392","SBV_10752_03016","CG1000_01966","K306_00665","NCPPB3554_03638","CG516_04408"
"g004165_1_000007","g004165_1","lptB","Lipopolysaccharide export system ATP-binding protein LptB",80,17,311,1,1,1,1,0,1,0,311,"Lipopolysaccharide export system ATP-binding protein LptB(166):Arginine transport ATP-binding protein ArtM(137):Methionine import ATP-binding protein MetN(5):Glutamine transport ATP-binding protein GlnQ(2):Ribose import ATP-binding protein RbsA(1):Vitamin B12 import ATP-binding protein BtuD(1)","lptB(166):artM(137):metN(5):glnQ(2):btuD(1):rbsA(1)",264,762,756.8,90,3,"CG475_04915","CG988_03542","AB3_00053","AT6_00084","CG415_02830","CG102_00922","CG412_01049","ICMP10754_04391","SBV_10752_03015","CG1000_01965","K306_00666","NCPPB3554_03637","CG516_04409"
"g002576_1_000007","g002576_1","livF","High-affinity branched-chain amino acid transport ATP-binding protein LivF",80,25,311,1,1,1,1,0,1,0,311,"High-affinity branched-chain amino acid transport ATP-binding protein LivF(312)","livF(312)",255,702,693,90,4,"CG475_04914","CG988_03540","AB3_00051","AT6_00082","CG415_02829","CG102_00923","CG412_01050","ICMP10754_04390","SBV_10752_03014","CG1000_01964","K306_00667","NCPPB3554_03636","CG516_04410"
"g004924_000002","g004924",NA,"hypothetical protein",70,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",246,261,254.85,91,1,"CG475_03328","CG988_04326","AB3_01617","AT6_03465","CG415_04296","CG102_03525","CG412_01663","ICMP10754_01243","SBV_10752_00747","CG1000_03605","K306_02505","NCPPB3554_02198","CG516_05387"
"g003692_000003","g003692","icl1","Isocitrate lyase 1",80,19,311,1,1,1,3,0,3,0,311,"Isocitrate lyase 1(314)","icl1(314)",393,1290,1276.81,91,2,"CG475_03330","CG988_04324","AB3_01615","AT6_03467","CG415_04294","CG102_03527","CG412_01665","ICMP10754_01245","SBV_10752_00745","CG1000_03607","K306_02503","NCPPB3554_02200","CG516_05389"
"g001755_000001","g001755","ramB","HTH-type transcriptional regulator RamB",60,34,311,1,1,1,0,0,0,0,311,"HTH-type transcriptional regulator RamB(311)","ramB(311)",1410,1446,1415.35,91,3,"CG475_03331","CG988_04323","AB3_01614","AT6_03468","CG415_04293","CG102_03528","CG412_01666","ICMP10754_01246","SBV_10752_00744","CG1000_03608","K306_02502","NCPPB3554_02201","CG516_05390"
"g003256","g003256","spuD","Putrescine-binding periplasmic protein SpuD",50,24,311,1,1,2,1,1,1,1,312,"Putrescine-binding periplasmic protein SpuD(224):Putrescine-binding periplasmic protein(88):hypothetical protein(1)","spuD(224):potF(88):NA(1)",390,1116,1097.67,91,4,"CG475_03333","CG988_04321","AB3_01612","AT6_03470","CG415_04291","CG102_03530","CG412_01668","ICMP10754_01248","SBV_10752_00742","CG1000_03610","K306_02500","NCPPB3554_02203","CG516_05392"
"g001162_000002","g001162","tas","Protein tas",70,40,311,1,1,1,0,0,0,0,311,"Protein tas(311)","tas(311)",795,1188,1043.82,92,1,"CG475_02147","CG988_04494","AB3_05052","AT6_05083","CG415_04910","CG102_04442","CG412_02204","ICMP10754_01784","SBV_10752_00206","CG1000_00149","K306_01964","NCPPB3554_02748","CG516_00411"
"g001644_000002","g001644","fabD","Malonyl CoA-acyl carrier protein transacylase",70,35,311,1,1,1,0,0,0,0,311,"Malonyl CoA-acyl carrier protein transacylase(311)","fabD(311)",942,984,944.88,92,2,"CG475_02148","CG988_04493","AB3_05051","AT6_05082","CG415_04911","CG102_04443","CG412_02205","ICMP10754_01785","SBV_10752_00205","CG1000_00150","K306_01963","NCPPB3554_02749","CG516_00412"
"g004885_000004","g004885","fabG","3-oxoacyl-[acyl-carrier-protein] reductase FabG",90,16,311,1,1,1,0,0,0,0,311,"3-oxoacyl-[acyl-carrier-protein] reductase FabG(311)","fabG(311)",738,738,738,92,3,"CG475_02149","CG988_04492","AB3_05050","AT6_05081","CG415_04912","CG102_04444","CG412_02206","ICMP10754_01786","SBV_10752_00204","CG1000_00151","K306_01962","NCPPB3554_02750","CG516_00413"
"g002318_1_000040","g002318_1","acpP","Acyl carrier protein AcpP",95,3,311,1,1,1,0,0,0,0,311,"Acyl carrier protein AcpP(311)","acpP(311)",237,285,237.15,92,4,"CG475_02150","CG988_04491","AB3_05049","AT6_05080","CG415_04913","CG102_04445","CG412_02207","ICMP10754_01787","SBV_10752_00203","CG1000_00152","K306_01961","NCPPB3554_02751","CG516_00414"
"g010881_000004","g010881","divK","Polar-differentiation response regulator DivK",90,6,311,1,1,1,0,0,0,0,311,"Polar-differentiation response regulator DivK(311)","divK(311)",372,402,376.94,93,1,"CG475_02303","CG988_05444","AB3_01000","AT6_03125","CG415_05066","CG102_04933","CG412_02358","ICMP10754_01939","SBV_10752_00050","CG1000_00304","K306_01808","NCPPB3554_02904","CG516_02962"
"g002205_000002","g002205","pleD","Response regulator PleD",70,30,311,1,1,1,0,0,0,0,311,"Response regulator PleD(311)","pleD(311)",1368,1374,1371.58,93,2,"CG475_02304","CG988_05443","AB3_01001","AT6_03124","CG415_05067","CG102_04932","CG412_02359","ICMP10754_01940","SBV_10752_00049","CG1000_00305","K306_01807","NCPPB3554_02905","CG516_02961"
"g017342_000004","g017342","rpmG","50S ribosomal protein L33",90,3,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L33(311)","rpmG(311)",168,168,168,93,3,"CG475_02305","CG988_05442","AB3_01002","AT6_03123","CG415_05068","CG102_04931","CG412_02360","ICMP10754_01941","SBV_10752_00048","CG1000_00306","K306_01806","NCPPB3554_02906","CG516_02960"
"g002653_000001","g002653","ycaD","putative MFS-type transporter YcaD",60,27,311,1,1,1,0,0,0,0,311,"putative MFS-type transporter YcaD(311)","ycaD(311)",1173,1185,1179.23,93,4,"CG475_02306","CG988_05441","AB3_01003","AT6_03122","CG415_05069","CG102_04930","CG412_02361","ICMP10754_01942","SBV_10752_00047","CG1000_00307","K306_01805","NCPPB3554_02907","CG516_02959"
"g002091_1_000006","g002091_1","frcA","Fructose import ATP-binding protein FrcA",80,21,311,1,1,2,1,1,1,1,312,"Fructose import ATP-binding protein FrcA(313)","frcA(313)",408,819,783.11,94,1,"CG475_01537","CG988_00056","AB3_01188","AT6_01837","CG415_01077","CG102_02589","CG412_00623","ICMP10754_00944","SBV_10752_01640","CG1000_02778","K306_03704","NCPPB3554_01182","CG516_01328"
"g002414_1_000001","g002414_1","frcC","Fructose import permease protein FrcC",60,21,311,1,1,2,0,1,0,1,312,"Fructose import permease protein FrcC(312)","frcC(312)",531,1083,1073.56,94,2,"CG475_01536","CG988_00055","AB3_01189","AT6_01838","CG415_01076","CG102_02588","CG412_00624","ICMP10754_00943","SBV_10752_01641","CG1000_02777","K306_03705","NCPPB3554_01183","CG516_01329"
"g003064_1_000008","g003064_1","frcB","Fructose import binding protein FrcB",80,18,311,1,1,1,0,0,0,0,311,"Fructose import binding protein FrcB(311)","frcB(311)",417,1122,1022.98,94,3,"CG475_01535","CG988_00054","AB3_01190","AT6_01839","CG415_01075","CG102_02587","CG412_00625","ICMP10754_00942","SBV_10752_01642","CG1000_02776","K306_03706","NCPPB3554_01184","CG516_01330"
"g002513_1_000003","g002513_1","nanK","hypothetical protein",70,27,311,1,1,1,0,0,0,0,311,"hypothetical protein(301):N-acetylmannosamine kinase(10)","NA(301):nanK(10)",1224,1266,1236.72,94,4,"CG475_01534","CG988_00053","AB3_01191","AT6_01840","CG415_01074","CG102_02586","CG412_00626","ICMP10754_00941","SBV_10752_01643","CG1000_02775","K306_03707","NCPPB3554_01185","CG516_01331"
"g002981_1_000004","g002981_1","gyrB","DNA gyrase subunit B",80,23,311,1,1,1,0,0,0,0,311,"DNA gyrase subunit B(311)","gyrB(311)",1872,2178,2101.17,95,1,"CG475_04433","CG988_00253","AB3_03136","AT6_04198","CG415_02070","CG102_01443","CG412_04315","ICMP10754_05334","SBV_10752_04241","CG1000_00623","K306_01489","NCPPB3554_03223","CG516_02640"
"g000413_000001","g000413",NA,"hypothetical protein",60,58,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",828,987,889.05,95,2,"CG475_04434","CG988_00252","AB3_03135","AT6_04197","CG415_02069","CG102_01442","CG412_04316","ICMP10754_05335","SBV_10752_04242","CG1000_00624","K306_01488","NCPPB3554_03224","CG516_02639"
"g001695_1_000005","g001695_1","tpiA","Triosephosphate isomerase",70,23,311,1,1,1,0,0,0,0,311,"Triosephosphate isomerase(311)","tpiA(311)",729,771,768.57,95,3,"CG475_04436","CG988_00250","AB3_03133","AT6_04195","CG415_02067","CG102_01440","CG412_04318","ICMP10754_05337","SBV_10752_04244","CG1000_00626","K306_01486","NCPPB3554_03226","CG516_02637"
"g001800_000002","g001800","secG","hypothetical protein",70,24,311,1,1,1,1,0,1,0,311,"hypothetical protein(308):Protein-export membrane protein SecG(4)","NA(308):secG(4)",144,549,460.05,95,4,"CG475_04437","CG988_00249","AB3_03132","AT6_04194","CG415_02066","CG102_01439","CG412_04319","ICMP10754_05338","SBV_10752_04245","CG1000_00627","K306_01485","NCPPB3554_03227","CG516_02636"
"g002887_1_000003","g002887_1","fas6","Cytokinin riboside 5'-monophosphate phosphoribohydrolase",70,24,311,1,1,1,0,0,0,0,311,"Cytokinin riboside 5'-monophosphate phosphoribohydrolase(309):LOG family protein YvdD(2)","fas6(309):yvdD(2)",546,702,583.29,96,1,"CG475_02110","CG988_04531","AB3_05089","AT6_05120","CG415_04874","CG102_04404","CG412_02166","ICMP10754_01746","SBV_10752_00244","CG1000_00111","K306_02002","NCPPB3554_02710","CG516_00375"
"g001543_000001","g001543","rarD","Protein RarD",60,36,311,1,1,1,1,0,1,0,311,"Protein RarD(312)","rarD(312)",390,969,908.83,96,2,"CG475_02111","CG988_04530","AB3_05088","AT6_05119","CG415_04875","CG102_04405","CG412_02167","ICMP10754_01747","SBV_10752_00243","CG1000_00112","K306_02001","NCPPB3554_02711","CG516_00376"
"g000633_1_000002","g000633_1","pip","Proline iminopeptidase",70,50,311,1,1,1,0,0,0,0,311,"Proline iminopeptidase(311)","pip(311)",903,966,959.42,96,3,"CG475_02113","CG988_04528","AB3_05086","AT6_05117","CG415_04877","CG102_04407","CG412_02169","ICMP10754_01749","SBV_10752_00241","CG1000_00114","K306_01999","NCPPB3554_02713","CG516_00378"
"g000643_000001","g000643",NA,"hypothetical protein",60,50,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",441,477,467.41,96,4,"CG475_02115","CG988_04526","AB3_05084","AT6_05115","CG415_04879","CG102_04409","CG412_02171","ICMP10754_01751","SBV_10752_00239","CG1000_00116","K306_01997","NCPPB3554_02715","CG516_00380"
"g005310_000004","g005310","lysC","Aspartate kinase",90,14,311,1,1,1,0,0,0,0,311,"Aspartate kinase(263):Aspartate kinase Ask_LysC(48)","NA(263):lysC(48)",279,1428,1285.09,97,1,"CG475_01905","CG988_02148","AB3_03586","AT6_02945","CG415_01349","CG102_03312","CG412_01427","ICMP10754_02295","SBV_10752_02846","CG1000_03522","K306_03646","NCPPB3554_01447","CG516_04596"
"g004262_000003","g004262","ptsP","Phosphoenolpyruvate-dependent phosphotransferase system",80,16,311,1,1,1,0,0,0,0,311,"Phosphoenolpyruvate-dependent phosphotransferase system(310):Phosphoenolpyruvate-protein phosphotransferase(1)","ptsP(310):ptsI(1)",1197,2286,2264.13,97,2,"CG475_01906","CG988_02147","AB3_03585","AT6_02946","CG415_01348","CG102_03311","CG412_01426","ICMP10754_02296","SBV_10752_02847","CG1000_03521","K306_03647","NCPPB3554_01446","CG516_04595"
"g002888_000003","g002888","prfA","Peptide chain release factor RF1",80,22,311,1,1,1,1,0,1,0,311,"Peptide chain release factor RF1(312)","prfA(312)",273,1083,1077.02,97,3,"CG475_01907","CG988_02146","AB3_03584","AT6_02947","CG415_01347","CG102_03310","CG412_01425","ICMP10754_02297","SBV_10752_02848","CG1000_03520","K306_03648","NCPPB3554_01445","CG516_04594"
"g000193","g000193","prmC","Release factor glutamine methyltransferase",50,72,311,1,1,1,1,0,1,0,311,"Release factor glutamine methyltransferase(312)","prmC(312)",291,882,868.63,97,4,"CG475_01908","CG988_02145","AB3_03583","AT6_02948","CG415_01346","CG102_03309","CG412_01424","ICMP10754_02298","SBV_10752_02849","CG1000_03519","K306_03649","NCPPB3554_01444","CG516_04593"
"g001504_1_000004","g001504_1","gcd","Quinoprotein glucose dehydrogenase",70,32,311,1,1,1,0,0,0,0,311,"Quinoprotein glucose dehydrogenase(311)","gcd(311)",2313,2433,2337.06,98,1,"CG475_03754","CG988_02575","AB3_00833","AT6_00640","CG415_01670","CG102_02796","CG412_04428","ICMP10754_05027","SBV_10752_04887","CG1000_02897","K306_01080","NCPPB3554_01415","CG516_04898"
"g000844_000002","g000844","pncA","Nicotinamidase",70,46,311,1,1,1,0,0,0,0,311,"Nicotinamidase(311)","pncA(311)",624,627,626.21,98,2,"CG475_03755","CG988_02574","AB3_00834","AT6_00641","CG415_01669","CG102_02797","CG412_04429","ICMP10754_05026","SBV_10752_04886","CG1000_02898","K306_01079","NCPPB3554_01414","CG516_04899"
"g000150","g000150","ygaZ","hypothetical protein",50,68,311,1,1,1,310,0,310,0,311,"hypothetical protein(396):Inner membrane protein YgaZ(225)","NA(396):ygaZ(225)",309,1032,517.25,98,3,"(CG475_03761:CG475_03762)","(CG988_02568:CG988_02569)","(AB3_00839:AB3_00840)","(AT6_00646:AT6_00647)","(CG415_01663:CG415_01664)","(CG102_02802:CG102_02803)","(CG412_04434:CG412_04435)","(ICMP10754_05020:ICMP10754_05021)","(SBV_10752_04880:SBV_10752_04881)","(CG1000_02903:CG1000_02904)","(K306_01073:K306_01074)","(NCPPB3554_01408:NCPPB3554_01409)","(CG516_04904:CG516_04905)"
"g001035_000002","g001035",NA,"hypothetical protein",70,40,311,1.06,1,2,1,19,1,19,330,"hypothetical protein(331)","NA(331)",390,2013,1823.94,98,4,"CG475_03764","CG988_02566","AB3_00842","AT6_00649","CG415_01661","CG102_02805","CG412_04437","ICMP10754_05018","SBV_10752_04878","CG1000_02906","K306_01071","NCPPB3554_01406","CG516_04907"
"g004283_000003","g004283","sucC","Succinate--CoA ligase [ADP-forming] subunit beta",80,18,311,1,1,1,0,0,0,0,311,"Succinate--CoA ligase [ADP-forming] subunit beta(311)","sucC(311)",1194,1197,1195.2,99,1,"CG475_04200","CG988_02082","AB3_03713","AT6_02819","CG415_04643","CG102_00134","CG412_03208","ICMP10754_03361","SBV_10752_03801","CG1000_04825","K306_03458","NCPPB3554_04334","CG516_03838"
"g008456_000003","g008456","sucD","Succinate--CoA ligase [ADP-forming] subunit alpha",80,8,311,1,1,1,0,0,0,0,311,"Succinate--CoA ligase [ADP-forming] subunit alpha(311)","sucD(311)",903,903,903,99,2,"CG475_04202","CG988_02084","AB3_03711","AT6_02821","CG415_04645","CG102_00132","CG412_03206","ICMP10754_03363","SBV_10752_03803","CG1000_04823","K306_03460","NCPPB3554_04336","CG516_03840"
"g004462_000003","g004462","sucA","2-oxoglutarate dehydrogenase E1 component",80,17,311,1,1,1,0,0,0,0,311,"2-oxoglutarate dehydrogenase E1 component(311)","sucA(311)",2985,3084,2996.01,99,3,"CG475_04203","CG988_02085","AB3_03710","AT6_02822","CG415_04646","CG102_00131","CG412_03205","ICMP10754_03364","SBV_10752_03804","CG1000_04822","K306_03461","NCPPB3554_04337","CG516_03841"
"g003858_000003","g003858","sucB","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex",80,20,311,1,1,1,2,0,2,0,311,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex(313)","sucB(313)",543,1254,1225.33,99,4,"CG475_04204","CG988_02086","AB3_03709","AT6_02823","CG415_04647","CG102_00130","CG412_03204","ICMP10754_03365","SBV_10752_03805","CG1000_04821","K306_03462","NCPPB3554_04338","CG516_03842"
"g003362_000002","g003362",NA,"hypothetical protein",70,23,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",552,1353,1331.34,100,1,"CG475_02210","CG988_04431","AB3_04989","AT6_05020","CG415_04973","CG102_04505","CG412_02267","ICMP10754_01847","SBV_10752_00143","CG1000_00212","K306_01901","NCPPB3554_02811","CG516_03054"
"g002483_1_000014","g002483_1","glyA2","Serine hydroxymethyltransferase 2",90,12,311,1,1,1,1,0,1,0,311,"Serine hydroxymethyltransferase 2(311):Serine hydroxymethyltransferase(1)","glyA2(311):glyA(1)",564,1299,1288.24,100,2,"CG475_02211","CG988_04430","AB3_04988","AT6_05019","CG415_04974","CG102_04506","CG412_02268","ICMP10754_01848","SBV_10752_00142","CG1000_00213","K306_01900","NCPPB3554_02812","CG516_03053"
"g009149_000004","g009149","nrdR","Transcriptional repressor NrdR",90,7,311,1,1,1,0,0,0,0,311,"Transcriptional repressor NrdR(311)","nrdR(311)",477,480,478.69,100,3,"CG475_02212","CG988_04429","AB3_04987","AT6_05018","CG415_04975","CG102_04507","CG412_02269","ICMP10754_01849","SBV_10752_00141","CG1000_00214","K306_01899","NCPPB3554_02813","CG516_03052"
"g000066_1_000001","g000066_1","ribD","Riboflavin biosynthesis protein RibD",60,89,311,1.01,1,2,6,4,6,4,315,"Riboflavin biosynthesis protein RibD(193):tRNA-specific adenosine deaminase(115):hypothetical protein(13)","ribD(193):tadA(115):NA(13)",219,1323,1135.08,100,4,"CG475_02213","CG988_04428","AB3_04986","AT6_05017","CG415_04976","CG102_04508","CG412_02270","ICMP10754_01850","SBV_10752_00140","CG1000_00215","K306_01898","NCPPB3554_02814","CG516_03051"
"g002106_000001","g002106","ctaA","Heme A synthase",60,30,311,1,1,1,0,0,0,0,311,"Heme A synthase(311)","ctaA(311)",1095,1134,1110.75,101,1,"CG475_02243","CG988_05517","AB3_00940","AT6_02230","CG415_05007","CG102_04537","CG412_02299","ICMP10754_01880","SBV_10752_00110","CG1000_00245","K306_01868","NCPPB3554_02844","CG516_03021"
"g001936","g001936",NA,"hypothetical protein",50,33,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",210,282,213.25,101,2,"CG475_02242","CG988_05518","AB3_00939","AT6_02231","CG415_05006","CG102_04536","CG412_02298","ICMP10754_01879","SBV_10752_00111","CG1000_00244","K306_01869","NCPPB3554_02843","CG516_03022"
"g000819","g000819",NA,"hypothetical protein",50,46,311,1,1,1,2,0,2,0,311,"hypothetical protein(314)","NA(314)",249,2286,2081.29,101,3,"CG475_02240","CG988_05520","AB3_00937","AT6_02233","CG415_05004","CG102_04534","CG412_02296","ICMP10754_01877","SBV_10752_00113","CG1000_00242","K306_01871","NCPPB3554_02841","CG516_03024"
"g003202_000002","g003202",NA,"hypothetical protein",70,24,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",417,666,576.73,101,4,"CG475_02239","CG988_05521","AB3_00936","AT6_02234","CG415_05003","CG102_04533","CG412_02295","ICMP10754_01876","SBV_10752_00114","CG1000_00241","K306_01872","NCPPB3554_02840","CG516_03025"
"g001327_000001","g001327","emrK","putative multidrug resistance protein EmrK",60,38,311,1.01,1,2,0,2,0,2,313,"putative multidrug resistance protein EmrK(258):Multidrug export protein EmrA(47):p-hydroxybenzoic acid efflux pump subunit AaeA(7):hypothetical protein(1)","emrK(258):emrA(47):aaeA(7):NA(1)",192,1347,1228.37,102,1,"CG475_04693","CG988_05131","AB3_05320","AT6_00934","CG415_00909","CG102_04699","CG412_00784","ICMP10754_00261;ICMP10754_00458","SBV_10752_03281","CG1000_02311","K306_00400","NCPPB3554_03903","CG516_03465"
"g000703_1_000007","g000703_1",NA,"hypothetical protein",80,26,311,1.01,1,2,1,2,1,2,313,"hypothetical protein(314)","NA(314)",297,768,753.29,102,2,"CG475_04695","CG988_05129","AB3_05322","AT6_00936","CG415_00907","CG102_04701","CG412_00782","ICMP10754_00263;ICMP10754_00456","SBV_10752_03283","CG1000_02313","K306_00398","NCPPB3554_03905","CG516_03467"
