"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","R90","R891"
"g001160_000002","g001160","fabF","hypothetical protein",70,38,311,1,1,1,2,0,2,0,311,"hypothetical protein(269):Actinorhodin polyketide putative beta-ketoacyl synthase 2(43):3-oxoacyl-[acyl-carrier-protein] synthase 2(1)","NA(312):fabF(1)",267,1209,1192.22,133,3,"R90_01899","R891_00055"
"g000733_000002","g000733","dcp","Dipeptidyl carboxypeptidase",70,46,311,1.01,1,2,2,2,2,2,313,"Dipeptidyl carboxypeptidase(313):hypothetical protein(2)","dcp(313):NA(2)",126,2352,2066.54,134,1,"R90_03071","R891_01445"
"g005568_000004","g005568","typA","GTP-binding protein TypA/BipA",90,10,311,1,1,1,0,0,0,0,311,"GTP-binding protein TypA/BipA(311)","typA(311)",735,1935,1836.69,134,2,"R90_03072","R891_01446"
"g003755_000002","g003755",NA,"hypothetical protein",70,20,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",324,516,481.99,134,3,"R90_03073","R891_01447"
"g005379_000003","g005379","ispB","Octaprenyl diphosphate synthase",80,14,311,1,1,1,0,0,0,0,311,"Octaprenyl diphosphate synthase(311)","ispB(311)",1017,1077,1017.19,135,1,"R90_03492","R891_02216"
"g002343_000001","g002343","bepA","hypothetical protein",60,29,311,1,1,1,1,0,1,0,311,"hypothetical protein(169):Beta-barrel assembly-enhancing protease(139):Lipopolysaccharide assembly protein B(4)","NA(169):bepA(139):lapB(4)",393,2064,1864.64,135,2,"R90_03493","R891_02217"
"g000122","g000122","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase",50,78,311,1,1,1,0,0,0,0,311,"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase(311)","ispE(311)",861,942,893.3,135,3,"R90_03494","R891_02218"
"g004098_000003","g004098","yejB","Inner membrane ABC transporter permease protein YejB",80,19,311,1,1,1,0,0,0,0,311,"Inner membrane ABC transporter permease protein YejB(311)","yejB(311)",1089,1164,1093.56,136,1,"R90_03919","R891_02629"
"g003195_000003","g003195","yejE","Inner membrane ABC transporter permease protein YejE",80,23,311,1,1,1,0,0,0,0,311,"Inner membrane ABC transporter permease protein YejE(311)","yejE(311)",1131,1155,1145.82,136,2,"R90_03918","R891_02628"
"g001843_1_000005","g001843_1","yejF","putative ABC transporter ATP-binding protein YejF",80,30,311,1,1,1,0,0,0,0,311,"putative ABC transporter ATP-binding protein YejF(311)","yejF(311)",1209,1659,1636.74,136,3,"R90_03917","R891_02627"
"g001861","g001861",NA,"hypothetical protein",50,31,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",972,1236,1116.93,137,1,"R90_02027","R891_00183"
"g000626","g000626","dacD","D-alanyl-D-alanine carboxypeptidase DacD",50,48,311,1,1,1,1,0,1,0,311,"D-alanyl-D-alanine carboxypeptidase DacD(141):D-alanyl-D-alanine carboxypeptidase DacC(135):D-alanyl-D-alanine carboxypeptidase DacA(34):hypothetical protein(3)","dacD(141):dacC(135):dacA(34):NA(3)",171,1287,1187.12,137,2,"R90_02028","R891_00184"
"g001735_000003","g001735","metG","Methionine--tRNA ligase",80,34,311,1,1,1,0,0,0,0,311,"Methionine--tRNA ligase(311)","metG(311)",1551,1578,1555.29,137,3,"R90_02031","R891_00187"
"g002956_000002","g002956",NA,"hypothetical protein",70,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",432,444,438.75,138,1,"R90_02933","R891_01308"
"g001604_000001","g001604","yciI","Protein YciI",60,36,311,1,1,1,0,0,0,0,311,"Protein YciI(275):putative protein(36)","yciI(275):NA(36)",294,294,294,138,2,"R90_02934","R891_01309"
"g001122_000002","g001122","gpsA","Glycerol-3-phosphate dehydrogenase [NAD(P)+]",70,41,311,1,1,1,0,0,0,0,311,"Glycerol-3-phosphate dehydrogenase [NAD(P)+](311)","gpsA(311)",984,990,987.13,138,3,"R90_02935","R891_01310"
"g003845_000003","g003845","sasA","Adaptive-response sensory-kinase SasA",80,20,311,1,1,1,4,0,4,0,311,"Adaptive-response sensory-kinase SasA(311):hypothetical protein(4)","sasA(311):NA(4)",384,1845,1779.55,139,1,"R90_03150","R891_01523"
"g007151_000004","g007151","baeR","Transcriptional regulatory protein BaeR",90,9,311,1,1,1,0,0,0,0,311,"Transcriptional regulatory protein BaeR(311)","baeR(311)",723,750,743.52,139,2,"R90_03151","R891_01524"
"g003659_000003","g003659","pckA","Phosphoenolpyruvate carboxykinase (ATP)",80,21,311,1,1,1,0,0,0,0,311,"Phosphoenolpyruvate carboxykinase (ATP)(311)","pckA(311)",1611,1692,1611.98,139,3,"R90_03152","R891_01525"
"g000974_000003","g000974","truA","tRNA pseudouridine synthase A",80,44,311,1,1,1,0,0,0,0,311,"tRNA pseudouridine synthase A(311)","truA(311)",768,807,797.32,140,1,"R90_03946","R891_02656"
"g000369_000002","g000369","fmt","Methionyl-tRNA formyltransferase",70,60,311,1,1,1,0,0,0,0,311,"Methionyl-tRNA formyltransferase(311)","fmt(311)",480,963,942.18,140,2,"R90_03947","R891_02657"
"g002545_000003","g002545","def","Peptide deformylase",80,28,311,1,1,1,0,0,0,0,311,"Peptide deformylase(311)","def(311)",513,600,516.73,140,3,"R90_03948","R891_02658"
"g000434_1_000001","g000434_1","opuAC","hypothetical protein",60,31,311,1,1,1,1,0,1,0,311,"hypothetical protein(311):Glycine betaine-binding protein OpuAC(1)","NA(311):opuAC(1)",480,972,955.19,141,1,"R90_01356","R891_00887"
"g003742_000001","g003742","opuAB","Glycine betaine transport system permease protein OpuAB",60,21,311,1,1,1,0,0,0,0,311,"Glycine betaine transport system permease protein OpuAB(300):hypothetical protein(11)","opuAB(300):NA(11)",291,1032,877.24,141,2,"R90_01357","R891_00886"
"g002237_000002","g002237","btuD","Vitamin B12 import ATP-binding protein BtuD",70,30,311,1,1,1,0,0,0,0,311,"Vitamin B12 import ATP-binding protein BtuD(161):Glycine betaine/choline transport system ATP-binding protein OusV(77):Glycine betaine/proline betaine transport system ATP-binding protein ProV(73)","btuD(161):ousV(77):proV(73)",1044,1056,1047.31,141,3,"R90_01358","R891_00885"
"g000661_1_000003","g000661_1","glcB","Malate synthase G",70,49,311,1,1,1,0,0,0,0,311,"Malate synthase G(311)","glcB(311)",2157,2193,2171.05,142,1,"R90_03164","R891_01537"
"g002568_000002","g002568",NA,"hypothetical protein",70,28,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",483,621,514.01,142,2,"R90_03166","R891_01539"
"g002245_000003","g002245","regA","Photosynthetic apparatus regulatory protein RegA",80,30,311,1,1,1,0,0,0,0,311,"Photosynthetic apparatus regulatory protein RegA(311)","regA(311)",576,612,586.94,142,3,"R90_03167","R891_01540"
"g001723_000004","g001723",NA,"hypothetical protein",90,20,311,1,1,1,1,0,1,0,311,"hypothetical protein(312)","NA(312)",891,3291,3106.53,143,1,"R90_03005","R891_01380"
"g000424","g000424","hslR","Heat shock protein 15",50,58,311,1,1,1,0,0,0,0,311,"Heat shock protein 15(311)","hslR(311)",402,417,411.3,143,2,"R90_03004","R891_01379"
"g002945_1_000007","g002945_1","fdxA","Ferredoxin-2",80,21,311,1,1,1,0,0,0,0,311,"Ferredoxin-2(311)","fdxA(311)",339,339,339,143,3,"R90_03003","R891_01378"
"g005531_000003","g005531","rplM","50S ribosomal protein L13",80,13,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L13(311)","rplM(311)",423,474,464.51,144,1,"R90_02274","R891_00431"
"g005532_000003","g005532","rpsI","30S ribosomal protein S9",80,14,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S9(311)","rpsI(311)",465,471,468.06,144,2,"R90_02275","R891_00432"
"g001546_000002","g001546","argC","N-acetyl-gamma-glutamyl-phosphate reductase",70,36,311,1,1,1,0,0,0,0,311,"N-acetyl-gamma-glutamyl-phosphate reductase(311)","argC(311)",927,933,932.48,144,3,"R90_02278","R891_00435"
"g004064_000002","g004064","hflK","Modulator of FtsH protease HflK",70,19,311,1,1,1,1,0,1,0,311,"Modulator of FtsH protease HflK(311):hypothetical protein(1)","hflK(311):NA(1)",330,1191,1131.89,145,1,"R90_01138","R891_01106"
"g002553_000002","g002553","hflC","Modulator of FtsH protease HflC",70,28,311,1,1,1,0,0,0,0,311,"Modulator of FtsH protease HflC(311)","hflC(311)",732,957,921.5,145,2,"R90_01139","R891_01105"
"g001846_000001","g001846","degP","Periplasmic serine endoprotease DegP",60,31,311,1,1,1,1,0,1,0,311,"Periplasmic serine endoprotease DegP(172):hypothetical protein(140)","degP(172):NA(140)",690,1767,1599.88,145,3,"R90_01141","R891_01103"
"g000881","g000881",NA,"hypothetical protein",50,45,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",354,609,514.5,146,1,"R90_03697","R891_02422"
"g004248_000001","g004248",NA,"hypothetical protein",60,19,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",264,267,266.94,146,2,"R90_03696","R891_02421"
"g000407","g000407","tam","hypothetical protein",50,57,311,1,1,1,1,0,1,0,311,"hypothetical protein(209):Trans-aconitate 2-methyltransferase(103)","NA(209):tam(103)",258,1116,962.98,146,3,"R90_03695","R891_02420"
"g006751_000004","g006751","icd","Isocitrate dehydrogenase [NADP]",90,10,311,1,1,1,0,0,0,0,311,"Isocitrate dehydrogenase [NADP](311)","icd(311)",1215,1215,1215,147,1,"R90_02206","R891_00362"
"g001684_000003","g001684","trmJ","putative tRNA/rRNA methyltransferase",80,34,311,1,1,1,1,0,1,0,311,"putative tRNA/rRNA methyltransferase(252):tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ(59):hypothetical protein(1)","NA(253):trmJ(59)",330,867,840.35,147,2,"R90_02204","R891_00360"
"g001145_000002","g001145","murI","Glutamate racemase",70,34,311,1,1,1,0,0,0,0,311,"Glutamate racemase(311)","murI(311)",345,831,815.21,147,3,"R90_02203","R891_00359"
"g002762_000003","g002762","pheA","P-protein",80,27,311,1,1,1,0,0,0,0,311,"P-protein(310):Prephenate dehydratase(1)","pheA(311)",480,876,860.32,148,1,"R90_04005","R891_02716"
"g001503_000002","g001503","kdsB","3-deoxy-manno-octulosonate cytidylyltransferase",70,35,311,1,1,1,0,0,0,0,311,"3-deoxy-manno-octulosonate cytidylyltransferase(311)","kdsB(311)",561,768,754.5,148,2,"R90_04006","R891_02717"
"g002395_000001","g002395","cycM","Cytochrome c-552",60,29,311,1,1,1,0,0,0,0,311,"Cytochrome c-552(308):hypothetical protein(3)","cycM(308):NA(3)",558,744,578.19,148,3,"R90_04007","R891_02718"
"g001621_000001","g001621",NA,"hypothetical protein",60,34,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",225,1239,1198.58,149,1,"R90_03949","R891_02659"
"g001008_1_000001","g001008_1","rbsK","Ribokinase",60,37,311,1.05,1,2,0,17,0,17,328,"Ribokinase(328)","rbsK(328)",900,975,906.82,149,2,"R90_03950","R891_02660"
"g005463_000003","g005463","argB","Acetylglutamate kinase",80,13,311,1,1,1,3,0,3,0,311,"Acetylglutamate kinase(314)","argB(314)",159,888,877.88,149,3,"R90_03772","R891_04502"
"g004996_000004","g004996","fabB","3-oxoacyl-[acyl-carrier-protein] synthase 1",90,15,311,1,1,1,0,0,0,0,311,"3-oxoacyl-[acyl-carrier-protein] synthase 1(311)","fabB(311)",1224,1296,1224.51,150,1,"R90_03908","R891_02618"
"g006106_000003","g006106","fabA","3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase",80,12,311,1,1,1,0,0,0,0,311,"3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase(311)","fabA(311)",417,522,515.74,150,2,"R90_03909","R891_02619"
"g003416_1_000006","g003416_1","fur","Ferric uptake regulation protein",80,16,311,1,1,1,29,0,29,0,311,"Ferric uptake regulation protein(163):Peroxide operon regulator(79):Peroxide-responsive repressor PerR(52):hypothetical protein(46)","fur(163):perR(131):NA(46)",237,645,404.89,150,3,"R90_03910","R891_02620"
"g003744_000003","g003744","cheB","Chemotaxis response regulator protein-glutamate methylesterase",80,21,311,1,1,1,0,0,0,0,311,"Chemotaxis response regulator protein-glutamate methylesterase(311)","cheB(311)",1038,1086,1049.81,151,1,"R90_03654","R891_02379"
"g005521_1_000005","g005521_1","cheY","Chemotaxis protein CheY ",90,8,311,1,1,1,0,0,0,0,311,"Chemotaxis protein CheY (311)","cheY(311)",390,390,390,151,2,"R90_03653","R891_02378"
"g002037_1_000006","g002037_1","cheD","Chemoreceptor glutamine deamidase CheD",80,22,311,1,1,2,0,1,0,1,312,"Chemoreceptor glutamine deamidase CheD(312)","cheD(312)",546,555,549.95,151,3,"R90_03652","R891_02377"
"g003915_000004","g003915","lipA","Lipoyl synthase",90,15,311,1.04,1,3,1,10,1,12,323,"Lipoyl synthase(324)","lipA(324)",252,1056,969.45,152,1,"R90_02077","R891_00233"
"g004292_000003","g004292","lpd","Dihydrolipoyl dehydrogenase",80,18,311,1.01,1,2,0,2,0,2,313,"Dihydrolipoyl dehydrogenase(313)","lpd(312):lpdC(1)",1446,1485,1446.95,152,2,"R90_02080","R891_00236"
"g001898_000001","g001898",NA,"hypothetical protein",60,33,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",639,648,643.23,152,3,"R90_02081","R891_00237"
"g002684","g002684",NA,"hypothetical protein",50,27,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",540,606,575.68,153,1,"R90_02194","R891_00350"
"g002936_000002","g002936","rpiA","Ribose-5-phosphate isomerase A",70,26,311,1,1,1,0,0,0,0,311,"Ribose-5-phosphate isomerase A(311)","rpiA(311)",684,702,697.55,153,2,"R90_02195","R891_00351"
"g000214_000001","g000214","mupP","N-acetylmuramic acid 6-phosphate phosphatase",60,71,311,1,1,1,0,0,0,0,311,"N-acetylmuramic acid 6-phosphate phosphatase(158):Phosphoglycolate phosphatase(153)","mupP(158):gph(153)",672,756,696.1,153,3,"R90_02196","R891_00352"
"g002472_000002","g002472","sdhC","Succinate dehydrogenase cytochrome b556 subunit",70,29,311,1,1,1,0,0,0,0,311,"Succinate dehydrogenase cytochrome b556 subunit(311)","sdhC(311)",393,399,394.62,154,1,"R90_02930","R891_01305"
"g002331_000002","g002331",NA,"hypothetical protein",70,30,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",381,381,381,154,2,"R90_02929","R891_01304"
"g004317_000004","g004317","sdhA","Succinate dehydrogenase flavoprotein subunit",90,12,311,1,1,1,1,0,1,0,311,"Succinate dehydrogenase flavoprotein subunit(311):hypothetical protein(1)","sdhA(311):NA(1)",549,1857,1838.66,154,3,"R90_02928","R891_01303"
"g000158_000001","g000158",NA,"hypothetical protein",60,72,311,1,1,1,1,0,1,0,311,"hypothetical protein(312)","NA(312)",171,660,638.38,155,1,"R90_02219","R891_00375"
"g006462_1_000006","g006462_1","decR","DNA-binding transcriptional activator DecR",90,10,311,1,1,1,0,0,0,0,311,"DNA-binding transcriptional activator DecR(311)","decR(311)",489,501,491.03,155,2,"R90_02218","R891_00374"
"g002159_000003","g002159","ubiG","Ubiquinone biosynthesis O-methyltransferase",80,30,311,1,1,1,0,0,0,0,311,"Ubiquinone biosynthesis O-methyltransferase(311)","ubiG(311)",810,858,822.73,155,3,"R90_02217","R891_00373"
"g004234_000003","g004234","ribH1","6%2C7-dimethyl-8-ribityllumazine synthase 1",80,19,311,1,1,1,0,0,0,0,311,"6%2C7-dimethyl-8-ribityllumazine synthase 1(311)","ribH1(311)",447,459,451.46,156,1,"R90_01080","R891_01164"
"g006072_000003","g006072","nusB","Transcription antitermination protein NusB",80,12,311,1,1,1,0,0,0,0,311,"Transcription antitermination protein NusB(310):hypothetical protein(1)","nusB(310):NA(1)",396,498,491.08,156,2,"R90_01079","R891_01165"
"g002641_000003","g002641","hppA","K(+)-insensitive pyrophosphate-energized proton pump",80,26,311,1,1,1,9,0,9,0,311,"K(+)-insensitive pyrophosphate-energized proton pump(320)","hppA(320)",438,2139,2078.99,156,3,"R90_01077","R891_01167"
"g002672","g002672",NA,"hypothetical protein",50,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1272,1359,1328.46,157,1,"R90_03721","R891_02446"
"g002308_1_000009","g002308_1","pstB","Phosphate import ATP-binding protein PstB",80,19,311,1,1,1,0,0,0,0,311,"Phosphate import ATP-binding protein PstB(311)","pstB(311)",801,816,815.86,157,2,"R90_03720","R891_02445"
"g003968_000003","g003968","phoU","Phosphate-specific transport system accessory protein PhoU ",80,19,311,1,1,2,0,1,0,1,312,"Phosphate-specific transport system accessory protein PhoU (312)","phoU(312)",651,753,719.01,157,3,"R90_03719","R891_02444"
"g002823_000004","g002823","rhlE","ATP-dependent RNA helicase RhlE",90,16,311,1,1,1,2,0,2,0,311,"ATP-dependent RNA helicase RhlE(310):hypothetical protein(1):ATP-dependent RNA helicase DeaD(1):ATP-dependent RNA helicase RhlB(1)","rhlE(310):rhlB(1):NA(1):deaD(1)",192,1677,1507.66,158,1,"R90_02229","R891_00385"
"g000372_000001","g000372","nudC","hypothetical protein",60,59,311,1,1,1,0,0,0,0,311,"hypothetical protein(294):NADH pyrophosphatase(13):RNA pyrophosphohydrolase(4)","NA(294):nudC(13):rppH(4)",372,492,420.25,158,2,"R90_02230","R891_00386"
"g000871","g000871","braC","Leu/Ile/Val-binding protein ",50,43,311,1,1,1,0,0,0,0,311,"Leu/Ile/Val-binding protein (172):Leucine-%2C isoleucine-%2C valine-%2C threonine-%2C and alanine-binding protein(138):hypothetical protein(1)","NA(173):braC(138)",732,1215,1095.02,158,3,"R90_02231","R891_00387"
"g000829_1_000003","g000829_1","deoB","Phosphopentomutase",70,44,311,1,1,1,1,0,1,0,311,"Phosphopentomutase(312)","deoB(312)",381,1221,1217.03,159,1,"R90_03894","R891_02605"
"g000569_000001","g000569","add2","Aminodeoxyfutalosine deaminase",60,53,311,1,1,1,0,0,0,0,311,"Aminodeoxyfutalosine deaminase(250):Adenine deaminase(61)","add2(249):NA(62)",969,999,980.13,159,2,"R90_03893","R891_02604"
"g004589_1_000005","g004589_1","upp","Uracil phosphoribosyltransferase",80,16,311,1,1,1,0,0,0,0,311,"Uracil phosphoribosyltransferase(311)","upp(311)",630,630,630,159,3,"R90_03892","R891_02603"
"g004041_000002","g004041","sasA","Adaptive-response sensory-kinase SasA",70,19,311,1,1,1,0,0,0,0,311,"Adaptive-response sensory-kinase SasA(311)","sasA(311)",2256,2280,2268.69,160,1,"R90_02064","R891_00220"
"g005946_000003","g005946","glnG","DNA-binding transcriptional regulator NtrC",80,12,311,1,1,1,0,0,0,0,311,"DNA-binding transcriptional regulator NtrC(311)","glnG(311)",1365,1365,1365,160,2,"R90_02063","R891_00219"
"g013765_000004","g013765","hfq","RNA-binding protein Hfq",90,4,311,1,1,1,0,0,0,0,311,"RNA-binding protein Hfq(311)","hfq(311)",243,483,251.32,160,3,"R90_02061","R891_00217"
"g001841_000003","g001841","fadJ","Fatty acid oxidation complex subunit alpha",80,33,311,1,1,1,0,0,0,0,311,"Fatty acid oxidation complex subunit alpha(311)","fadJ(311)",2211,2310,2215.8,161,1,"R90_03683","R891_02408"
"g005326_000003","g005326","fadA","Putative acyltransferase",80,14,311,1,1,1,0,0,0,0,311,"Putative acyltransferase(311)","fadA(311)",588,1209,1207,161,2,"R90_03685","R891_02410"
"g003004_000003","g003004","dmdC","3-methylmercaptopropionyl-CoA dehydrogenase",80,25,311,1,1,1,0,0,0,0,311,"3-methylmercaptopropionyl-CoA dehydrogenase(311)","dmdC(311)",1746,1797,1796.13,161,3,"R90_03686","R891_02411"
"g007466_000004","g007466","cobS","Aerobic cobaltochelatase subunit CobS",90,9,311,1,1,1,0,0,0,0,311,"Aerobic cobaltochelatase subunit CobS(311)","cobS(311)",990,993,990.52,162,1,"R90_00056","R891_03536"
"g003321_000003","g003321","cobT","Aerobic cobaltochelatase subunit CobT",80,23,311,1,1,1,0,0,0,0,311,"Aerobic cobaltochelatase subunit CobT(311)","cobT(311)",1890,1911,1902.64,162,2,"R90_00055","R891_03535"
"g000533","g000533",NA,"hypothetical protein",50,51,311,1,1,1,1,0,1,0,311,"hypothetical protein(312)","NA(312)",141,1065,1009.82,162,3,"R90_00054","R891_03534"
"g002658_000002","g002658",NA,"hypothetical protein",70,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1200,1308,1226.89,163,1,"R90_02428","R891_00585"
"g000900_000001","g000900",NA,"hypothetical protein",60,45,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",885,921,888.64,163,2,"R90_02427","R891_00584"
"g003431_000003","g003431","gmk","Guanylate kinase",80,23,311,1,1,1,0,0,0,0,311,"Guanylate kinase(311)","gmk(311)",648,684,663.51,163,3,"R90_02426","R891_00583"
"g000938_000002","g000938","dus","putative tRNA-dihydrouridine synthase",70,44,311,1,1,1,0,0,0,0,311,"putative tRNA-dihydrouridine synthase(311)","dus(311)",924,1029,1004.99,164,1,"R90_02069","R891_00225"
"g003873_000003","g003873","glnL","Sensory histidine kinase/phosphatase NtrB",80,17,311,1,1,1,1,0,1,0,311,"Sensory histidine kinase/phosphatase NtrB(311):hypothetical protein(1)","glnL(311):NA(1)",501,1170,1148.99,164,2,"R90_02068","R891_00224"
"g007223_000004","g007223","ntrC","DNA-binding transcriptional regulator NtrC",90,9,311,1,1,2,0,1,0,1,312,"DNA-binding transcriptional regulator NtrC(312)","ntrC(312)",123,1452,1447.21,164,3,"R90_02067","R891_00223"
"g004345_000003","g004345","prfB","Peptide chain release factor RF2",80,18,311,1,1,1,0,0,0,0,311,"Peptide chain release factor RF2(311)","prfB(311)",873,1029,1023.74,165,1,"R90_01958","R891_00114"
"g001945_1_000006","g001945_1","mrcA","Penicillin-binding protein 1A",70,26,311,1,1,1,0,0,0,0,311,"Penicillin-binding protein 1A(311)","mrcA(311)",2418,2529,2452.38,165,2,"R90_01957","R891_00113"
"g001319_000002","g001319","rne","Ribonuclease E",70,38,311,1,1,1,0,0,0,0,311,"Ribonuclease E(310):hypothetical protein(1)","rne(310):NA(1)",246,3108,2927.13,165,3,"R90_01954","R891_00110"
"g000310_1_000024","g000310_1","ribBA","Riboflavin biosynthesis protein RibBA",80,20,311,1.01,1,2,0,3,0,3,314,"Riboflavin biosynthesis protein RibBA(314)","ribBA(314)",1101,1134,1102.29,166,1,"R90_04507","R891_03301"
"g003027_000003","g003027","aroC","Chorismate synthase",80,21,311,1,1,1,0,0,0,0,311,"Chorismate synthase(311)","aroC(311)",963,1176,1115.42,166,2,"R90_04506","R891_03302"
"g003128_000001","g003128",NA,"hypothetical protein",60,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",261,351,285.61,166,3,"R90_04504","R891_03304"
"g000734_000001","g000734",NA,"hypothetical protein",60,46,311,1,1,2,1,1,1,1,312,"hypothetical protein(313)","NA(313)",429,2184,1960.51,167,1,"R90_03530","R891_02254"
"g002279_000002","g002279","rsmD","Ribosomal RNA small subunit methyltransferase D",70,30,311,1,1,1,0,0,0,0,311,"Ribosomal RNA small subunit methyltransferase D(311)","rsmD(311)",558,570,560.93,167,2,"R90_03529","R891_02253"
"g001882","g001882",NA,"hypothetical protein",50,31,311,1,1,1,0,0,0,0,311,"hypothetical protein(299):putative NTE family protein(12)","NA(311)",867,990,903.6,167,3,"R90_03528","R891_02252"
"g001095","g001095","macA","Macrolide export protein MacA",50,41,311,1.01,1,2,0,2,0,2,313,"Macrolide export protein MacA(202):Multidrug resistance protein MdtA(72):Efflux pump periplasmic linker BepF(39)","macA(202):mdtA(72):bepF(39)",1182,1371,1216.77,168,1,"R90_01464;R90_04198","R891_00779;R891_02909"
"g002340_1_000003","g002340_1","mdtC","Multidrug resistance protein MdtC",70,28,311,1.01,1,2,0,2,0,2,313,"Multidrug resistance protein MdtC(177):Multidrug resistance protein MdtB(136)","mdtC(177):mdtB(136)",3306,3435,3322.18,168,2,"R90_01465;R90_04197","R891_00778;R891_02908"
"g004150_000003","g004150","ureG","Urease accessory protein UreG",80,18,311,1,1,2,0,1,0,1,312,"Urease accessory protein UreG(312)","ureG(312)",612,690,614.9,168,3,"R90_01467","R891_00776"
"g000726_000001","g000726","ubiE","Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE",60,48,311,1,1,1,0,0,0,0,311,"Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE(311)","ubiE(311)",666,744,698.67,169,1,"R90_01195","R891_01049"
"g002225_000002","g002225",NA,"hypothetical protein",70,30,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1161,1251,1249.43,169,2,"R90_01194","R891_01050"
"g000679","g000679",NA,"hypothetical protein",50,50,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",561,1161,1032.79,169,3,"R90_01193","R891_01051"
"g000962_000001","g000962",NA,"hypothetical protein",60,44,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",354,450,370.67,170,1,"R90_02157","R891_00313"
"g000461_1_000005","g000461_1","moaA","GTP 3'%2C8-cyclase",80,45,311,1.03,1,2,0,10,0,10,321,"GTP 3'%2C8-cyclase(321)","moaA(321)",540,1104,1058.06,170,2,"R90_02158","R891_00314"
"g001354","g001354","ribN","Riboflavin transporter",50,37,311,1,1,1,0,0,0,0,311,"Riboflavin transporter(266):hypothetical protein(45)","ribN(266):NA(45)",435,1047,931.17,170,3,"R90_02159","R891_00315"
"g001910_000002","g001910","thiE","Thiamine-phosphate synthase",70,32,311,1,1,1,2,0,2,0,311,"Thiamine-phosphate synthase(309):hypothetical protein(4)","thiE(309):NA(4)",186,774,660.57,171,1,"R90_01611","R891_03058"
"g001513_000001","g001513","podJ","hypothetical protein",60,36,311,1,1,1,1,0,1,0,311,"hypothetical protein(311):Localization factor PodJL(1)","NA(311):podJ(1)",462,1623,1219.6,171,2,"R90_01610","R891_03057"
"g004028_000003","g004028","suhB","Inositol-1-monophosphatase",80,20,311,1,1,1,0,0,0,0,311,"Inositol-1-monophosphatase(311)","suhB(311)",801,804,801.74,171,3,"R90_01609","R891_03056"
"g004155_000003","g004155","smpB","SsrA-binding protein",80,17,311,1,1,1,0,0,0,0,311,"SsrA-binding protein(311)","smpB(311)",477,573,481.58,172,1,"R90_02495","R891_00652"
"g002044_1_000003","g002044_1","dapA","4-hydroxy-tetrahydrodipicolinate synthase",70,25,311,1,1,1,0,0,0,0,311,"4-hydroxy-tetrahydrodipicolinate synthase(311)","dapA(311)",870,885,884.95,172,2,"R90_02496","R891_00653"
"g001087_000001","g001087",NA,"hypothetical protein",60,40,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",717,2163,2072.95,172,3,"R90_02497","R891_00654"
"g000794_000003","g000794","cmk","Cytidylate kinase",80,46,311,1,1,1,0,0,0,0,311,"Cytidylate kinase(311)","cmk(311)",627,744,665.37,173,1,"R90_02826","R891_01870"
"g007917_000004","g007917","rpsA","30S ribosomal protein S1",90,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S1(311)","rpsA(311)",1701,1776,1702.55,173,2,"R90_02825","R891_01869"
"g001896_1_000003","g001896_1",NA,"hypothetical protein",70,32,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",816,984,981.84,173,3,"R90_03839","R891_02550"
