"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","S33a","CC001","FDAARGOS_525","CFBP5494"
"g000938_000002","g000938","dus","putative tRNA-dihydrouridine synthase",70,44,311,1,1,1,0,0,0,0,311,"putative tRNA-dihydrouridine synthase(311)","dus(311)",924,1029,1004.99,164,1,"S33a_02537","CC001_01032","FDAARGOS_525_02472","CFBP5494_01759"
"g003873_000003","g003873","glnL","Sensory histidine kinase/phosphatase NtrB",80,17,311,1,1,1,1,0,1,0,311,"Sensory histidine kinase/phosphatase NtrB(311):hypothetical protein(1)","glnL(311):NA(1)",501,1170,1148.99,164,2,"S33a_02538","CC001_01033","FDAARGOS_525_02473","CFBP5494_01760"
"g007223_000004","g007223","ntrC","DNA-binding transcriptional regulator NtrC",90,9,311,1,1,2,0,1,0,1,312,"DNA-binding transcriptional regulator NtrC(312)","ntrC(312)",123,1452,1447.21,164,3,"S33a_02539","CC001_01034","FDAARGOS_525_02474","CFBP5494_01761"
"g004345_000003","g004345","prfB","Peptide chain release factor RF2",80,18,311,1,1,1,0,0,0,0,311,"Peptide chain release factor RF2(311)","prfB(311)",873,1029,1023.74,165,1,"S33a_02465","CC001_00961","FDAARGOS_525_02405","CFBP5494_01684"
"g001945_1_000006","g001945_1","mrcA","Penicillin-binding protein 1A",70,26,311,1,1,1,0,0,0,0,311,"Penicillin-binding protein 1A(311)","mrcA(311)",2418,2529,2452.38,165,2,"S33a_02464","CC001_00960","FDAARGOS_525_02404","CFBP5494_01683"
"g001319_000002","g001319","rne","Ribonuclease E",70,38,311,1,1,1,0,0,0,0,311,"Ribonuclease E(310):hypothetical protein(1)","rne(310):NA(1)",246,3108,2927.13,165,3,"S33a_02462","CC001_00958","FDAARGOS_525_02401","CFBP5494_01681"
"g000310_1_000024","g000310_1","ribBA","Riboflavin biosynthesis protein RibBA",80,20,311,1.01,1,2,0,3,0,3,314,"Riboflavin biosynthesis protein RibBA(314)","ribBA(314)",1101,1134,1102.29,166,1,"S33a_04775","CC001_00383","FDAARGOS_525_01797","CFBP5494_00994;CFBP5494_05737"
"g003027_000003","g003027","aroC","Chorismate synthase",80,21,311,1,1,1,0,0,0,0,311,"Chorismate synthase(311)","aroC(311)",963,1176,1115.42,166,2,"S33a_04776","CC001_00384","FDAARGOS_525_01798","CFBP5494_00995"
"g003128_000001","g003128",NA,"hypothetical protein",60,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",261,351,285.61,166,3,"S33a_04777","CC001_00385","FDAARGOS_525_01799","CFBP5494_00996"
"g000734_000001","g000734",NA,"hypothetical protein",60,46,311,1,1,2,1,1,1,1,312,"hypothetical protein(313)","NA(313)",429,2184,1960.51,167,1,"S33a_04712","CC001_00320","FDAARGOS_525_01735","CFBP5494_00931"
"g002279_000002","g002279","rsmD","Ribosomal RNA small subunit methyltransferase D",70,30,311,1,1,1,0,0,0,0,311,"Ribosomal RNA small subunit methyltransferase D(311)","rsmD(311)",558,570,560.93,167,2,"S33a_04713","CC001_00321","FDAARGOS_525_01736","CFBP5494_00932"
"g001882","g001882",NA,"hypothetical protein",50,31,311,1,1,1,0,0,0,0,311,"hypothetical protein(299):putative NTE family protein(12)","NA(311)",867,990,903.6,167,3,"S33a_04714","CC001_00322","FDAARGOS_525_01737","CFBP5494_00933"
"g001095","g001095","macA","Macrolide export protein MacA",50,41,311,1.01,1,2,0,2,0,2,313,"Macrolide export protein MacA(202):Multidrug resistance protein MdtA(72):Efflux pump periplasmic linker BepF(39)","macA(202):mdtA(72):bepF(39)",1182,1371,1216.77,168,1,"S33a_03454","CC001_01989","FDAARGOS_525_00449","CFBP5494_02812"
"g002340_1_000003","g002340_1","mdtC","Multidrug resistance protein MdtC",70,28,311,1.01,1,2,0,2,0,2,313,"Multidrug resistance protein MdtC(177):Multidrug resistance protein MdtB(136)","mdtC(177):mdtB(136)",3306,3435,3322.18,168,2,"S33a_03455","CC001_01990","FDAARGOS_525_00450","CFBP5494_02813"
"g004150_000003","g004150","ureG","Urease accessory protein UreG",80,18,311,1,1,2,0,1,0,1,312,"Urease accessory protein UreG(312)","ureG(312)",612,690,614.9,168,3,"S33a_03458","CC001_01993","FDAARGOS_525_00453","CFBP5494_02817"
"g000726_000001","g000726","ubiE","Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE",60,48,311,1,1,1,0,0,0,0,311,"Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE(311)","ubiE(311)",666,744,698.67,169,1,"S33a_03200","CC001_01673","FDAARGOS_525_00161","CFBP5494_02560"
"g002225_000002","g002225",NA,"hypothetical protein",70,30,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1161,1251,1249.43,169,2,"S33a_03199","CC001_01672","FDAARGOS_525_00160","CFBP5494_02559"
"g000679","g000679",NA,"hypothetical protein",50,50,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",561,1161,1032.79,169,3,"S33a_03198","CC001_01671","FDAARGOS_525_00159","CFBP5494_02558"
"g000962_000001","g000962",NA,"hypothetical protein",60,44,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",354,450,370.67,170,1,"S33a_02760","CC001_01297","FDAARGOS_525_02700","CFBP5494_02059"
"g000461_1_000005","g000461_1","moaA","GTP 3'%2C8-cyclase",80,45,311,1.03,1,2,0,10,0,10,321,"GTP 3'%2C8-cyclase(321)","moaA(321)",540,1104,1058.06,170,2,"S33a_02761","CC001_01298","FDAARGOS_525_02701","CFBP5494_02060"
"g001354","g001354","ribN","Riboflavin transporter",50,37,311,1,1,1,0,0,0,0,311,"Riboflavin transporter(266):hypothetical protein(45)","ribN(266):NA(45)",435,1047,931.17,170,3,"S33a_02762","CC001_01299","FDAARGOS_525_02702","CFBP5494_02061"
"g001910_000002","g001910","thiE","Thiamine-phosphate synthase",70,32,311,1,1,1,2,0,2,0,311,"Thiamine-phosphate synthase(309):hypothetical protein(4)","thiE(309):NA(4)",186,774,660.57,171,1,"S33a_01637","CC001_03378","FDAARGOS_525_04264","CFBP5494_04151"
"g001513_000001","g001513","podJ","hypothetical protein",60,36,311,1,1,1,1,0,1,0,311,"hypothetical protein(311):Localization factor PodJL(1)","NA(311):podJ(1)",462,1623,1219.6,171,2,"S33a_01638","CC001_03377","FDAARGOS_525_04265","CFBP5494_04152"
"g004028_000003","g004028","suhB","Inositol-1-monophosphatase",80,20,311,1,1,1,0,0,0,0,311,"Inositol-1-monophosphatase(311)","suhB(311)",801,804,801.74,171,3,"S33a_01639","CC001_03376","FDAARGOS_525_04266","CFBP5494_04153"
"g004155_000003","g004155","smpB","SsrA-binding protein",80,17,311,1,1,1,0,0,0,0,311,"SsrA-binding protein(311)","smpB(311)",477,573,481.58,172,1,"S33a_05043","CC001_00660","FDAARGOS_525_02103","CFBP5494_01313"
"g002044_1_000003","g002044_1","dapA","4-hydroxy-tetrahydrodipicolinate synthase",70,25,311,1,1,1,0,0,0,0,311,"4-hydroxy-tetrahydrodipicolinate synthase(311)","dapA(311)",870,885,884.95,172,2,"S33a_05042","CC001_00659","FDAARGOS_525_02102","CFBP5494_01312"
"g001087_000001","g001087",NA,"hypothetical protein",60,40,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",717,2163,2072.95,172,3,"S33a_05041","CC001_00658","FDAARGOS_525_02101","CFBP5494_01311"
"g000794_000003","g000794","cmk","Cytidylate kinase",80,46,311,1,1,1,0,0,0,0,311,"Cytidylate kinase(311)","cmk(311)",627,744,665.37,173,1,"S33a_01096","CC001_03874","FDAARGOS_525_03712","CFBP5494_03705"
"g007917_000004","g007917","rpsA","30S ribosomal protein S1",90,8,311,1,1,1,0,0,0,0,311,"30S ribosomal protein S1(311)","rpsA(311)",1701,1776,1702.55,173,2,"S33a_01095","CC001_03875","FDAARGOS_525_03711","CFBP5494_03704"
"g001896_1_000003","g001896_1",NA,"hypothetical protein",70,32,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",816,984,981.84,173,3,"S33a_04255","CC001_02669","FDAARGOS_525_01178","CFBP5494_00518"
"g002644_000002","g002644","cckA","Sensor kinase CckA",70,23,311,1,1,1,2,0,2,0,311,"Sensor kinase CckA(313)","cckA(313)",684,2778,2588.02,174,1,"S33a_02484","CC001_00980","FDAARGOS_525_02424","CFBP5494_01702"
"g004425_000003","g004425","clpS","ATP-dependent Clp protease adapter protein ClpS",80,18,311,1,1,1,0,0,0,0,311,"ATP-dependent Clp protease adapter protein ClpS(311)","clpS(311)",348,357,354.68,174,2,"S33a_02485","CC001_00981","FDAARGOS_525_02425","CFBP5494_01703"
"g003825_000003","g003825","clpA","ATP-dependent Clp protease ATP-binding subunit ClpA",80,20,311,1,1,1,0,0,0,0,311,"ATP-dependent Clp protease ATP-binding subunit ClpA(311)","clpA(311)",2478,2535,2511.2,174,3,"S33a_02486","CC001_00982","FDAARGOS_525_02426","CFBP5494_01704"
"g001533_000002","g001533","coaD","Phosphopantetheine adenylyltransferase",70,34,311,1,1,1,0,0,0,0,311,"Phosphopantetheine adenylyltransferase(311)","coaD(311)",459,660,512.9,175,1,"S33a_02749","CC001_01286","FDAARGOS_525_02687","CFBP5494_02047"
"g002574_000002","g002574","ppiA","hypothetical protein",70,28,311,1,1,1,0,0,0,0,311,"hypothetical protein(260):Peptidyl-prolyl cis-trans isomerase A(50):Peptidyl-prolyl cis-trans isomerase B(1)","NA(260):ppiA(50):ppiB(1)",543,579,572.15,175,2,"S33a_02748","CC001_01285","FDAARGOS_525_02686","CFBP5494_02046"
"g004152_000002","g004152","ppiB","Peptidyl-prolyl cis-trans isomerase B",70,16,311,1,1,1,1,0,1,0,311,"Peptidyl-prolyl cis-trans isomerase B(309):hypothetical protein(2):Putative peptidyl-prolyl cis-trans isomerase(1)","ppiB(309):NA(3)",138,510,505.1,175,3,"S33a_02747","CC001_01284","FDAARGOS_525_02685","CFBP5494_02045"
"g000893_1_000003","g000893_1","bdhA","D-beta-hydroxybutyrate dehydrogenase",70,27,311,1.01,1,2,0,2,0,2,313,"D-beta-hydroxybutyrate dehydrogenase(313)","bdhA(313)",297,969,788.03,176,1,"S33a_03383","CC001_01918","FDAARGOS_525_00348","CFBP5494_02741"
"g000203_000001","g000203",NA,"hypothetical protein",60,71,311,1.02,1,2,0,5,0,5,316,"hypothetical protein(316)","NA(316)",1467,1521,1471.57,176,2,"S33a_03384","CC001_01919","FDAARGOS_525_00349","CFBP5494_02742"
"g001391_1_000004","g001391_1","xdhA","Putative xanthine dehydrogenase molybdenum-binding subunit XdhA",80,33,311,1,1,1,0,0,0,0,311,"Putative xanthine dehydrogenase molybdenum-binding subunit XdhA(301):Caffeine dehydrogenase subunit alpha(6):4-hydroxybenzoyl-CoA reductase subunit alpha(4)","xdhA(301):cdhA(6):hcrA(4)",2337,2346,2340.18,176,3,"S33a_03385","CC001_01920","FDAARGOS_525_00350","CFBP5494_02743"
"g003076_000003","g003076","ydjH","putative sugar kinase YdjH",80,25,311,1,1,1,0,0,0,0,311,"putative sugar kinase YdjH(311)","ydjH(311)",846,993,992.53,177,1,"S33a_04094","CC001_02509","FDAARGOS_525_01008","CFBP5494_00357"
"g003051_000002","g003051",NA,"hypothetical protein",70,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",537,597,539.97,177,2,"S33a_04093","CC001_02508","FDAARGOS_525_01007","CFBP5494_00356"
"g004131_000003","g004131",NA,"Glycerate dehydrogenase",80,19,311,1,1,1,0,0,0,0,311,"Glycerate dehydrogenase(311)","NA(311)",936,1014,1003.84,177,3,"S33a_04092","CC001_02507","FDAARGOS_525_01006","CFBP5494_00355"
"g001871_000001","g001871","appA","hypothetical protein",60,33,311,1,1,1,0,0,0,0,311,"hypothetical protein(171):Oligopeptide-binding protein AppA(140)","NA(171):appA(140)",1806,1848,1831.31,178,1,"S33a_02839","CC001_01376","FDAARGOS_525_02780","CFBP5494_02194"
"g001208_000001","g001208",NA,"hypothetical protein",60,40,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",591,750,671.01,178,2,"S33a_02840","CC001_01377","FDAARGOS_525_02781","CFBP5494_02195"
"g001189","g001189","ribN","hypothetical protein",50,35,311,1,1,2,2,1,2,1,312,"hypothetical protein(267):Riboflavin transporter(47)","NA(267):ribN(47)",189,1005,936.14,178,3,"S33a_02841","CC001_01378","FDAARGOS_525_02782","CFBP5494_02196;CFBP5494_03011"
"g008464_1_000007","g008464_1","cheY","Chemotaxis protein CheY ",95,7,311,1,1,1,0,0,0,0,311,"Chemotaxis protein CheY (310):Chemotaxis protein CheY(1)","cheY(311)",366,366,366,179,1,"S33a_04483","CC001_00149","FDAARGOS_525_01565","CFBP5494_00761"
"g002184","g002184",NA,"hypothetical protein",50,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",294,303,298.58,179,2,"S33a_04482","CC001_00148","FDAARGOS_525_01564","CFBP5494_00760"
"g000916_000002","g000916","dxr","1-deoxy-D-xylulose 5-phosphate reductoisomerase",70,40,311,1,1,1,1,0,1,0,311,"1-deoxy-D-xylulose 5-phosphate reductoisomerase(312)","dxr(312)",351,1275,1191.85,179,3,"S33a_03678","CC001_02215","FDAARGOS_525_00713","CFBP5494_00063"
"g004190_000003","g004190","ychF","Ribosome-binding ATPase YchF",80,19,311,1,1,1,0,0,0,0,311,"Ribosome-binding ATPase YchF(311)","ychF(311)",1104,1104,1104,180,1,"S33a_03305","CC001_01840","FDAARGOS_525_00266","CFBP5494_02663"
"g001385_000001","g001385",NA,"hypothetical protein",60,38,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",456,477,469.77,180,2,"S33a_03306","CC001_01841","FDAARGOS_525_00267","CFBP5494_02664"
"g002034","g002034",NA,"hypothetical protein",50,32,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",468,489,471.1,180,3,"S33a_03307","CC001_01842","FDAARGOS_525_00268","CFBP5494_02665"
"g001474_000001","g001474",NA,"putative protein",60,36,311,1,1,1,1,0,1,0,311,"putative protein(311):hypothetical protein(1)","NA(312)",246,915,880.52,181,1,"S33a_01299","CC001_03688","FDAARGOS_525_03957","CFBP5494_03891"
"g002971_000002","g002971",NA,"putative protein",70,24,311,1,1,1,1,0,1,0,311,"putative protein(311):hypothetical protein(1)","NA(312)",711,2421,2403.11,181,2,"S33a_01298","CC001_03689","FDAARGOS_525_03956","CFBP5494_03890"
"g001718_000003","g001718",NA,"hypothetical protein",80,31,311,1,1,1,2,0,2,0,311,"hypothetical protein(313)","NA(313)",930,3447,3308.97,181,3,"S33a_01297","CC001_03690","FDAARGOS_525_03955","CFBP5494_03889"
"g000857_1_000001","g000857_1",NA,"hypothetical protein",60,43,311,1,1,1,1,0,1,0,311,"hypothetical protein(312)","NA(312)",162,456,347.49,182,1,"S33a_02380","CC001_00876","FDAARGOS_525_02319","CFBP5494_01597"
"g001760_1_000005","g001760_1","mdeA","L-methionine gamma-lyase",80,27,311,1,1,1,0,0,0,0,311,"L-methionine gamma-lyase(311)","mdeA(241):mgl(67):megL(3)",1167,1287,1283.61,182,2,"S33a_02379","CC001_00875","FDAARGOS_525_02318","CFBP5494_01596"
"g000546_1_000003","g000546_1","yccU","putative protein YccU",70,41,311,1,1,1,0,0,0,0,311,"putative protein YccU(307):hypothetical protein(4)","yccU(307):NA(4)",324,456,433.41,182,3,"S33a_02378","CC001_00874","FDAARGOS_525_02317","CFBP5494_01595"
"g002397_000001","g002397","surA","Chaperone SurA",60,29,311,1,1,1,0,0,0,0,311,"Chaperone SurA(311)","surA(311)",882,1035,947.93,183,1,"S33a_05123","CC001_00739","FDAARGOS_525_02184","CFBP5494_01390"
"g000720_000001","g000720","pdxA","4-hydroxythreonine-4-phosphate dehydrogenase",60,47,311,1,1,1,0,0,0,0,311,"4-hydroxythreonine-4-phosphate dehydrogenase(311)","pdxA(311)",1017,1050,1027.67,183,2,"S33a_05122","CC001_00738","FDAARGOS_525_02183","CFBP5494_01389"
"g001680_000003","g001680","rsmA","Ribosomal RNA small subunit methyltransferase A",80,34,311,1,1,1,1,0,1,0,311,"Ribosomal RNA small subunit methyltransferase A(312)","rsmA(312)",216,846,827.96,183,3,"S33a_05121","CC001_00737","FDAARGOS_525_02182","CFBP5494_01388"
"g000976","g000976","appA","Oligopeptide-binding protein AppA",50,42,311,1,1,1,0,0,0,0,311,"Oligopeptide-binding protein AppA(170):hypothetical protein(141)","appA(170):NA(141)",1830,2055,1850.15,184,1,"S33a_04197","CC001_02611","FDAARGOS_525_01120","CFBP5494_00460"
"g001005_000001","g001005","mepA","Penicillin-insensitive murein endopeptidase",60,42,311,1,1,1,0,0,0,0,311,"Penicillin-insensitive murein endopeptidase(311)","mepA(311)",1011,1065,1030.04,184,2,"S33a_04196","CC001_02610","FDAARGOS_525_01119","CFBP5494_00459"
"g002626_000002","g002626","mgsA","Methylglyoxal synthase",70,28,311,1,1,1,0,0,0,0,311,"Methylglyoxal synthase(311)","mgsA(311)",327,402,381.63,184,3,"S33a_04195","CC001_02609","FDAARGOS_525_01118","CFBP5494_00458"
"g003187_000003","g003187","tolB","Protein TolB",80,23,311,1,1,1,1,0,1,0,311,"Protein TolB(312)","tolB(312)",588,1326,1309.18,185,1,"S33a_01674","CC001_03341","FDAARGOS_525_04314","CFBP5494_04188"
"g004861_000002","g004861",NA,"Outer membrane lipoprotein Omp16",70,15,311,1,1,1,0,0,0,0,311,"Outer membrane lipoprotein Omp16(311)","NA(311)",531,540,534.1,185,2,"S33a_01675","CC001_03340","FDAARGOS_525_04315","CFBP5494_04189"
"g001782","g001782",NA,"hypothetical protein",50,33,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",219,1074,1020.53,185,3,"S33a_01676","CC001_03339","FDAARGOS_525_04316","CFBP5494_04190"
"g002805_000002","g002805","valS","Valine--tRNA ligase",70,26,311,1,1,1,0,0,0,0,311,"Valine--tRNA ligase(311)","valS(311)",2844,3006,2851.96,186,1,"S33a_02783","CC001_01320","FDAARGOS_525_02723","CFBP5494_02082"
"g000312_000001","g000312",NA,"hypothetical protein",60,61,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",660,1125,960.1,186,2,"S33a_02784","CC001_01321","FDAARGOS_525_02724","CFBP5494_02083"
"g002144_000001","g002144","pcm","Protein-L-isoaspartate O-methyltransferase",60,31,311,1,1,1,0,0,0,0,311,"Protein-L-isoaspartate O-methyltransferase(311)","pcm(311)",651,810,676.12,186,3,"S33a_02785","CC001_01322","FDAARGOS_525_02725","CFBP5494_02084"
"g002052","g002052",NA,"hypothetical protein",50,31,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",708,765,708.21,187,1,"S33a_03404","CC001_01939","FDAARGOS_525_00369","CFBP5494_02762"
"g001171_1_000007","g001171_1",NA,"hypothetical protein",80,34,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",921,975,928.91,187,2,"S33a_03403","CC001_01938","FDAARGOS_525_00368","CFBP5494_02761"
"g000205_000002","g000205","uao","Uric acid degradation bifunctional protein",70,70,311,1,1,1,0,0,0,0,311,"Uric acid degradation bifunctional protein(221):Uric acid degradation bifunctional protein PucL(89):hypothetical protein(1)","uao(221):pucL(89):NA(1)",315,537,500.77,187,3,"S33a_03402","CC001_01937","FDAARGOS_525_00367","CFBP5494_02760"
"g000341_000001","g000341","ureD","Urease accessory protein UreD",60,61,311,1,1,1,0,0,0,0,311,"Urease accessory protein UreD(311)","ureD(311)",522,876,719.88,188,1,"S33a_03470","CC001_02005","FDAARGOS_525_00465","CFBP5494_02829"
"g004950_1_000006","g004950_1","ureA","Urease subunit gamma",90,15,311,1,1,1,0,0,0,0,311,"Urease subunit gamma(311)","ureA(311)",303,303,303,188,2,"S33a_03469","CC001_02004","FDAARGOS_525_00464","CFBP5494_02828"
"g003468_1_000004","g003468_1","ureB1","Urease subunit beta 1",80,22,311,1,1,1,0,0,0,0,311,"Urease subunit beta 1(311)","ureB1(311)",306,348,306.14,188,3,"S33a_03467","CC001_02002","FDAARGOS_525_00462","CFBP5494_02826"
"g000840_1_000001","g000840_1",NA,"Polyphosphate:ADP phosphotransferase",60,37,311,1,1,1,0,0,0,0,311,"Polyphosphate:ADP phosphotransferase(175):Polyphosphate:ADP phosphotransferase 1(136)","NA(311)",882,939,883.04,189,1,"S33a_04428","CC001_00094","FDAARGOS_525_01444","CFBP5494_00706"
"g001860_000001","g001860","sasA","Adaptive-response sensory-kinase SasA",60,33,311,1,1,1,0,0,0,0,311,"Adaptive-response sensory-kinase SasA(307):Sensor histidine kinase RcsC(4)","sasA(307):rcsC(4)",1221,1335,1266.19,189,2,"S33a_04429","CC001_00095","FDAARGOS_525_01445","CFBP5494_00707"
"g002402","g002402","pstS","Phosphate-binding protein PstS",50,21,311,1,1,1,1,0,1,0,311,"Phosphate-binding protein PstS(168):Protein SphX(143):hypothetical protein(1)","pstS(168):sphX(143):NA(1)",321,1119,1032.84,189,3,"S33a_04430","CC001_00096","FDAARGOS_525_01446","CFBP5494_00708"
"g001601_000002","g001601","cysH","Thioredoxin-dependent 5'-adenylylsulfate reductase",70,33,311,1,1,1,0,0,0,0,311,"Thioredoxin-dependent 5'-adenylylsulfate reductase(311)","cysH(311)",738,777,754.66,190,1,"S33a_04836","CC001_00447","FDAARGOS_525_01872","CFBP5494_01100"
"g002266_1_000007","g002266_1","cysD","Sulfate adenylyltransferase subunit 2",80,20,311,1,1,1,0,0,0,0,311,"Sulfate adenylyltransferase subunit 2(311)","cysD(311)",951,1032,966.47,190,2,"S33a_04835","CC001_00446","FDAARGOS_525_01871","CFBP5494_01099"
"g002204_000002","g002204","cysN","Sulfate adenylyltransferase subunit 1",70,30,311,1,1,1,0,0,0,0,311,"Sulfate adenylyltransferase subunit 1(311)","cysN(311)",1470,1539,1492.23,190,3,"S33a_04834","CC001_00445","FDAARGOS_525_01870","CFBP5494_01098"
"g001765_000001","g001765",NA,"hypothetical protein",60,32,311,1,1,1,3,0,3,0,311,"hypothetical protein(314)","NA(314)",306,1887,1787.99,191,1,"S33a_04843","CC001_00455","FDAARGOS_525_01880","CFBP5494_01108"
"g001991_000002","g001991","betI","HTH-type transcriptional regulator BetI",70,31,311,1,1,1,0,0,0,0,311,"HTH-type transcriptional regulator BetI(311)","betI(311)",588,651,612.57,191,2,"S33a_04844","CC001_00457","FDAARGOS_525_01882","CFBP5494_01110"
"g000311_000002","g000311","betC","Choline-sulfatase",70,63,311,1,1,1,0,0,0,0,311,"Choline-sulfatase(311)","betC(311)",1512,1530,1515.44,191,3,"S33a_00520","CC001_04427","FDAARGOS_525_03216","CFBP5494_03189"
"g003429_000002","g003429","yiaD","putative lipoprotein YiaD",70,19,311,1,1,1,1,0,1,0,311,"putative lipoprotein YiaD(310):hypothetical protein(2)","yiaD(310):NA(2)",153,837,663.75,192,1,"S33a_03787","CC001_02323","FDAARGOS_525_00822","CFBP5494_00173"
"g004747_000004","g004747","ispG","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)",90,16,311,1,1,1,0,0,0,0,311,"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)(311)","ispG(311)",609,1332,1251.47,192,2,"S33a_03788","CC001_02324","FDAARGOS_525_00823","CFBP5494_00174"
"g002210_000001","g002210","ybjJ","Inner membrane protein YbjJ",60,30,311,1,1,1,0,0,0,0,311,"Inner membrane protein YbjJ(311)","ybjJ(311)",1155,1200,1187.43,192,3,"S33a_03789","CC001_02325","FDAARGOS_525_00824","CFBP5494_00175"
"g002287_000003","g002287","dcd","Deoxycytidine triphosphate deaminase",80,30,311,1,1,1,0,0,0,0,311,"Deoxycytidine triphosphate deaminase(311)","dcd(311)",1092,1113,1097.33,193,1,"S33a_04442","CC001_00108","FDAARGOS_525_01458","CFBP5494_00720"
"g004496_000003","g004496","metZ","O-succinylhomoserine sulfhydrylase",80,17,311,1,1,1,0,0,0,0,311,"O-succinylhomoserine sulfhydrylase(311)","metZ(311)",1179,1260,1185.45,193,2,"S33a_04441","CC001_00107","FDAARGOS_525_01457","CFBP5494_00719"
"g002591_000002","g002591","apaG","Protein ApaG",70,28,311,1,1,1,0,0,0,0,311,"Protein ApaG(311)","apaG(311)",393,516,418.08,193,3,"S33a_04440","CC001_00106","FDAARGOS_525_01456","CFBP5494_00718"
"g001822_000001","g001822",NA,"hypothetical protein",60,34,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",366,387,376.14,194,1,"S33a_01655","CC001_03360","FDAARGOS_525_04282","CFBP5494_04169"
"g002807_1_000004","g002807_1","tktA","Transketolase 1",70,17,311,1,1,1,1,0,1,0,311,"Transketolase 1(312)","tktA(312)",828,1983,1975.86,194,2,"S33a_01653","CC001_03362","FDAARGOS_525_04280","CFBP5494_04167"
"g004586_000002","g004586","gap","Glyceraldehyde-3-phosphate dehydrogenase",70,17,311,1,1,1,0,0,0,0,311,"Glyceraldehyde-3-phosphate dehydrogenase(158):Glyceraldehyde-3-phosphate dehydrogenase 1(153)","gap(158):gapA(153)",1008,1011,1010.52,194,3,"S33a_01652","CC001_03363","FDAARGOS_525_04279","CFBP5494_04166"
"g003455_000002","g003455","lolD","Lipoprotein-releasing system ATP-binding protein LolD",70,23,311,1,1,1,0,0,0,0,311,"Lipoprotein-releasing system ATP-binding protein LolD(311)","lolD(311)",669,690,684.85,195,1,"S33a_02415","CC001_00911","FDAARGOS_525_02354","CFBP5494_01634"
"g002977_000003","g002977","dnaE1","DNA polymerase III subunit alpha",80,24,311,1,1,1,1,0,1,0,311,"DNA polymerase III subunit alpha(311):Error-prone DNA polymerase(1)","dnaE1(311):dnaE2(1)",471,3564,3478.69,195,2,"S33a_02416","CC001_00912","FDAARGOS_525_02355","CFBP5494_01635"
"g001427_000003","g001427","dinB","DNA polymerase IV",80,37,311,1,1,1,0,0,0,0,311,"DNA polymerase IV(311)","dinB(311)",1182,1341,1295.26,195,3,"S33a_02418","CC001_00914","FDAARGOS_525_02357","CFBP5494_01637"
"g000995_000002","g000995","hisC","Histidinol-phosphate aminotransferase",70,42,311,1,1,1,0,0,0,0,311,"Histidinol-phosphate aminotransferase(311)","hisC(311)",1110,1155,1113.55,196,1,"S33a_05031","CC001_00648","FDAARGOS_525_02091","CFBP5494_01301"
"g003470_000001","g003470",NA,"hypothetical protein",60,23,311,1.01,1,2,0,4,0,4,315,"hypothetical protein(315)","NA(315)",213,408,268.78,196,2,"S33a_05030","CC001_00647","FDAARGOS_525_02090","CFBP5494_01300"
"g001299_1_000001","g001299_1",NA,"hypothetical protein",60,37,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",141,339,337.88,196,3,"S33a_05029","CC001_00646","FDAARGOS_525_02089","CFBP5494_01299"
"g002578_000002","g002578",NA,"hypothetical protein",70,27,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",183,501,338.57,197,1,"S33a_04216","CC001_02630","FDAARGOS_525_01139","CFBP5494_00479"
"g000351_000001","g000351","ykfC","Dipeptidyl-peptidase 6",60,60,311,1,1,1,0,0,0,0,311,"Dipeptidyl-peptidase 6(190):Gamma-D-glutamyl-L-lysine dipeptidyl-peptidase(64):hypothetical protein(57)","NA(247):ykfC(64)",789,876,855.05,197,2,"S33a_04217","CC001_02631","FDAARGOS_525_01140","CFBP5494_00480"
