"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","Kin002","NCPPB2659","MAFF210266"
"g001767_000002","g001767","ureE","Urease accessory protein UreE",70,29,311,1,1,1,0,0,0,0,311,"Urease accessory protein UreE(235):Urease accessory protein UreE 1(76)","ureE(235):ureE1(76)",462,810,501.26,329,1,"Kin002_02127","NCPPB2659_02124","MAFF210266_02838"
"g000091","g000091","ureF","Urease accessory protein UreF",50,87,311,1,1,1,0,0,0,0,311,"Urease accessory protein UreF(311)","ureF(311)",624,735,678.88,329,2,"Kin002_02126","NCPPB2659_02123","MAFF210266_02837"
"g005680_000004","g005680","cytR","HTH-type transcriptional repressor CytR",90,13,311,1,1,2,1,1,1,1,312,"HTH-type transcriptional repressor CytR(311):Maltose regulon regulatory protein MalI(1):HTH-type transcriptional repressor PurR(1)","cytR(311):malI(1):purR(1)",255,1041,1019.88,330,1,"Kin002_03242","NCPPB2659_03267","MAFF210266_03120"
"g000531_000001","g000531","ghrB","2-ketogluconate reductase",60,51,311,1,1,2,0,1,0,1,312,"2-ketogluconate reductase(308):Glyoxylate/hydroxypyruvate reductase B(4)","NA(308):ghrB(4)",957,1029,964.44,330,2,"Kin002_03241","NCPPB2659_03266","MAFF210266_03121"
"g002861_000002","g002861","rimP","Ribosome maturation factor RimP",70,26,311,1,1,1,0,0,0,0,311,"Ribosome maturation factor RimP(311)","rimP(311)",393,789,606.7,331,1,"Kin002_02709","NCPPB2659_02694","MAFF210266_00029"
"g005906_000004","g005906","nusA","Transcription termination/antitermination protein NusA",90,12,311,1,1,1,2,0,2,0,311,"Transcription termination/antitermination protein NusA(311):hypothetical protein(2)","nusA(311):NA(2)",282,1623,1603.08,331,2,"Kin002_02708","NCPPB2659_02693","MAFF210266_00028"
"g002416_1_000007","g002416_1","parA","Chromosome partitioning protein ParA",80,24,311,1,1,1,0,0,0,0,311,"Chromosome partitioning protein ParA(311)","parA(311)",792,867,796.3,332,1,"Kin002_02591","NCPPB2659_02602","MAFF210266_03670"
"g002759_000003","g002759","parB","Chromosome-partitioning protein ParB",80,23,311,1,1,1,0,0,0,0,311,"Chromosome-partitioning protein ParB(311)","parB(311)",786,885,882.2,332,2,"Kin002_02590","NCPPB2659_02601","MAFF210266_03669"
"g001538_000002","g001538","cinA","hypothetical protein",70,36,311,1,1,1,2,0,2,0,311,"hypothetical protein(312):Putative competence-damage inducible protein(1)","NA(312):cinA(1)",255,846,778.17,333,1,"Kin002_01447","NCPPB2659_01452","MAFF210266_04380"
"g002610","g002610",NA,"hypothetical protein",50,28,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",189,846,841.78,333,2,"Kin002_01448","NCPPB2659_01453","MAFF210266_04379"
"g000469_000002","g000469","yggS","Pyridoxal phosphate homeostasis protein",70,56,311,1,1,1,0,0,0,0,311,"Pyridoxal phosphate homeostasis protein(311)","NA(209):yggS(102)",660,660,660,334,1,"Kin002_02510","NCPPB2659_02521","MAFF210266_03589"
"g001731_000003","g001731","leuS","Leucine--tRNA ligase",80,34,311,1,1,1,4,0,4,0,311,"Leucine--tRNA ligase(315)","leuS(315)",567,2631,2597.54,334,2,"Kin002_02511","NCPPB2659_02522","MAFF210266_03590"
"g002068_000002","g002068","ppdK","Pyruvate%2C phosphate dikinase",70,23,311,1,1,2,5,1,5,1,312,"Pyruvate%2C phosphate dikinase(313):hypothetical protein(4)","ppdK(313):NA(4)",141,2994,2661.14,335,1,"Kin002_00498","NCPPB2659_00468","MAFF210266_00698"
"g001318_000003","g001318","smc","Chromosome partition protein Smc",80,33,311,1,1,2,2,1,2,1,312,"Chromosome partition protein Smc(314)","smc(314)",192,3519,3432.47,335,2,"Kin002_00496","NCPPB2659_00466","MAFF210266_00695"
"g004050_000003","g004050","gltB","Ferredoxin-dependent glutamate synthase 1",80,18,311,1,1,1,2,0,2,0,311,"Ferredoxin-dependent glutamate synthase 1(311):hypothetical protein(2)","gltB(311):NA(2)",1062,4755,4706.12,336,1,"Kin002_04197","NCPPB2659_04178","MAFF210266_01955"
"g004083_000004","g004083","gltD","Glutamate synthase [NADPH] small chain",90,16,311,1,1,1,1,0,1,0,311,"Glutamate synthase [NADPH] small chain(312)","gltD(312)",666,1458,1447.33,336,2,"Kin002_04198","NCPPB2659_04179","MAFF210266_01954"
"g001610_1_000001","g001610_1","rcsC","Sensor histidine kinase RcsC",60,29,311,1,1,2,6,1,6,1,312,"Sensor histidine kinase RcsC(312):hypothetical protein(6)","rcsC(312):NA(6)",222,3408,3317.11,337,1,"Kin002_02148","NCPPB2659_02145","MAFF210266_02859"
"g001732","g001732","cheB","Chemotaxis response regulator protein-glutamate methylesterase",50,33,311,1,1,1,1,0,1,0,311,"Chemotaxis response regulator protein-glutamate methylesterase(254):Sensor histidine kinase RcsC(57):hypothetical protein(1)","cheB(254):rcsC(57):NA(1)",696,1239,931.49,337,2,"Kin002_02149","NCPPB2659_02146","MAFF210266_02860"
"g002074_000001","g002074","gdh","NAD-specific glutamate dehydrogenase",60,31,311,1,1,1,0,0,0,0,311,"NAD-specific glutamate dehydrogenase(311)","gdh(235):gdhB(76)",4410,4842,4774.8,338,1,"Kin002_02528","NCPPB2659_02539","MAFF210266_03607"
"g000673_000002","g000673",NA,"hypothetical protein",70,47,311,1,1,1,2,0,2,0,311,"hypothetical protein(313)","NA(313)",498,1440,1370.83,338,2,"Kin002_02529","NCPPB2659_02540","MAFF210266_03608"
"g002263_000003","g002263","hemB","Delta-aminolevulinic acid dehydratase",80,28,311,1,1,1,1,0,1,0,311,"Delta-aminolevulinic acid dehydratase(312)","hemB(312)",483,1020,1010.81,339,1,"Kin002_00887","NCPPB2659_00836","MAFF210266_01066"
"g002959_000002","g002959",NA,"hypothetical protein",70,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",459,459,459,339,2,"Kin002_00886","NCPPB2659_00835","MAFF210266_01065"
"g002634_1_000005","g002634_1",NA,"hypothetical protein",80,26,311,1,1,1,1,0,1,0,311,"hypothetical protein(312)","NA(312)",294,3831,3780.88,340,1,"Kin002_01450","NCPPB2659_01455","MAFF210266_04377"
"g001434_1_000010","g001434_1","gpt","Xanthine phosphoribosyltransferase",80,19,311,1,1,1,0,0,0,0,311,"Xanthine phosphoribosyltransferase(311)","gpt(311)",498,792,529.58,340,2,"Kin002_01449","NCPPB2659_01454","MAFF210266_04378"
"g001631_000002","g001631","recF","DNA replication and repair protein RecF",70,34,311,1,1,1,0,0,0,0,311,"DNA replication and repair protein RecF(311)","recF(311)",1125,1173,1127.46,341,1,"Kin002_02693","NCPPB2659_02678","MAFF210266_00013"
"g000860_000002","g000860","moeZ","putative adenylyltransferase/sulfurtransferase MoeZ",70,45,311,1,1,1,0,0,0,0,311,"putative adenylyltransferase/sulfurtransferase MoeZ(311)","moeZ(311)",753,831,775.23,341,2,"Kin002_02694","NCPPB2659_02679","MAFF210266_00014"
"g000901_000001","g000901","lpxI","UDP-2%2C3-diacylglucosamine pyrophosphatase LpxI",60,42,311,1,1,1,0,0,0,0,311,"UDP-2%2C3-diacylglucosamine pyrophosphatase LpxI(311)","lpxI(311)",822,894,876.04,342,1,"Kin002_01098","NCPPB2659_01047","MAFF210266_01274"
"g000378_000001","g000378","lpxB","Lipid-A-disaccharide synthase",60,57,311,1,1,1,0,0,0,0,311,"Lipid-A-disaccharide synthase(311)","lpxB(311)",1173,1206,1182.6,342,2,"Kin002_01099","NCPPB2659_01048","MAFF210266_01275"
"g000689_000001","g000689","rnhB","Ribonuclease HII",60,48,311,1,1,2,1,1,1,1,312,"Ribonuclease HII(277):hypothetical protein(34):Ribonuclease HIII(2)","rnhB(277):NA(34):rnhC(2)",219,915,671.3,343,1,"Kin002_00415","NCPPB2659_00385","MAFF210266_00613"
"g002732_000002","g002732","atpF","ATP synthase subunit b",70,27,311,1,1,2,0,1,0,1,312,"ATP synthase subunit b(312)","atpF(312)",480,492,487.52,343,2,"Kin002_00412","NCPPB2659_00382","MAFF210266_00610"
"g005240_000004","g005240","carB","Carbamoyl-phosphate synthase large chain",90,13,311,1,1,1,3,0,3,0,311,"Carbamoyl-phosphate synthase large chain(314)","carB(314)",1059,3489,3446.77,344,1,"Kin002_01880","NCPPB2659_01880","MAFF210266_02592"
"g005115_000003","g005115","greA","Transcription elongation factor GreA",80,15,311,1,1,1,0,0,0,0,311,"Transcription elongation factor GreA(311)","greA(311)",477,477,477,344,2,"Kin002_01886","NCPPB2659_01886","MAFF210266_02598"
"g000170_1_000006","g000170_1","ibpA","Small heat shock protein IbpA",70,24,311,1,1,1,0,0,0,0,311,"Small heat shock protein IbpA(311)","ibpA(311)",465,486,475.73,345,1,"Kin002_03979","NCPPB2659_03972","MAFF210266_02162"
"g001430","g001430","pldB","Lysophospholipase L2",50,37,311,1,1,1,0,0,0,0,311,"Lysophospholipase L2(309):hypothetical protein(2)","pldB(309):NA(2)",846,1158,963.96,345,2,"Kin002_03980","NCPPB2659_03973","MAFF210266_02161"
"g002242","g002242","flhB","Flagellar biosynthetic protein FlhB",50,30,311,1,1,1,1,0,1,0,311,"Flagellar biosynthetic protein FlhB(303):hypothetical protein(9)","flhB(303):NA(9)",408,1137,1077.22,346,1,"Kin002_00260","NCPPB2659_00202","MAFF210266_00458"
"g002175_000001","g002175",NA,"hypothetical protein",60,31,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",363,450,437.48,346,2,"Kin002_00261","NCPPB2659_00203","MAFF210266_00459"
"g000723_000003","g000723",NA,"hypothetical protein",80,49,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",504,744,571.67,347,1,"Kin002_01964","NCPPB2659_01964","MAFF210266_02676"
"g005956_000003","g005956","gltA","Citrate synthase",80,11,311,1.01,1,2,0,2,0,2,313,"Citrate synthase(313)","gltA(310):aarA(3)",1290,1308,1290.06,348,1,"Kin002_01105","NCPPB2659_01054","MAFF210266_01281"
"g000824_1_000010","g000824_1","phaA","Acetyl-CoA acetyltransferase",80,40,311,1.09,1,3,1,27,1,28,339,"Acetyl-CoA acetyltransferase(340)","phaA(340)",441,1188,1176.37,349,1,"Kin002_02531","NCPPB2659_02542","MAFF210266_03610"
"g004827_000002","g004827",NA,"hypothetical protein",70,16,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",573,579,575.22,350,1,"Kin002_02530","NCPPB2659_02541","MAFF210266_03609"
"g000116","g000116","def","Peptide deformylase",50,80,311,1,1,1,0,0,0,0,311,"Peptide deformylase(311)","def(311)",486,594,495.96,351,1,"Kin002_01285","NCPPB2659_01180","MAFF210266_05086"
"g004209_000003","g004209",NA,"hypothetical protein",80,19,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",693,708,702.5,352,1,"Kin002_02509","NCPPB2659_02520","MAFF210266_03588"
"g004055_000003","g004055","yheS","putative ABC transporter ATP-binding protein YheS",80,19,311,1,1,1,0,0,0,0,311,"putative ABC transporter ATP-binding protein YheS(311)","yheS(311)",1284,1917,1622.74,353,1,"Kin002_04112","NCPPB2659_04104","MAFF210266_02030"
"g003198_000002","g003198",NA,"hypothetical protein",70,24,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",603,675,611.66,354,1,"Kin002_00476","NCPPB2659_00446","MAFF210266_00675"
"g001985_000002","g001985","pepF1","hypothetical protein",70,32,311,1,1,1,0,0,0,0,311,"hypothetical protein(280):Oligoendopeptidase F%2C plasmid(31)","NA(280):pepF1(31)",1845,1884,1853.88,355,1,"Kin002_04215","NCPPB2659_04196","MAFF210266_01937"
"g001153_000003","g001153","comM","Competence protein ComM",80,29,311,1,1,1,61,0,61,0,311,"Competence protein ComM(370):hypothetical protein(11)","comM(370):NA(11)",216,1632,1250.96,356,1,"Kin002_02922","NCPPB2659_02914","MAFF210266_00242"
"g003500_000002","g003500","glnD","Bifunctional uridylyltransferase/uridylyl-removing enzyme",70,22,311,1,1,1,3,0,3,0,311,"Bifunctional uridylyltransferase/uridylyl-removing enzyme(314)","glnD(314)",675,2931,2810.37,357,1,"Kin002_00022","NCPPB2659_00022","MAFF210266_00276"
"g002195_000001","g002195","ndvB","Cyclic beta-(1%2C2)-glucan synthase NdvB",60,26,311,1.01,1,2,2,4,2,4,315,"Cyclic beta-(1%2C2)-glucan synthase NdvB(317)","ndvB(317)",309,8547,8366.64,358,1,"Kin002_02494","NCPPB2659_02505","MAFF210266_03573"
"g000284","g000284","dmsA","Dimethyl sulfoxide reductase DmsA",50,65,311,1,1,1,108,0,108,0,311,"Dimethyl sulfoxide reductase DmsA(181):Putative dimethyl sulfoxide reductase chain YnfE(112):GDP-mannose pyrophosphatase NudK(108):putative dimethyl sulfoxide reductase chain YnfF(17):Nitrate reductase(1)","dmsA(181):ynfE(112):nudK(108):ynfF(17):napA(1)",594,2817,1772.36,359,1,"(Kin002_00860:Kin002_00861)","(NCPPB2659_00807:NCPPB2659_00808)","(MAFF210266_01039:MAFF210266_01040)"
"g001104_000002","g001104","aroA","3-phosphoshikimate 1-carboxyvinyltransferase",70,40,311,1,1,1,0,0,0,0,311,"3-phosphoshikimate 1-carboxyvinyltransferase(311)","aroA(311)",1185,1302,1269.22,360,1,"Kin002_00331","NCPPB2659_00301","MAFF210266_00530"
"g002190_000002","g002190","srmB","ATP-dependent RNA helicase SrmB",70,29,311,1,1,1,3,0,3,0,311,"ATP-dependent RNA helicase SrmB(175):ATP-dependent RNA helicase RhlB(133):hypothetical protein(6)","srmB(175):rhlB(133):NA(6)",636,2637,2497.34,361,1,"Kin002_00189","NCPPB2659_00129","MAFF210266_00387"
"g002680_000001","g002680","sasA","Adaptive-response sensory-kinase SasA",60,27,311,1,1,1,0,0,0,0,311,"Adaptive-response sensory-kinase SasA(231):Sensor histidine kinase RcsC(80)","sasA(231):rcsC(80)",1530,1536,1534.42,362,1,"Kin002_01610","NCPPB2659_01615","MAFF210266_02323"
"g002741_000002","g002741",NA,"hypothetical protein",70,27,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1062,1107,1098.1,363,1,"Kin002_02822","NCPPB2659_02807","MAFF210266_00142"
"g001994","g001994",NA,"hypothetical protein",50,32,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",579,774,591.29,364,1,"Kin002_00943","NCPPB2659_00892","MAFF210266_01122"
"g000128_1_000002","g000128_1",NA,"hypothetical protein",60,29,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",447,621,610.58,365,1,"Kin002_02863","NCPPB2659_02848","MAFF210266_00183"
"g001611_1_000001","g001611_1","qseB","Transcriptional regulatory protein QseB",60,27,311,1.01,1,2,0,2,0,2,313,"Transcriptional regulatory protein QseB(178):Swarming motility regulation protein RssB(134):Transcriptional regulatory protein BasR(1)","qseB(178):rssB(134):basR(1)",630,762,658.97,366,1,"Kin002_03736","NCPPB2659_03787","MAFF210266_03818"
"g000466_000002","g000466",NA,"hypothetical protein",70,55,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",156,483,418.76,367,1,"Kin002_01867","NCPPB2659_01867","MAFF210266_02578"
"g005014_1_000005","g005014_1","ilvD","Dihydroxy-acid dehydratase",80,12,311,1,1,1,1,0,1,0,311,"Dihydroxy-acid dehydratase(312)","ilvD(312)",567,1884,1831.2,368,1,"Kin002_01639","NCPPB2659_01644","MAFF210266_02352"
"g004472_000003","g004472","menF","Isochorismate synthase MenF",80,17,311,1,1,1,0,0,0,0,311,"Isochorismate synthase MenF(306):Carbamoyl-phosphate synthase small chain(5)","menF(306):carA(5)",2190,2190,2190,369,1,"Kin002_01993","NCPPB2659_01994","MAFF210266_02706"
"g004197_1_000003","g004197_1","yieH","6-phosphogluconate phosphatase",70,18,311,1,1,1,0,0,0,0,311,"6-phosphogluconate phosphatase(311)","yieH(311)",684,759,691.1,370,1,"Kin002_00484","NCPPB2659_00454","MAFF210266_00683"
"g002045_000002","g002045","sppA","hypothetical protein",70,32,311,1,1,1,0,0,0,0,311,"hypothetical protein(289):Putative signal peptide peptidase SppA(22)","NA(289):sppA(22)",642,882,864.41,371,1,"Kin002_00326","NCPPB2659_00296","MAFF210266_00525"
"g000026","g000026","soxA","Monomeric sarcosine oxidase",50,137,311,1.58,1,3,1,176,1,179,490,"Monomeric sarcosine oxidase(486):hypothetical protein(4):N-methyl-L-tryptophan oxidase(1)","soxA(486):NA(4):solA(1)",237,1197,1179.38,372,1,"Kin002_01815;Kin002_01816","NCPPB2659_01818;NCPPB2659_01819","MAFF210266_02529;MAFF210266_02530"
"g003298_000003","g003298","lexA","LexA repressor",80,24,311,1,1,1,0,0,0,0,311,"LexA repressor(311)","lexA(311)",366,792,721.81,373,1,"Kin002_01108","NCPPB2659_01057","MAFF210266_01284"
"g001424","g001424","hisC","Histidinol-phosphate aminotransferase",50,36,311,1,1,2,0,1,0,1,312,"Histidinol-phosphate aminotransferase(159):hypothetical protein(138):Vitamin B6 salvage pathway transcriptional repressor PtsJ(8):HTH-type transcriptional regulator TauR(7)","hisC(159):NA(138):ptsJ(8):tauR(7)",702,1443,1413.46,374,1,"Kin002_01568","NCPPB2659_01574","MAFF210266_02282"
"g001726_000003","g001726","dapb1","Dipeptidyl aminopeptidase BI",80,29,311,1,1,1,3,0,3,0,311,"Dipeptidyl aminopeptidase BI(311):Protease 2(3)","dapb1(311):ptrB(3)",246,2196,2098.85,375,1,"Kin002_00615","NCPPB2659_00559","MAFF210266_00793"
"g000121","g000121",NA,"hypothetical protein",50,77,311,1.27,1,3,3,80,3,84,395,"hypothetical protein(398)","NA(398)",174,651,568.48,376,1,"Kin002_01123","NCPPB2659_01072","MAFF210266_01299"
"g000556","g000556","cobH","Precorrin-8X methylmutase",50,53,311,1,1,1,2,0,2,0,311,"Precorrin-8X methylmutase(260):hypothetical protein(53)","cobH(260):NA(53)",633,1764,801.67,377,1,"Kin002_02565","NCPPB2659_02576","MAFF210266_03644"
"g003240_000003","g003240",NA,"hypothetical protein",80,24,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",504,513,510.82,378,1,"Kin002_01761","NCPPB2659_01764","MAFF210266_02472"
"g002943_000001","g002943",NA,"hypothetical protein",60,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",366,396,377.35,379,1,"Kin002_00280","NCPPB2659_00222","MAFF210266_00479"
"g000155","g000155","menF","Isochorismate synthase MenF",50,74,311,1,1,1,0,0,0,0,311,"Isochorismate synthase MenF(216):Aminodeoxychorismate synthase component 1(95)","menF(216):pabB(95)",927,1254,1156.56,380,1,"Kin002_01397","NCPPB2659_01402","MAFF210266_04430"
"g000138_1_000001","g000138_1","gntK","Gluconokinase",60,49,311,1,1,1,0,0,0,0,311,"Gluconokinase(260):Thermoresistant gluconokinase(51)","NA(260):gntK(51)",504,546,520.36,381,1,"Kin002_02809","NCPPB2659_02794","MAFF210266_00129"
"g002378_000001","g002378","ycaD","putative MFS-type transporter YcaD",60,25,311,1,1,1,1,0,1,0,311,"putative MFS-type transporter YcaD(312)","ycaD(312)",444,1296,1280.08,382,1,"Kin002_04241","NCPPB2659_04221","MAFF210266_01912"
"g000007_1_000003","g000007_1","omp2b","Porin Omp2b",80,181,311,4.22,1,11,20,253,20,1001,1312,"Porin Omp2b(608):Outer membrane protein IIIA(565):Porin Omp2a(154):hypothetical protein(5)","omp2b(608):ropA(565):omp2a(154):NA(5)",207,1296,1055.67,383,1,"Kin002_00747;Kin002_00748;Kin002_02967;Kin002_03055","NCPPB2659_00692;NCPPB2659_00693;NCPPB2659_02994;NCPPB2659_03079","MAFF210266_00926;MAFF210266_00927;MAFF210266_03307;MAFF210266_03385"
"g004240_000003","g004240","queF","NADPH-dependent 7-cyano-7-deazaguanine reductase",80,19,311,1,1,1,0,0,0,0,311,"NADPH-dependent 7-cyano-7-deazaguanine reductase(311)","queF(311)",465,465,465,384,1,"Kin002_01977","NCPPB2659_01978","MAFF210266_02690"
"g000658","g000658","dgkA","hypothetical protein",50,47,311,1.02,1,2,0,6,0,6,317,"hypothetical protein(189):Diacylglycerol kinase(128)","NA(189):dgkA(128)",381,450,406.24,385,1,"Kin002_01611","NCPPB2659_01616","MAFF210266_02324"
"g003143_000002","g003143",NA,"hypothetical protein",70,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",390,399,394.13,386,1,"Kin002_00580","NCPPB2659_00523","MAFF210266_00757"
"g002446_1_000003","g002446_1","phaB","Acetoacetyl-CoA reductase",70,27,311,1.25,1,2,0,77,0,77,388,"Acetoacetyl-CoA reductase(381):3-oxoacyl-[acyl-carrier-protein] reductase FabG(7)","phaB(381):fabG(7)",726,726,726,387,1,"Kin002_02532","NCPPB2659_02543","MAFF210266_03611"
"g001547_1_000001","g001547_1","erfK","hypothetical protein",60,31,311,1.01,1,2,0,4,0,4,315,"hypothetical protein(314):putative L%2CD-transpeptidase ErfK/SrfK(1)","NA(314):erfK(1)",336,825,742.43,388,1,"Kin002_00359","NCPPB2659_00329","MAFF210266_00558"
"g001759_000002","g001759","mgtA","GDP-mannose-dependent alpha-mannosyltransferase",70,26,311,1,1,1,1,0,1,0,311,"GDP-mannose-dependent alpha-mannosyltransferase(304):hypothetical protein(8)","mgtA(304):NA(8)",495,1173,1066.43,389,1,"Kin002_02000","NCPPB2659_02001","MAFF210266_02713"
"g002113_000003","g002113","purC","Phosphoribosylaminoimidazole-succinocarboxamide synthase",80,31,311,1,1,1,0,0,0,0,311,"Phosphoribosylaminoimidazole-succinocarboxamide synthase(311)","purC(311)",942,1119,962,390,1,"Kin002_02314","NCPPB2659_02323","MAFF210266_03392"
"g000004_9_000001","g000004_9","malK","Maltose/maltodextrin import ATP-binding protein MalK",60,420,311,9.42,5,13,213,311,522,2620,2931,"Maltose/maltodextrin import ATP-binding protein MalK(1983):sn-glycerol-3-phosphate import ATP-binding protein UgpC(1367):Trehalose import ATP-binding protein SugC(143):hypothetical protein(26):Vitamin B12 import ATP-binding protein BtuD(1)","malK(1983):ugpC(1367):sugC(143):NA(26):btuD(1)",183,1206,1056.67,391,1,"Kin002_02306;Kin002_02919;Kin002_03093;Kin002_03189;Kin002_03344;Kin002_03902;Kin002_04104;Kin002_04321;Kin002_04667;Kin002_04720;Kin002_04851;Kin002_04911;Kin002_05188","(NCPPB2659_03117:NCPPB2659_04303);(NCPPB2659_03609:NCPPB2659_04659);NCPPB2659_02315;NCPPB2659_02911;NCPPB2659_03214;NCPPB2659_03367;NCPPB2659_04096;NCPPB2659_04606;NCPPB2659_04792;NCPPB2659_04852","(MAFF210266_02038:MAFF210266_03269);MAFF210266_00239;MAFF210266_01346;MAFF210266_01480;MAFF210266_01533;MAFF210266_01832;MAFF210266_03016;MAFF210266_03019;MAFF210266_03173;MAFF210266_04713;MAFF210266_04939"
"g003021_000002","g003021","fliI","Flagellum-specific ATP synthase",70,25,311,1,1,1,0,0,0,0,311,"Flagellum-specific ATP synthase(161):ATP synthase subunit beta(121):V-type ATP synthase beta chain(23):putative ATP synthase YscN(6)","fliI(161):atpB(144):yscN(6)",423,1467,1391.49,392,1,"Kin002_00253","NCPPB2659_00195","MAFF210266_00451"
"g001977_000001","g001977","rlmD","23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD",60,32,311,1,1,1,0,0,0,0,311,"23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD(311)","rlmD(311)",1251,1257,1251.99,393,1,"Kin002_00429","NCPPB2659_00399","MAFF210266_00627"
"g000005_8","g000005_8","glnQ","Glutamine transport ATP-binding protein GlnQ",50,202,311,4.78,1,12,153,299,449,1175,1486,"Glutamine transport ATP-binding protein GlnQ(1303):L-cystine import ATP-binding protein TcyC(267):Vitamin B12 import ATP-binding protein BtuD(228):Octopine permease ATP-binding protein P(202):Arginine transport ATP-binding protein ArtM(47):hypothetical protein(2):Histidine transport ATP-binding protein HisP(1)","glnQ(1303):tcyC(267):btuD(228):occP(202):artM(47):NA(2):hisP(1)",252,1569,848.18,394,1,"(Kin002_03067:Kin002_03549);Kin002_01104;Kin002_04090;Kin002_05034;Kin002_05387","NCPPB2659_01053;NCPPB2659_03571;NCPPB2659_04082;NCPPB2659_05097","MAFF210266_01280;MAFF210266_02052;MAFF210266_04014;MAFF210266_04486"
"g000298_000001","g000298","yffB","Protein YffB",60,65,311,1,1,1,0,0,0,0,311,"Protein YffB(189):putative protein(120):Regulatory protein Spx(2)","yffB(189):NA(120):spxA(2)",345,468,352.61,395,1,"Kin002_02887","NCPPB2659_02872","MAFF210266_00207"
"g002497_000001","g002497","mdtD","Putative multidrug resistance protein MdtD",60,28,311,1,1,1,0,0,0,0,311,"Putative multidrug resistance protein MdtD(192):Multidrug resistance protein 3(119)","mdtD(192):bmr3(119)",1497,1605,1537.33,396,1,"Kin002_00556","NCPPB2659_00501","MAFF210266_00734"
"g000069_000001","g000069","nasA","Nitrate reductase",60,98,311,1.03,1,2,0,9,0,9,320,"Nitrate reductase(320)","nasA(320)",2505,2721,2655.39,397,1,"Kin002_03966","NCPPB2659_03959","MAFF210266_02175"
"g005682_000004","g005682","glyQ","Glycine--tRNA ligase alpha subunit",90,12,311,1,1,1,0,0,0,0,311,"Glycine--tRNA ligase alpha subunit(311)","glyQ(311)",954,1020,960.3,398,1,"Kin002_00329","NCPPB2659_00299","MAFF210266_00528"
"g000717","g000717","gloB","Hydroxyacylglutathione hydrolase",50,49,311,1,1,1,0,0,0,0,311,"Hydroxyacylglutathione hydrolase(311)","gloB(311)",909,981,911.55,399,1,"Kin002_00505","NCPPB2659_00473","MAFF210266_00704"
"g001395_1_000002","g001395_1","kup","Low affinity potassium transport system protein kup",70,31,311,1.13,1,3,1,39,1,40,351,"Low affinity potassium transport system protein kup(352)","kup(352)",396,2061,1897.84,400,1,"Kin002_00406","NCPPB2659_00376;NCPPB2659_05052","MAFF210266_00604;MAFF210266_04543"
"g002508_1_000007","g002508_1","leuC","3-isopropylmalate dehydratase large subunit",80,20,311,1,1,1,1,0,1,0,311,"3-isopropylmalate dehydratase large subunit(308):3-isopropylmalate dehydratase large subunit 1(4)","leuC(308):leuC1(4)",375,1422,1405.57,401,1,"Kin002_02472","NCPPB2659_02483","MAFF210266_03551"
"g000427","g000427","recQ","ATP-dependent DNA helicase RecQ",50,51,311,1.02,1,3,5,5,5,6,317,"ATP-dependent DNA helicase RecQ(316):hypothetical protein(6)","recQ(316):NA(6)",174,2025,1798.18,402,1,"Kin002_02682","NCPPB2659_02667","MAFF210266_00002"
"g000048_1_000062","g000048_1","cspG","Cold shock-like protein 7.0",90,7,311,1,1,1,0,0,0,0,311,"Cold shock-like protein 7.0(257):Cold shock-like protein CspG(53):Cold shock protein CspA(1)","NA(257):cspG(53):cspA(1)",216,216,216,403,1,"Kin002_01902","NCPPB2659_01902","MAFF210266_02614"
"g001253_1_000001","g001253_1","rafR","HTH-type transcriptional regulator RafR",60,37,311,1,1,1,0,0,0,0,311,"HTH-type transcriptional regulator RafR(298):HTH-type transcriptional repressor PurR(13)","rafR(298):purR(13)",867,1236,1049.12,404,1,"Kin002_01261","NCPPB2659_01157","MAFF210266_05109"
"g000627_000001","g000627",NA,"Tn3 family transposase TnXax1",60,49,311,1,1,1,1,0,1,0,311,"Tn3 family transposase TnXax1(257):hypothetical protein(55)","NA(312)",540,1461,1298.55,405,1,"Kin002_02711","NCPPB2659_02696","MAFF210266_00031"
