"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","SUL3scf","CFBP6624","CFBP6623","LC34"
"g002631","g002631","ywqD","hypothetical protein",50,27,308,1,1,1,1,0,1,0,308,"hypothetical protein(257):Iron-sulfur cluster carrier protein(50):Tyrosine-protein kinase YwqD(2)","NA(307):ywqD(2)",732,2394,2336.22,815,2,"SUL3scf_03614","CFBP6624_04013","CFBP6623_04052","LC34_01649"
"g000811","g000811",NA,"hypothetical protein",50,45,308,1,1,1,0,0,0,0,308,"hypothetical protein(308)","NA(308)",237,291,282.51,816,1,"SUL3scf_03626","CFBP6624_04025","CFBP6623_04064","LC34_01661"
"g003091_1_000003","g003091_1","epsL","putative sugar transferase EpsL",70,22,308,1.01,1,2,0,3,0,3,311,"putative sugar transferase EpsL(311)","epsL(311)",636,681,680.04,816,2,"SUL3scf_02463","CFBP6624_03207","CFBP6623_03292","LC34_04866"
"g001974","g001974",NA,"hypothetical protein",50,29,308,1,1,2,0,1,0,1,309,"hypothetical protein(309)","NA(309)",1266,1326,1280.43,817,1,"SUL3scf_02465","CFBP6624_03205","CFBP6623_03290","LC34_04864"
"g002096","g002096",NA,"hypothetical protein",50,31,308,1,1,1,0,0,0,0,308,"hypothetical protein(308)","NA(308)",270,1287,1267.79,817,2,"SUL3scf_02464","CFBP6624_03206","CFBP6623_03291","LC34_04865"
"g001653_1_000001","g001653_1",NA,"hypothetical protein",60,31,308,1,1,2,0,1,0,1,309,"hypothetical protein(309)","NA(309)",378,966,959.55,818,1,"SUL3scf_03623","CFBP6624_04022","CFBP6623_04061","LC34_01658"
"g001347_000002","g001347","pssM","Exopolysaccharide glucosyl ketal-pyruvate-transferase",70,24,308,1.04,1,2,2,12,2,12,320,"Exopolysaccharide glucosyl ketal-pyruvate-transferase(267):hypothetical protein(55)","pssM(267):NA(55)",135,1008,954.02,818,2,"SUL3scf_03624","CFBP6624_04023","CFBP6623_04062","LC34_01659"
"g000476_1_000003","g000476_1","putA","Bifunctional protein PutA",70,47,308,1,1,2,2,1,2,1,309,"Bifunctional protein PutA(311)","putA(311)",414,3720,3670.15,819,1,"SUL3scf_03714","CFBP6624_04126","CFBP6623_04154","LC34_02114"
"g000571","g000571",NA,"hypothetical protein",50,53,308,1,1,1,0,0,0,0,308,"hypothetical protein(308)","NA(308)",375,615,463.29,820,1,"SUL3scf_04264","CFBP6624_00725","CFBP6623_00735","LC34_00673"
"g001716_000001","g001716","exoK","Endo-1%2C3-1%2C4-beta-glycanase ExoK",60,35,308,1.01,1,2,0,2,0,2,310,"Endo-1%2C3-1%2C4-beta-glycanase ExoK(310)","exoK(310)",777,807,797.34,821,1,"SUL3scf_03620","CFBP6624_04019","CFBP6623_04058","LC34_01655"
"g001132_000001","g001132",NA,"hypothetical protein",60,40,308,1,1,2,0,1,0,1,309,"hypothetical protein(309)","NA(309)",480,534,495.74,822,1,"SUL3scf_02197","CFBP6624_02320","CFBP6623_02413","LC34_04113"
"g001451_000001","g001451",NA,"hypothetical protein",60,37,308,1,1,1,0,0,0,0,308,"hypothetical protein(308)","NA(308)",477,552,511.35,823,1,"SUL3scf_04101","CFBP6624_02871","CFBP6623_02958","LC34_03574"
"g001431","g001431",NA,"hypothetical protein",50,37,308,1,1,1,0,0,0,0,308,"hypothetical protein(308)","NA(308)",522,636,579.9,824,1,"SUL3scf_03721","CFBP6624_04133","CFBP6623_04161","LC34_02107"
"g001971_000002","g001971","chaA","Sodium-potassium/proton antiporter ChaA",70,32,308,1,1,1,0,0,0,0,308,"Sodium-potassium/proton antiporter ChaA(308)","chaA(308)",1059,1272,1114.84,825,1,"SUL3scf_01056","CFBP6624_01892","CFBP6623_01949","LC34_02518"
"g003131_1_000003","g003131_1",NA,"hypothetical protein",80,22,308,1,1,1,0,0,0,0,308,"hypothetical protein(308)","NA(308)",237,279,239.49,826,1,"SUL3scf_00333","CFBP6624_00352","CFBP6623_00348","LC34_00216"
"g002685_000003","g002685","rplY","50S ribosomal protein L25",80,27,308,1,1,1,0,0,0,0,308,"50S ribosomal protein L25(308)","rplY(308)",591,630,610.54,827,1,"SUL3scf_01085","CFBP6624_01921","CFBP6623_01978","LC34_02547"
"g001420_1_000003","g001420_1",NA,"hypothetical protein",70,25,308,1.14,1,2,1,42,1,42,350,"hypothetical protein(351)","NA(351)",228,1458,1231.5,828,1,"SUL3scf_02828","CFBP6624_04453","CFBP6623_04505","LC34_04412"
"g001549","g001549","iolG","Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase",50,36,308,1.03,1,2,0,9,0,9,317,"Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase(233):hypothetical protein(84)","iolG(233):NA(84)",1011,1029,1021.07,829,1,"SUL3scf_02391","CFBP6624_03279","CFBP6623_03363","LC34_04937"
"g001954_1_000001","g001954_1",NA,"hypothetical protein",60,29,308,1.01,1,2,1,4,1,4,312,"hypothetical protein(313)","NA(313)",897,2781,2678.89,830,1,"SUL3scf_02201","CFBP6624_02316","CFBP6623_02409","LC34_04117"
"g000609_000002","g000609",NA,"hypothetical protein",70,51,308,1,1,1,0,0,0,0,308,"hypothetical protein(308)","NA(308)",474,489,479.06,831,1,"SUL3scf_04280","CFBP6624_00741","CFBP6623_00751","LC34_00689"
"g000707_1_000005","g000707_1",NA,"hypothetical protein",70,30,308,1,1,2,0,1,0,1,309,"hypothetical protein(309)","NA(309)",198,1407,1325.53,832,1,"SUL3scf_04146","CFBP6624_00071","CFBP6623_00071","LC34_03466"
"g000127_1_000001","g000127_1","atzA","8-oxoguanine deaminase",60,73,308,1.1,1,3,0,30,0,31,339,"8-oxoguanine deaminase(264):Atrazine chlorohydrolase(53):5'-deoxyadenosine deaminase(22)","NA(264):atzA(53):dadD(22)",1341,1383,1348.02,833,1,"SUL3scf_05565","CFBP6624_03888","CFBP6623_03906","LC34_01838"
"g000230","g000230",NA,"hypothetical protein",50,70,308,1,1,1,0,0,0,0,308,"hypothetical protein(308)","NA(308)",285,561,529.72,834,1,"SUL3scf_02017","CFBP6624_02499","CFBP6623_02590","LC34_03936"
"g000293","g000293","yvoA","HTH-type transcriptional repressor YvoA",50,65,308,1.49,1,3,0,148,0,150,458,"HTH-type transcriptional repressor YvoA(435):hypothetical protein(23)","yvoA(435):NA(23)",648,768,736.29,835,1,"SUL3scf_03953;SUL3scf_05566","CFBP6624_02726;CFBP6624_03889","CFBP6623_02812;CFBP6623_03907","LC34_01839;LC34_03720"
"g002411_000001","g002411","zntB","Zinc transport protein ZntB",60,29,308,1,1,1,0,0,0,0,308,"Zinc transport protein ZntB(308)","zntB(308)",996,1050,1009.34,836,1,"SUL3scf_00369","CFBP6624_00389","CFBP6623_00385","LC34_00305"
"g000607_000001","g000607","greB","Transcription elongation factor GreB",60,52,308,1,1,1,0,0,0,0,308,"Transcription elongation factor GreB(240):Transcription elongation factor GreA(68)","greB(240):greA(68)",468,570,489.53,837,1,"SUL3scf_03212","CFBP6624_03490","CFBP6623_03528","LC34_03146"
"g001239_000002","g001239","lly","hypothetical protein",70,38,308,1.01,1,2,1,4,1,4,312,"hypothetical protein(311):4-hydroxyphenylpyruvate dioxygenase(2)","NA(311):lly(1):hpd(1)",321,1971,1909.16,838,1,"SUL3scf_04723","CFBP6624_04522","CFBP6623_04574","LC34_01988"
"g000108","g000108","csxA","hypothetical protein",50,82,308,1,1,1,0,0,0,0,308,"hypothetical protein(301):Exo-beta-D-glucosaminidase(7)","NA(301):csxA(7)",1179,2490,2454.7,839,1,"SUL3scf_02203","CFBP6624_02314","CFBP6623_02407","LC34_04119"
"g000491_1_000001","g000491_1","yedA","putative inner membrane transporter YedA",60,43,308,1.01,1,2,1,2,1,2,310,"putative inner membrane transporter YedA(207):hypothetical protein(85):putative amino-acid metabolite efflux pump(17):IS1595 family transposase ISBsp7(2)","yedA(207):NA(87):eamA(17)",255,951,918.93,840,1,"SUL3scf_00946","CFBP6624_01782","CFBP6623_01838","LC34_02408"
"g001494_2_000004","g001494_2","fabI","Enoyl-[acyl-carrier-protein] reductase [NADH] FabI",80,17,308,1,1,1,0,0,0,0,308,"Enoyl-[acyl-carrier-protein] reductase [NADH] FabI(308)","fabI(308)",720,834,806.81,841,1,"SUL3scf_03943","CFBP6624_02716","CFBP6623_02802","LC34_03730"
"g001346_000002","g001346",NA,"hypothetical protein",70,37,308,1,1,1,0,0,0,0,308,"hypothetical protein(308)","NA(308)",498,948,788.09,842,1,"SUL3scf_03732","CFBP6624_04146","CFBP6623_04172","LC34_02096"
"g003078_000003","g003078","ribE","Riboflavin synthase",80,24,308,1,1,1,0,0,0,0,308,"Riboflavin synthase(308)","ribE(308)",612,636,615.03,843,1,"SUL3scf_01869","CFBP6624_00841","CFBP6623_00850","LC34_00786"
"g001058_000001","g001058","pobA","p-hydroxybenzoate hydroxylase",60,42,308,1.01,1,2,0,2,0,2,310,"p-hydroxybenzoate hydroxylase(310)","pobA(310)",129,1176,1169.63,844,1,"SUL3scf_04709","CFBP6624_04536","CFBP6623_04588","LC34_02002"
"g001296_000001","g001296",NA,"hypothetical protein",60,38,308,1,1,1,0,0,0,0,308,"hypothetical protein(308)","NA(308)",192,204,192.9,845,1,"SUL3scf_03038","CFBP6624_03665","CFBP6623_03685","LC34_03309"
"g001658","g001658","pipB2","hypothetical protein",50,35,308,1,1,1,0,0,0,0,308,"hypothetical protein(291):Secreted effector protein PipB2(17)","NA(291):pipB2(17)",726,978,752.35,846,1,"SUL3scf_00648","CFBP6624_00666","CFBP6623_00677","LC34_00574"
"g003616_000002","g003616",NA,"hypothetical protein",70,22,308,1,1,1,0,0,0,0,308,"hypothetical protein(308)","NA(308)",237,474,260.38,847,1,"SUL3scf_02219","CFBP6624_02298","CFBP6623_02391","LC34_04135"
"g001387_000002","g001387","puuD","Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD",70,37,308,1,1,2,0,1,0,1,309,"Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD(309)","puuD(309)",645,822,767.32,848,1,"SUL3scf_02420","CFBP6624_03250","CFBP6623_03334","LC34_04908"
"g001589_000003","g001589","queC","7-cyano-7-deazaguanine synthase",80,34,308,1,1,1,0,0,0,0,308,"7-cyano-7-deazaguanine synthase(308)","queC(308)",708,774,710.72,849,1,"SUL3scf_02443","CFBP6624_03227","CFBP6623_03312","LC34_04886"
"g002126_1_000014","g002126_1","ros","Transcriptional regulatory protein ros",80,13,308,1,1,2,0,1,0,1,309,"Transcriptional regulatory protein ros(309)","ros(309)",150,432,429.36,850,1,"SUL3scf_00564","CFBP6624_00579","CFBP6623_00593","LC34_00491"
"g002603","g002603","kdpE","Transcriptional regulatory protein KdpE",50,28,308,1,1,1,0,0,0,0,308,"Transcriptional regulatory protein KdpE(218):KDP operon transcriptional regulatory protein KdpE(90)","kdpE(308)",687,705,690.62,851,1,"SUL3scf_02994","CFBP6624_03709","CFBP6623_03729","LC34_03353"
"g001025","g001025",NA,"hypothetical protein",50,36,308,1,1,1,0,0,0,0,308,"hypothetical protein(308)","NA(308)",798,903,887.38,852,1,"SUL3scf_01060","CFBP6624_01896","CFBP6623_01953","LC34_02522"
"g003473_000002","g003473",NA,"Aminoacyl carrier protein",70,23,308,1,1,1,0,0,0,0,308,"Aminoacyl carrier protein(308)","NA(308)",252,252,252,853,1,"SUL3scf_02207","CFBP6624_02310","CFBP6623_02403","LC34_04123"
"g000190_000001","g000190",NA,"hypothetical protein",60,72,308,1,1,1,0,0,0,0,308,"hypothetical protein(308)","NA(308)",468,663,592.15,854,1,"SUL3scf_04091","CFBP6624_02861","CFBP6623_02948","LC34_03584"
"g002484_000001","g002484","swrC","Swarming motility protein SwrC",60,26,308,1.02,1,2,0,6,0,6,314,"Swarming motility protein SwrC(253):Multidrug export protein AcrF(51):Multidrug resistance protein MdtB(7):Cobalt-zinc-cadmium resistance protein CzcA(3)","swrC(253):acrF(51):mdtB(7):czcA(3)",3036,3126,3078.66,855,1,"SUL3scf_02982;SUL3scf_04851","CFBP6624_03721","CFBP6623_03741","LC34_03365"
"g000562","g000562","fhuC","Iron(3+)-hydroxamate import ATP-binding protein FhuC",50,52,308,1.17,1,4,0,38,0,53,361,"Iron(3+)-hydroxamate import ATP-binding protein FhuC(361)","fhuC(361)",576,840,813.18,856,1,"SUL3scf_03590","CFBP6624_03990","CFBP6623_04029","LC34_01626"
"g002368_000001","g002368","dadA1","D-amino acid dehydrogenase 1",60,29,307,1.02,1,2,0,6,0,6,313,"D-amino acid dehydrogenase 1(313)","dadA1(313)",1248,1266,1256.83,857,1,"SUL3scf_02493","CFBP6624_03176","CFBP6623_03262","LC34_01180"
"g000141","g000141","alr","Alanine racemase",50,75,307,1.07,1,3,1,20,1,23,330,"Alanine racemase(283):Alanine racemase 1(24):Alanine racemase%2C biosynthetic(21):Alanine racemase%2C catabolic(3)","alr(302):alr1(24):dadX(3):NA(2)",225,1176,1133.4,857,2,"SUL3scf_02494","CFBP6624_03175","CFBP6623_03261","LC34_01181"
"g000990_1_000003","g000990_1","hyuC","N-carbamoyl-L-amino-acid hydrolase",80,40,307,1,1,1,1,0,1,0,307,"N-carbamoyl-L-amino-acid hydrolase(308)","hyuC(308)",597,1272,1240.49,858,1,"SUL3scf_01240","CFBP6624_02076","CFBP6623_02194","LC34_02701"
"g001102_000003","g001102","dht","D-hydantoinase/dihydropyrimidinase",80,40,307,1,1,1,0,0,0,0,307,"D-hydantoinase/dihydropyrimidinase(307)","dht(307)",1311,1458,1454.63,858,2,"SUL3scf_01241","CFBP6624_02078","CFBP6623_02195","LC34_02702"
"g002602","g002602","mntB","Manganese transport system membrane protein MntB",50,28,307,1.02,1,2,1,5,1,5,312,"Manganese transport system membrane protein MntB(312):hypothetical protein(1)","mntB(312):NA(1)",216,876,868.04,859,1,"SUL3scf_04963","CFBP6624_03033","CFBP6623_03121","LC34_01307"
"g000764","g000764",NA,"hypothetical protein",50,47,307,1,1,1,0,0,0,0,307,"hypothetical protein(307)","NA(307)",723,852,757.4,860,1,"SUL3scf_00548","CFBP6624_00563","CFBP6623_00577","LC34_00475"
"g000003_4","g000003_4","mcp4","hypothetical protein",50,128,307,3.05,1,9,27,216,27,630,937,"hypothetical protein(790):Methyl-accepting chemotaxis protein 4(168):Methyl-accepting chemotaxis protein III(3):Methyl-accepting chemotaxis protein IV(1):Methyl-accepting chemotaxis protein McpP(1):Methyl-accepting chemotaxis protein II(1)","NA(790):mcp4(168):trg(3):tap(1):mcpP(1):tar(1)",153,2607,1997.89,861,1,"(SUL3scf_00789:SUL3scf_01081);SUL3scf_03056","CFBP6624_01605;CFBP6624_01917;CFBP6624_03647","CFBP6623_01654;CFBP6623_01974;CFBP6623_03667","LC34_02253;LC34_02543;LC34_03291"
"g000923_1_000002","g000923_1","ndbB","NADH dehydrogenase-like protein",70,33,307,1.02,1,2,3,6,3,6,313,"NADH dehydrogenase-like protein(229):Demethylphylloquinone reductase NdbB(80):hypothetical protein(5):NADH dehydrogenase-like protein YjlD(2)","NA(234):ndbB(80):yjlD(2)",243,1305,1253.41,862,1,"SUL3scf_00886","CFBP6624_01723","CFBP6623_01781","LC34_02351"
"g000509","g000509",NA,"hypothetical protein",50,54,307,1,1,1,0,0,0,0,307,"hypothetical protein(307)","NA(307)",342,471,363.76,863,1,"SUL3scf_00571","CFBP6624_00586","CFBP6623_00600","LC34_00498"
"g000815_000002","g000815","lipB","Octanoyltransferase",70,47,307,1,1,1,0,0,0,0,307,"Octanoyltransferase(307)","lipB(307)",717,744,728.13,864,1,"SUL3scf_01530","CFBP6624_01179","CFBP6623_01273","LC34_02021"
"g002608_000003","g002608","lpxH","UDP-2%2C3-diacylglucosamine hydrolase",80,28,307,1,1,1,0,0,0,0,307,"UDP-2%2C3-diacylglucosamine hydrolase(307)","lpxH(307)",819,918,834.64,865,1,"SUL3scf_03520","CFBP6624_01266","CFBP6623_01359","LC34_04641"
"g002804_000001","g002804","mdtC","Multidrug resistance protein MdtC",60,26,307,1,1,1,1,0,1,0,307,"Multidrug resistance protein MdtC(307):Multidrug resistance protein MdtB(1)","mdtC(307):mdtB(1)",642,3144,3113.41,866,1,"SUL3scf_02510","CFBP6624_03145","CFBP6623_03231","LC34_01197"
"g002947_1_000001","g002947_1","cyoD","Cytochrome bo(3) ubiquinol oxidase subunit 4",60,21,307,1.02,1,2,0,7,0,7,314,"Cytochrome bo(3) ubiquinol oxidase subunit 4(309):hypothetical protein(5)","cyoD(309):NA(5)",387,423,399.14,867,1,"SUL3scf_03934;SUL3scf_04886","CFBP6624_02707;CFBP6624_04797","CFBP6623_02793","LC34_03739"
"g002433","g002433","rspR","hypothetical protein",50,29,307,1,1,1,3,0,3,0,307,"hypothetical protein(296):HTH-type transcriptional repressor RspR(14)","NA(296):rspR(14)",177,786,672.8,868,1,"SUL3scf_02841","CFBP6624_03862","CFBP6623_03880","LC34_01812"
"g004718_1_000003","g004718_1","ureC1","Urease subunit alpha 1",80,15,307,1,1,1,1,0,1,0,307,"Urease subunit alpha 1(308)","ureC1(308)",372,1764,1705.33,869,1,"SUL3scf_01256","CFBP6624_02093","CFBP6623_02212","LC34_02719"
"g002984_1_000003","g002984_1","cyoB","Cytochrome bo(3) ubiquinol oxidase subunit 1",80,21,307,1,1,1,2,0,2,0,307,"Cytochrome bo(3) ubiquinol oxidase subunit 1(309)","cyoB(309)",750,2007,1991.21,870,1,"SUL3scf_03936","CFBP6624_02709","CFBP6623_02795","LC34_03737"
"g000232_000002","g000232","queE","7-carboxy-7-deazaguanine synthase",70,70,307,1,1,1,1,0,1,0,307,"7-carboxy-7-deazaguanine synthase(308)","queE(308)",327,762,746.17,871,1,"SUL3scf_02445","CFBP6624_03225","CFBP6623_03310","LC34_04884"
"g000106_2_000001","g000106_2",NA,"hypothetical protein",60,45,307,1,1,1,0,0,0,0,307,"hypothetical protein(307)","NA(307)",1035,1128,1043.97,872,1,"SUL3scf_01375","CFBP6624_02212","CFBP6623_02333",NA
"g000551_000001","g000551","rsmG","Ribosomal RNA small subunit methyltransferase G",60,50,307,1,1,1,2,0,2,0,307,"Ribosomal RNA small subunit methyltransferase G(309)","rsmG(309)",192,651,618.74,873,1,"SUL3scf_01951","CFBP6624_02565","CFBP6623_02656","LC34_03870"
"g000917_1_000001","g000917_1","cfa","Cyclopropane-fatty-acyl-phospholipid synthase",60,37,307,1,1,1,1,0,1,0,307,"Cyclopropane-fatty-acyl-phospholipid synthase(281):Ubiquinone biosynthesis O-methyltransferase(26):hypothetical protein(1)","cfa(281):ubiG(26):NA(1)",516,1260,1253.31,874,1,"SUL3scf_00284","CFBP6624_00302","CFBP6623_00300","LC34_00168"
"g002575_000001","g002575",NA,"hypothetical protein",60,28,307,1,1,1,0,0,0,0,307,"hypothetical protein(307)","NA(307)",528,576,538.05,875,1,"SUL3scf_04116","CFBP6624_00100","CFBP6623_00108","LC34_03436"
"g001052","g001052","dgaE","D-glucosaminate-6-phosphate ammonia lyase",50,42,307,1,1,1,0,0,0,0,307,"D-glucosaminate-6-phosphate ammonia lyase(307)","dgaE(307)",1197,1224,1197.23,876,1,"SUL3scf_02522","CFBP6624_03133","CFBP6623_03219","LC34_01209"
"g000876_000002","g000876","pksS","Polyketide biosynthesis cytochrome P450 PksS",70,45,307,1,1,1,1,0,1,0,307,"Polyketide biosynthesis cytochrome P450 PksS(288):Cytochrome P450 monooxygenase PikC(19):Biotin biosynthesis cytochrome P450(1)","pksS(288):pikC(19):bioI(1)",555,1317,1245.58,877,1,"SUL3scf_01791","CFBP6624_00921","CFBP6623_00929","LC34_00907"
"g002734_000002","g002734","lrp","Leucine-responsive regulatory protein",70,27,307,1,1,2,0,1,0,1,308,"Leucine-responsive regulatory protein(308)","lrp(308)",462,507,469.8,878,1,"SUL3scf_03715","CFBP6624_04127","CFBP6623_04155","LC34_02113"
"g003169_000001","g003169","clcB","Voltage-gated ClC-type chloride channel ClcB",60,24,307,1,1,1,0,0,0,0,307,"Voltage-gated ClC-type chloride channel ClcB(307)","clcB(307)",1782,1797,1786.5,879,1,"SUL3scf_01591","CFBP6624_01118","CFBP6623_01139","LC34_01115"
"g000340","g000340",NA,"Putative 3-methyladenine DNA glycosylase",50,60,307,1,1,1,0,0,0,0,307,"Putative 3-methyladenine DNA glycosylase(307)","NA(307)",516,645,579.5,880,1,"SUL3scf_02455","CFBP6624_03215","CFBP6623_03300","LC34_04874"
"g000245","g000245","kdpB","Potassium-transporting ATPase ATP-binding subunit",50,65,307,1.04,1,4,6,8,6,11,318,"Potassium-transporting ATPase ATP-binding subunit(203):Zinc/cadmium/lead-transporting P-type ATPase(118):hypothetical protein(1):Cadmium-transporting ATPase(1):Copper-exporting P-type ATPase(1)","kdpB(203):zntA(118):cadA(1):copA(1):NA(1)",186,2769,2469.26,881,1,"(SUL3scf_00491:SUL3scf_05621)","(CFBP6624_00506:CFBP6624_04807)","CFBP6623_00521","(LC34_00419:LC34_03025);LC34_01474"
"g000005_1_000328","g000005_1","glnQ","Glutamine transport ATP-binding protein GlnQ",90,16,307,1.01,1,2,0,2,0,2,309,"Glutamine transport ATP-binding protein GlnQ(309)","glnQ(309)",729,774,773.1,882,1,"SUL3scf_01509","CFBP6624_01200","CFBP6623_01294","LC34_02042"
"g003029_000002","g003029",NA,"hypothetical protein",70,20,307,1,1,2,1,1,1,1,308,"hypothetical protein(309)","NA(309)",345,1167,1105.42,883,1,"SUL3scf_03923","CFBP6624_02696","CFBP6623_02782","LC34_03750"
"g000835","g000835","argO","Arginine exporter protein ArgO",50,46,307,1,1,1,1,0,1,0,307,"Arginine exporter protein ArgO(307):hypothetical protein(1)","argO(307):NA(1)",153,678,605.7,884,1,"SUL3scf_00576","CFBP6624_00591","CFBP6623_00605","LC34_00503"
"g003356_000001","g003356","yhjE","Inner membrane metabolite transport protein YhjE",60,20,307,1,1,2,0,1,0,1,308,"Inner membrane metabolite transport protein YhjE(308)","yhjE(308)",150,1389,1308.41,885,1,"SUL3scf_00957","CFBP6624_01793","CFBP6623_01849","LC34_02419"
"g001561","g001561",NA,"hypothetical protein",50,36,307,1,1,1,0,0,0,0,307,"hypothetical protein(307)","NA(307)",471,645,521.36,886,1,"SUL3scf_01724","CFBP6624_00985","CFBP6623_00993","LC34_00971"
"g002557_000001","g002557",NA,"hypothetical protein",60,28,307,1,1,2,2,1,2,1,308,"hypothetical protein(310)","NA(310)",486,1026,998.5,887,1,"SUL3scf_03618","CFBP6624_04017","CFBP6623_04056","LC34_01653"
"g001076_000001","g001076",NA,"hypothetical protein",60,42,307,1,1,1,0,0,0,0,307,"hypothetical protein(307)","NA(307)",798,879,870.12,888,1,"SUL3scf_04026","CFBP6624_02796","CFBP6623_02883","LC34_03649"
"g000501_000001","g000501",NA,"hypothetical protein",60,55,307,1,1,1,0,0,0,0,307,"hypothetical protein(307)","NA(307)",312,537,484.46,889,1,"SUL3scf_01836","CFBP6624_00874","CFBP6623_00883","LC34_00819"
"g000181_1_000001","g000181_1","pcaB","3-carboxy-cis%2Ccis-muconate cycloisomerase",60,68,307,1.01,1,2,1,2,1,2,309,"3-carboxy-cis%2Ccis-muconate cycloisomerase(309):hypothetical protein(1)","pcaB(309):NA(1)",354,1113,1053.34,890,1,"SUL3scf_04715","CFBP6624_04530","CFBP6623_04582","LC34_01996"
"g001895_000001","g001895","argP","HTH-type transcriptional regulator ArgP",60,32,307,1,1,1,0,0,0,0,307,"HTH-type transcriptional regulator ArgP(126):HTH-type transcriptional regulator CynR(92):HTH-type transcriptional regulator GltC(61):HTH-type transcriptional activator CmpR(28)","argP(126):cynR(92):gltC(61):cmpR(28)",900,1107,915.19,891,1,"SUL3scf_02815","CFBP6624_04440","CFBP6623_04492","LC34_04399"
"g003476_1_000001","g003476_1","crp","putative NTE family protein",60,18,307,1,1,1,0,0,0,0,307,"putative NTE family protein(145):hypothetical protein(144):Cyclic nucleotide-gated potassium channel(17):CRP-like cAMP-activated global transcriptional regulator(1)","NA(306):crp(1)",453,477,462.66,892,1,"SUL3scf_02200","CFBP6624_02317","CFBP6623_02410","LC34_04116"
"g003525_000002","g003525","mgtE","Magnesium transporter MgtE",70,22,307,1,1,1,0,0,0,0,307,"Magnesium transporter MgtE(307)","mgtE(307)",1371,1554,1420.5,893,1,"SUL3scf_01539","CFBP6624_01170","CFBP6623_01264","LC34_01165"
"g003403_000001","g003403","pgrR","HTH-type transcriptional regulator PgrR",60,20,307,1,1,1,1,0,1,0,307,"HTH-type transcriptional regulator PgrR(193):HTH-type transcriptional regulator DmlR(113):hypothetical protein(2)","pgrR(193):dmlR(113):NA(2)",192,969,903.99,894,1,"SUL3scf_01338","CFBP6624_02175","CFBP6623_02296",NA
"g002327","g002327",NA,"hypothetical protein",50,30,307,1,1,1,0,0,0,0,307,"hypothetical protein(307)","NA(307)",390,402,396.78,895,1,"SUL3scf_00546","CFBP6624_00561","CFBP6623_00575","LC34_00473"
"g001952_1_000001","g001952_1","nanT","Putative sialic acid transporter",60,27,307,1,1,1,1,0,1,0,307,"Putative sialic acid transporter(307):hypothetical protein(1)","nanT(307):NA(1)",336,2040,1879.45,896,1,"SUL3scf_01349","CFBP6624_02186","CFBP6623_02307",NA
"g001741_1_000001","g001741_1","cyoA","Cytochrome bo(3) ubiquinol oxidase subunit 2",60,32,307,1.28,1,3,0,85,0,86,393,"Cytochrome bo(3) ubiquinol oxidase subunit 2(245):hypothetical protein(148)","cyoA(245):NA(148)",966,1329,1117.82,897,1,"SUL3scf_03937;SUL3scf_04889","CFBP6624_02710;CFBP6624_04800","CFBP6623_02796","LC34_03736"
"g003359","g003359",NA,"Magnesium transporter MgtE",50,23,307,1,1,1,1,0,1,0,307,"Magnesium transporter MgtE(307):hypothetical protein(1)","NA(308)",675,1377,1370.28,898,1,"SUL3scf_00652","CFBP6624_00670","CFBP6623_00681","LC34_00578"
"g002019_000003","g002019","pcaJ","3-oxoadipate CoA-transferase subunit B",80,32,306,1.02,1,2,0,6,0,6,312,"3-oxoadipate CoA-transferase subunit B(312)","pcaJ(312)",348,705,693.11,899,1,"SUL3scf_04705","CFBP6624_04540","CFBP6623_04592","LC34_02006"
"g001482_1_000004","g001482_1","pcaI","3-oxoadipate CoA-transferase subunit A",80,36,306,1.02,1,2,0,6,0,6,312,"3-oxoadipate CoA-transferase subunit A(312)","pcaI(312)",708,747,708.88,899,2,"SUL3scf_04706","CFBP6624_04539","CFBP6623_04591","LC34_02005"
"g002220_1_000004","g002220_1",NA,"putative sugar-binding periplasmic protein",70,22,306,1,1,1,0,0,0,0,306,"putative sugar-binding periplasmic protein(306)","NA(306)",1227,1377,1232.14,900,1,"SUL3scf_02437","CFBP6624_03233","CFBP6623_03318","LC34_04892"
"g002005_1_000008","g002005_1","lacF","Lactose transport system permease protein LacF",80,18,306,1,1,1,0,0,0,0,306,"Lactose transport system permease protein LacF(306)","lacF(306)",903,906,903.76,900,2,"SUL3scf_02438","CFBP6624_03232","CFBP6623_03317","LC34_04891"
"g002253_000002","g002253","pdxK","Pyridoxine/pyridoxal/pyridoxamine kinase",70,29,306,1,1,1,1,0,1,0,306,"Pyridoxine/pyridoxal/pyridoxamine kinase(183):Pyridoxal kinase PdxY(123):Pyridoxamine kinase(1)","pdxK(183):pdxY(124)",411,948,876.55,901,1,"SUL3scf_01345","CFBP6624_02182","CFBP6623_02303",NA
