"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","DE0067","DE0068","ICMP17598","TPD7009","TPD7005","RZME10"
"g002480_000003","g002480","rnr","Ribonuclease R",80,28,310,1,1,1,0,0,0,0,310,"Ribonuclease R(310)","rnr(310)",2283,2379,2362.63,652,1,"DE0067_01812","DE0068_01868","ICMP17598_01730","TPD7009_03405","TPD7005_03590","RZME10_04052"
"g003365_1_000003","g003365_1","fabF","3-oxoacyl-[acyl-carrier-protein] synthase 2",80,19,310,1,1,1,2,0,2,0,310,"3-oxoacyl-[acyl-carrier-protein] synthase 2(311):hypothetical protein(1)","fabF(311):NA(1)",306,1302,1278.81,653,1,"DE0067_01933","DE0068_01747","ICMP17598_01854","TPD7009_00039","TPD7005_02680","RZME10_02138"
"g001139","g001139",NA,"hypothetical protein",50,40,310,1,1,1,2,0,2,0,310,"hypothetical protein(312)","NA(312)",129,921,833.35,654,1,"DE0067_00819","DE0068_00819","ICMP17598_00565","TPD7009_01593","TPD7005_01313","RZME10_01209"
"g000008","g000008",NA,"hypothetical protein",50,257,310,2.04,1,5,137,210,139,321,631,"hypothetical protein(770)","NA(770)",237,1392,1233.43,655,1,"DE0067_00019;DE0067_00414","DE0068_00019;DE0068_00414","ICMP17598_00948;ICMP17598_04337","TPD7009_01280;TPD7009_04099;TPD7009_04526","TPD7005_01000;TPD7005_04310;TPD7005_04561","RZME10_04264;RZME10_04579"
"g000505_000001","g000505",NA,"hypothetical protein",60,51,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",189,255,202.51,656,1,"DE0067_02321","DE0068_02320","ICMP17598_02883","TPD7009_00535","TPD7005_00718","RZME10_01702"
"g000615","g000615",NA,"hypothetical protein",50,52,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",363,399,372.51,657,1,"DE0067_00485","DE0068_00485","ICMP17598_00878","TPD7009_01351","TPD7005_01071","RZME10_04509"
"g000671","g000671",NA,"hypothetical protein",50,50,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",1143,1323,1156.06,658,1,"DE0067_01525","DE0068_02155","ICMP17598_01385","TPD7009_03854","TPD7005_03310","RZME10_00515"
"g001183_000003","g001183","tsaD","tRNA N6-adenosine threonylcarbamoyltransferase",80,40,310,1,1,1,0,0,0,0,310,"tRNA N6-adenosine threonylcarbamoyltransferase(310)","tsaD(310)",1095,1146,1105.56,659,1,"DE0067_04112","DE0068_04112","ICMP17598_03978","TPD7009_02991","TPD7005_03711","RZME10_00852"
"g000621_000001","g000621",NA,"hypothetical protein",60,51,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",717,786,731.51,660,1,"DE0067_03331","DE0068_03338","ICMP17598_03284","TPD7009_02486","TPD7005_01802","RZME10_02485"
"g005576_000004","g005576","pyrG","CTP synthase",90,13,310,1,1,1,0,0,0,0,310,"CTP synthase(310)","pyrG(310)",582,1680,1638.94,661,1,"DE0067_02104","DE0068_01576","ICMP17598_02023","TPD7009_00267","TPD7005_02908","RZME10_01967"
"g000849","g000849",NA,"hypothetical protein",50,44,310,1,1,1,1,0,1,0,310,"hypothetical protein(311)","NA(311)",195,528,446.62,662,1,"DE0067_03427","DE0068_03241","ICMP17598_03379","TPD7009_02578","TPD7005_01894","RZME10_02611"
"g006214_000003","g006214",NA,"hypothetical protein",80,12,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",387,393,388.08,663,1,"DE0067_01960","DE0068_01720","ICMP17598_01881","TPD7009_00123","TPD7005_02764","RZME10_02111"
"g004398_000004","g004398","ymdB","2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase",90,18,310,1,1,1,1,0,1,0,310,"2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase(310):hypothetical protein(1)","ymdB(310):NA(1)",162,825,822.09,664,1,"DE0067_02776","DE0068_02775","ICMP17598_02424","TPD7009_00996","TPD7005_00258","RZME10_00422"
"g000015_1_000023","g000015_1",NA,"hypothetical protein",70,20,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",666,834,700.3,665,1,"DE0067_04347","DE0068_04347","ICMP17598_04203","TPD7009_02758","TPD7005_03944","RZME10_03586"
"g003735_000003","g003735","hdfR","HTH-type transcriptional regulator HdfR",80,15,310,1,1,1,2,0,2,0,310,"HTH-type transcriptional regulator HdfR(309):hypothetical protein(2):HTH-type transcriptional regulator GltR(1)","hdfR(309):NA(2):gltR(1)",372,972,946.28,666,1,"DE0067_03486","DE0068_03182","ICMP17598_03440","TPD7009_02639","TPD7005_01955","RZME10_02669"
"g001302_000002","g001302","ung","Uracil-DNA glycosylase",70,38,310,1,1,1,0,0,0,0,310,"Uracil-DNA glycosylase(310)","ung(310)",693,729,704.52,667,1,"DE0067_02715","DE0068_02714","ICMP17598_02484","TPD7009_00940","TPD7005_00314","RZME10_00364"
"g001252","g001252",NA,"hypothetical protein",50,38,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",1032,1224,1046.98,668,1,"DE0067_00220","DE0068_00220","ICMP17598_01118","TPD7009_03599","TPD7005_00823","RZME10_03380"
"g002570_000001","g002570","plsY","Glycerol-3-phosphate acyltransferase",60,28,310,1,1,1,0,0,0,0,310,"Glycerol-3-phosphate acyltransferase(300):putative glycerol-3-phosphate acyltransferase(10)","plsY(310)",612,630,619.91,669,1,"DE0067_01815","DE0068_01865","ICMP17598_01733","TPD7009_03402","TPD7005_03593","RZME10_04055"
"g000601","g000601","fabG","3-oxoacyl-[acyl-carrier-protein] reductase FabG",50,49,310,1.01,1,2,1,4,1,4,314,"3-oxoacyl-[acyl-carrier-protein] reductase FabG(145):3-oxoacyl-[acyl-carrier-protein] reductase(89):2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase(76):Glucose 1-dehydrogenase 4(3):hypothetical protein(1):putative oxidoreductase(1)","fabG(234):kduD(76):gdhIV(3):NA(2)",195,732,703.7,670,1,"DE0067_01844","DE0068_01836","ICMP17598_01763","TPD7009_03373","TPD7005_02587","RZME10_04085"
"g003804_000001","g003804",NA,"hypothetical protein",60,21,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",249,294,249.2,671,1,"DE0067_02110","DE0068_01570","ICMP17598_02030","TPD7009_00273","TPD7005_02914","RZME10_01961"
"g005321_000003","g005321","purA","Adenylosuccinate synthetase",80,12,310,1,1,1,1,0,1,0,310,"Adenylosuccinate synthetase(311)","purA(311)",582,1311,1294.08,672,1,"DE0067_02705","DE0068_02704","ICMP17598_02493","TPD7009_00930","TPD7005_00324","RZME10_00354"
"g001570_000002","g001570","trpF","N-(5'-phosphoribosyl)anthranilate isomerase",70,36,310,1,1,1,0,0,0,0,310,"N-(5'-phosphoribosyl)anthranilate isomerase(310)","trpF(310)",504,786,667.04,673,1,"DE0067_04317","DE0068_04317","ICMP17598_04173","TPD7009_02788","TPD7005_03914","RZME10_03616"
"g004092_1_000005","g004092_1","dxs","1-deoxy-D-xylulose-5-phosphate synthase",80,18,310,1,1,1,0,0,0,0,310,"1-deoxy-D-xylulose-5-phosphate synthase(309):Pyruvate dehydrogenase E1 component subunit beta(1)","dxs(309):pdhB(1)",342,1428,1400.67,674,1,"DE0067_02115","DE0068_01565","ICMP17598_02035","TPD7009_00278","TPD7005_02919","RZME10_01956"
"g001740_1_000004","g001740_1","ydhP","Inner membrane transport protein YdhP",70,28,310,1,1,1,0,0,0,0,310,"Inner membrane transport protein YdhP(310)","ydhP(310)",1218,1353,1239.12,675,1,"DE0067_01564","DE0068_02116","ICMP17598_01424","TPD7009_03815","TPD7005_03349","RZME10_03898"
"g001450_1_000001","g001450_1","slyA","hypothetical protein",60,36,310,1,1,2,0,1,0,1,311,"hypothetical protein(269):Transcriptional regulator SlyA(42)","NA(269):slyA(42)",492,579,517.31,676,1,"DE0067_02920","DE0068_02919","ICMP17598_02291","TPD7009_01179","TPD7005_00075","RZME10_03502"
"g000142_1_000003","g000142_1","mutM","Formamidopyrimidine-DNA glycosylase",70,45,310,1,1,1,0,0,0,0,310,"Formamidopyrimidine-DNA glycosylase(310)","mutM(310)",891,906,895.4,677,1,"DE0067_03191","DE0068_03478","ICMP17598_03142","TPD7009_02322","TPD7005_01638","RZME10_02329"
"g004079_1_000004","g004079_1","recD2","ATP-dependent RecD-like DNA helicase",70,17,310,1.01,1,2,1,2,1,2,312,"ATP-dependent RecD-like DNA helicase(312):hypothetical protein(1)","recD2(312):NA(1)",501,1254,1147.5,678,1,"DE0067_00075","DE0068_00075","ICMP17598_02908","TPD7009_00510","TPD7005_00743","RZME10_01728"
"g005333_000002","g005333","acoD","Acetaldehyde dehydrogenase 2",70,14,310,1,1,1,0,0,0,0,310,"Acetaldehyde dehydrogenase 2(231):Aldehyde dehydrogenase B(78):Long-chain-aldehyde dehydrogenase(1)","acoD(231):aldB(78):ald1(1)",1509,1518,1517.33,679,1,"DE0067_02499","DE0068_02498","ICMP17598_02708","TPD7009_00713","TPD7005_00540","RZME10_00135"
"g000564","g000564","rutE","hypothetical protein",50,51,310,1.16,1,2,0,50,0,50,360,"hypothetical protein(315):malonic semialdehyde reductase RutE(45)","NA(315):rutE(45)",489,603,593.24,680,1,"DE0067_04313","DE0068_04313","ICMP17598_04169","TPD7009_02792","TPD7005_03910","RZME10_03620"
"g004059_000004","g004059",NA,"hypothetical protein",90,8,310,1,1,1,1,0,1,0,310,"hypothetical protein(311)","NA(311)",240,1071,933.13,681,1,"DE0067_03333","DE0068_03336","ICMP17598_03286","TPD7009_02488","TPD7005_01804","RZME10_02487"
"g000826_000002","g000826","cysS","Cysteine--tRNA ligase",70,46,310,1.04,1,2,0,12,0,12,322,"Cysteine--tRNA ligase(311):hypothetical protein(11)","cysS(311):NA(11)",186,1674,1355.1,682,1,"DE0067_01647","DE0068_02033","ICMP17598_01508","TPD7009_03565","TPD7005_03430","RZME10_03815"
"g000314","g000314","sutR","HTH-type transcriptional regulator SutR",50,63,310,1,1,1,0,0,0,0,310,"HTH-type transcriptional regulator SutR(298):hypothetical protein(7):HTH-type transcriptional regulator PuuR(5)","sutR(298):NA(7):puuR(5)",507,666,581.99,683,1,"DE0067_00491","DE0068_00491","ICMP17598_00872","TPD7009_01357","TPD7005_01077","RZME10_04503"
"g005821_000002","g005821","pyrH","Uridylate kinase",70,9,310,1,1,1,1,0,1,0,310,"Uridylate kinase(310):hypothetical protein(1)","pyrH(310):NA(1)",297,723,719.6,684,1,"DE0067_02200","DE0068_01480","ICMP17598_02117","TPD7009_00361","TPD7005_03002","RZME10_01876"
"g003610_1_000012","g003610_1",NA,"hypothetical protein",80,15,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",342,345,342.76,685,1,"DE0067_02395","DE0068_02394","ICMP17598_02809","TPD7009_00607","TPD7005_00646","RZME10_00026"
"g002629_000002","g002629","bpt","Aspartate/glutamate leucyltransferase",70,24,310,1,1,1,0,0,0,0,310,"Aspartate/glutamate leucyltransferase(310)","bpt(310)",759,783,765.91,686,1,"DE0067_00248","DE0068_00248","ICMP17598_01094","TPD7009_03623","TPD7005_00847","RZME10_03356"
"g000202","g000202","xlnD","3-hydroxybenzoate 6-hydroxylase 1",50,68,310,1,1,1,0,0,0,0,310,"3-hydroxybenzoate 6-hydroxylase 1(309):3-hydroxybenzoate 6-hydroxylase(1)","xlnD(309):mhbM(1)",915,1182,1173.03,687,1,"DE0067_01860","DE0068_01820","ICMP17598_01778","TPD7009_03358","TPD7005_02602","RZME10_02244"
"g004084_000003","g004084","der","GTPase Der",80,18,310,1,1,1,0,0,0,0,310,"GTPase Der(310)","der(310)",1275,1455,1428.52,688,1,"DE0067_02572","DE0068_02571","ICMP17598_02632","TPD7009_00791","TPD7005_00462","RZME10_00212"
"g000428","g000428","mshA","D-inositol-3-phosphate glycosyltransferase",50,55,310,1,1,1,0,0,0,0,310,"D-inositol-3-phosphate glycosyltransferase(299):Glycogen synthase(11)","mshA(299):NA(11)",1044,1104,1067.96,689,1,"DE0067_02455","DE0068_02454","ICMP17598_02753","TPD7009_00664","TPD7005_00589","RZME10_00089"
"g000500_1_000002","g000500_1",NA,"hypothetical protein",60,24,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",612,741,637.1,690,1,"DE0067_03326","DE0068_03343","ICMP17598_03279","TPD7009_02481","TPD7005_01797","RZME10_02480"
"g001715_000002","g001715","lpxA","Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase",70,35,310,1,1,1,0,0,0,0,310,"Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase(310)","lpxA(310)",756,816,815.55,691,1,"DE0067_02192","DE0068_01488","ICMP17598_02109","TPD7009_00353","TPD7005_02994","RZME10_01884"
"g000786_000002","g000786","moaB","Molybdenum cofactor biosynthesis protein B",70,40,310,1,1,2,0,1,0,1,311,"Molybdenum cofactor biosynthesis protein B(310):hypothetical protein(1)","moaB(310):NA(1)",417,660,548.78,692,1,"DE0067_03564","DE0068_03104","ICMP17598_03518","TPD7009_02716","TPD7005_02032","RZME10_03298"
"g002299_000002","g002299","ilvE","Branched-chain-amino-acid aminotransferase",70,30,310,1,1,1,0,0,0,0,310,"Branched-chain-amino-acid aminotransferase(310)","ilvE(310)",882,888,883.99,693,1,"DE0067_01445","DE0068_02234","ICMP17598_01307","TPD7009_03933","TPD7005_03232","RZME10_03134"
"g000865_1_000007","g000865_1","uvrB","UvrABC system protein B",80,28,310,1.01,1,2,2,4,2,4,314,"UvrABC system protein B(312):hypothetical protein(4)","uvrB(312):NA(4)",222,3219,2895.61,694,1,"DE0067_00104","DE0068_00104","ICMP17598_02939","TPD7009_00480","TPD7005_00772","RZME10_01757"
"g000169","g000169",NA,"hypothetical protein",50,74,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",417,498,428.14,695,1,"DE0067_01955","DE0068_01725","ICMP17598_01876","TPD7009_00118","TPD7005_02759","RZME10_02116"
"g001673_000002","g001673","gloC","Hydroxyacylglutathione hydrolase GloC",70,34,310,1,1,1,0,0,0,0,310,"Hydroxyacylglutathione hydrolase GloC(307):Hydroxyacylglutathione hydrolase(3)","gloC(307):gloB(3)",522,786,649.2,696,1,"DE0067_02481","DE0068_02480","ICMP17598_02728","TPD7009_00695","TPD7005_00558","RZME10_00115"
"g001636_000001","g001636",NA,"hypothetical protein",60,35,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",1098,1134,1106.17,697,1,"DE0067_02491","DE0068_02490","ICMP17598_02718","TPD7009_00705","TPD7005_00548","RZME10_00125"
"g000927_1_000004","g000927_1","acm","hypothetical protein",70,28,310,1,1,1,0,0,0,0,310,"hypothetical protein(260):Lysozyme M1(50)","NA(260):acm(50)",729,852,784.83,698,1,"DE0067_02384","DE0068_02383","ICMP17598_02820","TPD7009_00596","TPD7005_00657","RZME10_00015"
"g002714_000001","g002714","cyoC","Cytochrome bo(3) ubiquinol oxidase subunit 3",60,27,310,1.03,1,3,0,7,0,8,318,"Cytochrome bo(3) ubiquinol oxidase subunit 3(318)","cyoC(318)",618,630,625.73,699,1,"DE0067_03182","DE0068_03487","ICMP17598_03133","TPD7009_02313","TPD7005_01629","RZME10_02320"
"g001140_000002","g001140","proC","Pyrroline-5-carboxylate reductase",70,41,310,1,1,1,0,0,0,0,310,"Pyrroline-5-carboxylate reductase(310)","proC(310)",759,840,823.87,700,1,"DE0067_02487","DE0068_02486","ICMP17598_02722","TPD7009_00701","TPD7005_00552","RZME10_00121"
"g002329","g002329",NA,"hypothetical protein",50,30,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",747,813,771.71,701,1,"DE0067_00646","DE0068_00646","ICMP17598_00736","TPD7009_01487","TPD7005_01207","RZME10_04357"
"g000822_1_000010","g000822_1","sodB","Superoxide dismutase [Mn]",80,11,310,1,1,1,0,0,0,0,310,"Superoxide dismutase [Mn](310)","sodB(310)",603,603,603,702,1,"DE0067_01451","DE0068_02228","ICMP17598_01313","TPD7009_03927","TPD7005_03238","RZME10_03128"
"g001647_000003","g001647","tyrC","Cyclohexadienyl dehydrogenase",80,35,310,1.02,1,2,0,5,0,5,315,"Cyclohexadienyl dehydrogenase(315)","tyrC(315)",924,984,931.75,703,1,"DE0067_00651","DE0068_00651","ICMP17598_00731","TPD7009_01492","TPD7005_01212","RZME10_04352"
"g002649_1_000003","g002649_1","emrB","Multidrug export protein EmrB",70,26,310,1.01,1,2,0,3,0,3,313,"Multidrug export protein EmrB(184):putative multidrug resistance protein EmrY(128):Putative multidrug resistance protein MdtD(1)","emrB(184):emrY(128):mdtD(1)",585,1611,1583.55,704,1,"DE0067_02966","DE0068_02965","ICMP17598_02244","TPD7009_01225","TPD7005_00029","RZME10_03548"
"g001158_000002","g001158","dmdC","3-methylmercaptopropionyl-CoA dehydrogenase",70,40,310,1,1,1,0,0,0,0,310,"3-methylmercaptopropionyl-CoA dehydrogenase(192):Crotonobetainyl-CoA dehydrogenase(116):hypothetical protein(2)","dmdC(192):caiA(116):NA(2)",1776,1788,1781.89,705,1,"DE0067_03594","DE0068_03074","ICMP17598_03548","TPD7009_02746","TPD7005_02062","RZME10_03268"
"g000212","g000212","tsaB","tRNA threonylcarbamoyladenosine biosynthesis protein TsaB",50,71,310,1,1,1,0,0,0,0,310,"tRNA threonylcarbamoyladenosine biosynthesis protein TsaB(156):tRNA N6-adenosine threonylcarbamoyltransferase(153):hypothetical protein(1)","tsaB(156):tsaD(153):NA(1)",648,690,668.77,706,1,"DE0067_03219","DE0068_03450","ICMP17598_03170","TPD7009_02350","TPD7005_01666","RZME10_02357"
"g001304_000001","g001304","hcaB","3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase",60,37,310,1,1,1,2,0,2,0,310,"3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase(304):hypothetical protein(7):3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 2(1)","hcaB(304):NA(8)",282,864,849.31,707,1,"DE0067_04126","DE0068_04126","ICMP17598_03992","TPD7009_02977","TPD7005_03725","RZME10_00866"
"g001340","g001340","hmuU","Hemin transport system permease protein HmuU",50,38,310,1,1,1,1,0,1,0,310,"Hemin transport system permease protein HmuU(236):Vitamin B12 import system permease protein BtuC(75)","hmuU(236):btuC(75)",228,1110,1085.39,708,1,"DE0067_02719","DE0068_02718","ICMP17598_02480","TPD7009_00944","TPD7005_00310","RZME10_00368"
"g004977_000003","g004977","purF","Amidophosphoribosyltransferase",80,15,310,1,1,1,0,0,0,0,310,"Amidophosphoribosyltransferase(310)","purF(310)",1485,1590,1501.14,709,1,"DE0067_01649","DE0068_02031","ICMP17598_01510","TPD7009_03563","TPD7005_03432","RZME10_03813"
"g001029_000002","g001029","tadA","tRNA-specific adenosine deaminase",70,39,310,1,1,1,0,0,0,0,310,"tRNA-specific adenosine deaminase(310)","tadA(310)",438,465,447.5,710,1,"DE0067_03524","DE0068_03144","ICMP17598_03478","TPD7009_02677","TPD7005_01993","RZME10_02707"
"g001091_1_000004","g001091_1","groL1","60 kDa chaperonin 1",70,36,310,1.45,1,4,0,107,0,140,450,"60 kDa chaperonin 1(228):60 kDa chaperonin 5(136):60 kDa chaperonin(86)","groL1(228):groL5(136):groL(86)",246,1890,1629.67,711,1,"DE0067_03516","DE0068_03152","ICMP17598_03470","TPD7009_02669","TPD7005_01985","RZME10_02699"
"g006324_1_000011","g006324_1","clpX","ATP-dependent Clp protease ATP-binding subunit ClpX",95,8,310,1,1,1,0,0,0,0,310,"ATP-dependent Clp protease ATP-binding subunit ClpX(310)","clpX(310)",1278,1413,1278.44,712,1,"DE0067_01769","DE0068_01911","ICMP17598_01687","TPD7009_03448","TPD7005_03547","RZME10_04009"
"g003592_000003","g003592",NA,"hypothetical protein",80,22,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",243,333,316.18,713,1,"DE0067_04165","DE0068_04165","ICMP17598_04030","TPD7009_02938","TPD7005_03764","RZME10_03758"
"g001445_000002","g001445","rlmJ","Ribosomal RNA large subunit methyltransferase J",70,34,310,1,1,1,0,0,0,0,310,"Ribosomal RNA large subunit methyltransferase J(310)","rlmJ(310)",732,984,858.34,714,1,"DE0067_00628","DE0068_00628","ICMP17598_00754","TPD7009_01469","TPD7005_01189","RZME10_04375"
"g002229_000002","g002229","zapE","Cell division protein ZapE",70,30,310,1,1,1,0,0,0,0,310,"Cell division protein ZapE(310)","zapE(310)",990,1179,1162.76,715,1,"DE0067_04101","DE0068_04101","ICMP17598_03967","TPD7009_03002","TPD7005_03700",NA
"g000277","g000277",NA,"hypothetical protein",50,65,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",471,483,477.44,716,1,"DE0067_03144","DE0068_03525","ICMP17598_03095","TPD7009_02275","TPD7005_01591","RZME10_02282"
"g004023_000002","g004023",NA,"hypothetical protein",70,20,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",255,390,273.47,717,1,"DE0067_02780","DE0068_02779","ICMP17598_02420","TPD7009_01000","TPD7005_00254","RZME10_00426"
"g001352_000001","g001352","glk","Glucokinase",60,38,310,1,1,1,0,0,0,0,310,"Glucokinase(310)","glk(310)",1011,1050,1022.62,718,1,"DE0067_03157","DE0068_03512","ICMP17598_03108","TPD7009_02288","TPD7005_01604","RZME10_02295"
"g001057_1_000005","g001057_1","lysDH","Lysine 6-dehydrogenase",80,37,310,1.03,1,2,1,10,1,10,320,"Lysine 6-dehydrogenase(319):hypothetical protein(2)","lysDH(319):NA(2)",345,1440,1101.74,719,1,"DE0067_01516","DE0068_02164","ICMP17598_01376","TPD7009_03863","TPD7005_03301","RZME10_00524"
"g004160_000001","g004160",NA,"hypothetical protein",60,19,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",633,726,652.4,720,1,"DE0067_02144","DE0068_01536","ICMP17598_02063","TPD7009_00307","TPD7005_02948","RZME10_01930"
"g000682","g000682",NA,"hypothetical protein",50,50,310,1.02,1,3,6,6,6,7,317,"hypothetical protein(323)","NA(323)",555,657,587.65,721,1,"DE0067_01743","DE0068_01937","ICMP17598_01661","TPD7009_03474","TPD7005_03521","RZME10_03979"
"g002142_000001","g002142",NA,"putative 5-dehydro-4-deoxyglucarate dehydratase",60,30,310,1.08,1,2,0,26,0,26,336,"putative 5-dehydro-4-deoxyglucarate dehydratase(336)","NA(336)",903,927,910.39,722,1,"DE0067_03959","DE0068_03723","ICMP17598_03867","TPD7009_03174","TPD7005_04756","RZME10_04323"
"g002890","g002890",NA,"hypothetical protein",50,24,310,1,1,1,1,0,1,0,310,"hypothetical protein(311)","NA(311)",183,693,435.81,723,1,"DE0067_00245","DE0068_00245","ICMP17598_01097","TPD7009_03620","TPD7005_00844","RZME10_03359"
"g002764_000002","g002764","pyrE","Orotate phosphoribosyltransferase",70,23,310,1,1,1,0,0,0,0,310,"Orotate phosphoribosyltransferase(310)","pyrE(310)",693,753,698.15,724,1,"DE0067_03261","DE0068_03408","ICMP17598_03212","TPD7009_02392","TPD7005_01708","RZME10_02415"
"g000172_000002","g000172","prmA","Ribosomal protein L11 methyltransferase",70,74,310,1,1,1,0,0,0,0,310,"Ribosomal protein L11 methyltransferase(310)","prmA(310)",408,705,659.16,725,1,"DE0067_04108","DE0068_04108","ICMP17598_03974","TPD7009_02995","TPD7005_03707","RZME10_00848"
"g003540_1_000003","g003540_1","folE","GTP cyclohydrolase 1",70,20,310,1.01,1,2,0,3,0,3,313,"GTP cyclohydrolase 1(313)","folE(313)",606,630,622.33,726,1,"DE0067_01994","DE0068_01686","ICMP17598_01916","TPD7009_00157","TPD7005_02798","RZME10_02076"
"g004075_1_000004","g004075_1","hemA","5-aminolevulinate synthase",80,16,310,1.01,1,2,0,3,0,3,313,"5-aminolevulinate synthase(313)","hemA(313)",1212,1230,1220.28,727,1,"DE0067_04073","DE0068_04073","ICMP17598_03939","TPD7009_03030","TPD7005_03672","RZME10_00812"
"g001744","g001744","pstC1","hypothetical protein",50,33,310,1,1,1,2,0,2,0,310,"hypothetical protein(311):Phosphate transport system permease protein PstC 1(1)","NA(311):pstC1(1)",462,1524,1479.05,728,1,"DE0067_03295","DE0068_03374","ICMP17598_03247","TPD7009_02427","TPD7005_01743","RZME10_02449"
"g001341_000001","g001341","tdk","Thymidine kinase",60,37,310,1,1,1,1,0,1,0,310,"Thymidine kinase(310):hypothetical protein(1)","tdk(310):NA(1)",123,609,579.96,729,1,"DE0067_02559","DE0068_02558","ICMP17598_02646","TPD7009_00778","TPD7005_00475","RZME10_00199"
"g001967","g001967",NA,"hypothetical protein",50,31,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",1167,1185,1174.05,730,1,"DE0067_01680","DE0068_02000","ICMP17598_01542","TPD7009_03532","TPD7005_03463","RZME10_03917"
"g000570_000001","g000570","ispA","Farnesyl diphosphate synthase",60,52,310,1,1,1,0,0,0,0,310,"Farnesyl diphosphate synthase(250):hypothetical protein(60)","NA(236):ispA(74)",897,1053,911.58,731,1,"DE0067_04179","DE0068_04179","ICMP17598_04043","TPD7009_02925","TPD7005_03777","RZME10_03745"
"g003758_000002","g003758","yncA","hypothetical protein",70,21,310,1,1,1,0,0,0,0,310,"hypothetical protein(292):L-methionine sulfoximine/L-methionine sulfone acetyltransferase(18)","NA(292):yncA(18)",489,492,489.03,732,1,"DE0067_01459","DE0068_02220","ICMP17598_01321","TPD7009_03919","TPD7005_03246","RZME10_03120"
"g001840_000003","g001840","metH","Methionine synthase",80,31,310,1,1,1,2,0,2,0,310,"Methionine synthase(312)","metH(312)",1218,3777,3751.4,733,1,"DE0067_02426","DE0068_02425","ICMP17598_02781","TPD7009_00635","TPD7005_00618","RZME10_00056"
"g003280_1_000005","g003280_1","livH","High-affinity branched-chain amino acid transport system permease protein LivH",80,20,310,1.01,1,2,0,3,0,3,313,"High-affinity branched-chain amino acid transport system permease protein LivH(313)","livH(313)",903,1065,903.52,734,1,"DE0067_02691","DE0068_02690","ICMP17598_02507","TPD7009_00914","TPD7005_00339","RZME10_00340"
"g001818_000002","g001818","tlyA","16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA",70,34,310,1,1,1,0,0,0,0,310,"16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA(310)","tlyA(310)",447,885,760.55,735,1,"DE0067_03598","DE0068_03070","ICMP17598_03552","TPD7009_02750","TPD7005_02066","RZME10_03264"
"g000680_1_000004","g000680_1","tag","DNA-3-methyladenine glycosylase 1",70,44,310,1,1,1,0,0,0,0,310,"DNA-3-methyladenine glycosylase 1(310)","tag(310)",630,681,631.92,736,1,"DE0067_03500","DE0068_03168","ICMP17598_03454","TPD7009_02653","TPD7005_01969","RZME10_02683"
"g000336","g000336",NA,"hypothetical protein",50,57,310,1,1,2,0,1,0,1,311,"hypothetical protein(311)","NA(311)",450,1539,1098.58,737,1,"DE0067_02933","DE0068_02932","ICMP17598_02279","TPD7009_01191","TPD7005_00063","RZME10_03515"
"g003178_000001","g003178",NA,"hypothetical protein",60,24,310,1,1,1,0,0,0,0,310,"hypothetical protein(310)","NA(310)",1263,1368,1278.19,738,1,"DE0067_02778","DE0068_02777","ICMP17598_02422","TPD7009_00998","TPD7005_00256","RZME10_00424"
