"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","CFBP6625","CFBP6626"
"g004005_000003","g004005",NA,"hypothetical protein",80,20,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",246,360,256.26,284,1,"CFBP6625_01233","CFBP6626_01172"
"g001688_000002","g001688","bpoC","Putative non-heme bromoperoxidase BpoC",70,35,311,1,1,1,0,0,0,0,311,"Putative non-heme bromoperoxidase BpoC(179):Haloalkane dehalogenase(84):Aclacinomycin methylesterase RdmC(43):2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxylate synthase(3):Arylesterase(2)","bpoC(179):dhmA(84):rdmC(43):menH(3):NA(2)",777,876,782.48,284,2,"CFBP6625_01192","CFBP6626_01171"
"g001771","g001771",NA,"hypothetical protein",50,34,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",585,591,588.45,285,1,"CFBP6625_00590","CFBP6626_00573"
"g001362","g001362",NA,"hypothetical protein",50,38,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",549,579,555.45,285,2,"CFBP6625_00589","CFBP6626_00572"
"g003247_000003","g003247","engB","putative GTP-binding protein EngB",80,24,311,1,1,1,0,0,0,0,311,"putative GTP-binding protein EngB(282):GTP-binding protein EngB(29)","engB(311)",648,750,657.89,286,1,"CFBP6625_00058","CFBP6626_00058"
"g002240_000001","g002240","yidC","Membrane protein insertase YidC",60,30,311,1,1,1,0,0,0,0,311,"Membrane protein insertase YidC(311)","yidC(311)",1791,1869,1812.59,286,2,"CFBP6625_00059","CFBP6626_00059"
"g001155_1_000003","g001155_1","pepA","Cytosol aminopeptidase",70,37,311,1,1,2,2,1,2,1,312,"Cytosol aminopeptidase(304):cytosol aminopeptidase(8):hypothetical protein(2)","pepA(312):NA(2)",180,1620,1505.54,287,1,"CFBP6625_00774","CFBP6626_00757"
"g000898_000001","g000898",NA,"hypothetical protein",60,39,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",450,486,451.1,287,2,"CFBP6625_00775","CFBP6626_00758"
"g002300_000002","g002300","ycf3","Photosystem I assembly protein Ycf3",70,29,311,1,1,2,0,1,0,1,312,"Photosystem I assembly protein Ycf3(312)","ycf3(312)",798,900,890.73,288,1,"CFBP6625_04082","CFBP6626_03953"
"g000400_1_000004","g000400_1","rpsU","30S ribosomal protein S21",80,10,311,1,1,2,0,1,0,1,312,"30S ribosomal protein S21(312)","rpsU(312)",213,252,226.5,288,2,"CFBP6625_04083","CFBP6626_03954"
"g002380_000001","g002380",NA,"hypothetical protein",60,29,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1014,1200,1027.55,289,1,"CFBP6625_03731","CFBP6626_03595"
"g003205_000002","g003205",NA,"hypothetical protein",70,23,311,1,1,1,1,0,1,0,311,"hypothetical protein(312)","NA(312)",327,1032,1027.94,289,2,"CFBP6625_03730","CFBP6626_03594"
"g002547_000002","g002547","prmA","Ribosomal protein L11 methyltransferase",70,28,311,1,1,1,0,0,0,0,311,"Ribosomal protein L11 methyltransferase(311)","prmA(311)",873,990,885.9,290,1,"CFBP6625_01851","CFBP6626_01761"
"g001990_1_000001","g001990_1",NA,"hypothetical protein",60,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",600,666,606.4,290,2,"CFBP6625_01852","CFBP6626_01762"
"g002675_000002","g002675","pmbA","Metalloprotease PmbA",70,27,311,1,1,1,1,0,1,0,311,"Metalloprotease PmbA(312)","pmbA(312)",429,1362,1343.74,291,1,"CFBP6625_00357","CFBP6626_00335"
"g001026_000001","g001026","suhB","Fructose-1%2C6-bisphosphatase/inositol-1-monophosphatase",60,43,311,1,1,1,1,0,1,0,311,"Fructose-1%2C6-bisphosphatase/inositol-1-monophosphatase(169):3'-phosphoadenosine 5'-phosphate phosphatase(64):Inositol-1-monophosphatase(64):hypothetical protein(15)","suhB(233):cysQ(64):NA(15)",321,900,809,291,2,"CFBP6625_00358","CFBP6626_00336"
"g001784_000001","g001784","htpX","Protease HtpX ",60,34,311,1,1,1,11,0,11,0,311,"Protease HtpX (311):Protease HtpX(11)","htpX(322)",492,1029,948.77,292,1,"CFBP6625_02680","CFBP6626_02519"
"g000780_000001","g000780","rsmB","Ribosomal RNA small subunit methyltransferase B",60,47,311,1,1,1,1,0,1,0,311,"Ribosomal RNA small subunit methyltransferase B(311):hypothetical protein(1)","rsmB(311):NA(1)",171,1500,1387.09,292,2,"CFBP6625_02679","CFBP6626_02518"
"g004962_1_000007","g004962_1","ftsH","ATP-dependent zinc metalloprotease FtsH",90,14,311,1,1,1,0,0,0,0,311,"ATP-dependent zinc metalloprotease FtsH(311)","ftsH(311)",1929,2007,1950.12,293,1,"CFBP6625_03688","CFBP6626_03553"
"g003522_000003","g003522","glmM","Phosphoglucosamine mutase",80,21,311,1,1,1,1,0,1,0,311,"Phosphoglucosamine mutase(311):hypothetical protein(1)","glmM(311):NA(1)",147,1437,1368.39,293,2,"CFBP6625_03687","CFBP6626_03552"
"g002413_000001","g002413","lsrR","Transcriptional regulator LsrR",60,29,311,1,1,1,0,0,0,0,311,"Transcriptional regulator LsrR(311)","lsrR(311)",954,987,954.33,294,1,"CFBP6625_04419","CFBP6626_04265"
"g000452_1_000003","g000452_1","mtlK","Mannitol 2-dehydrogenase",70,55,311,1,1,2,0,1,0,1,312,"Mannitol 2-dehydrogenase(312)","mtlK(312)",1482,1488,1484.54,294,2,"CFBP6625_04425","CFBP6626_04271"
"g002657_1_000003","g002657_1",NA,"hypothetical protein",80,22,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1230,1287,1250.44,295,1,"CFBP6625_02088","CFBP6626_01999"
"g000596_1_000002","g000596_1","guaD","Guanine deaminase",70,46,311,1.01,1,2,1,3,1,3,314,"Guanine deaminase(311):hypothetical protein(4)","guaD(311):NA(4)",204,1320,1295.01,295,2,"CFBP6625_02089","CFBP6626_02000"
"g002666_000002","g002666","dnaK","Chaperone protein DnaK",70,27,311,1,1,1,0,0,0,0,311,"Chaperone protein DnaK(298):Chaperone protein HscA(13)","dnaK(298):hscA(13)",1287,1419,1295.43,296,1,"CFBP6625_00656","CFBP6626_00638"
"g000467_000001","g000467","udg","hypothetical protein",60,54,311,1,1,1,0,0,0,0,311,"hypothetical protein(310):Type-4 uracil-DNA glycosylase(1)","NA(310):udg(1)",453,924,894.17,296,2,"CFBP6625_00655","CFBP6626_00637"
"g000693","g000693",NA,"hypothetical protein",50,50,311,1,1,1,1,0,1,0,311,"hypothetical protein(312)","NA(312)",225,774,706.06,297,1,"CFBP6625_02903","CFBP6626_02739"
"g002103_000002","g002103",NA,"hypothetical protein",70,31,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1272,1290,1282.17,297,2,"CFBP6625_02902","CFBP6626_02738"
"g001051","g001051","envC","hypothetical protein",50,41,311,1,1,1,1,0,1,0,311,"hypothetical protein(268):Murein hydrolase activator EnvC(45)","NA(268):envC(45)",429,1530,1398.88,298,1,"CFBP6625_02630","CFBP6626_02469"
"g003363_1_000005","g003363_1",NA,"hypothetical protein",80,19,311,1.01,1,2,4,3,4,3,314,"hypothetical protein(171):putative CtpA-like serine protease(147)","NA(318)",228,1332,1307.67,298,2,"CFBP6625_02629","CFBP6626_02468"
"g002832_000002","g002832","recJ","Single-stranded-DNA-specific exonuclease RecJ",70,24,311,1,1,1,2,0,2,0,311,"Single-stranded-DNA-specific exonuclease RecJ(312):hypothetical protein(1)","recJ(312):NA(1)",357,1818,1784.74,299,1,"CFBP6625_01242","CFBP6626_01181"
"g003689_000003","g003689","hom","Homoserine dehydrogenase",80,21,311,1,1,1,0,0,0,0,311,"Homoserine dehydrogenase(311)","hom(311)",1311,1323,1315.43,299,2,"CFBP6625_01244","CFBP6626_01183"
"g002362_000002","g002362",NA,"Tn3 family transposase TnXax1",70,28,311,1,1,2,1,1,1,1,312,"Tn3 family transposase TnXax1(304):hypothetical protein(9)","NA(313)",357,1335,1227.07,300,1,"CFBP6625_03762","CFBP6626_03626"
"g002050_1_000004","g002050_1","gtaB","UTP--glucose-1-phosphate uridylyltransferase",80,21,311,1.01,1,2,0,2,0,2,313,"UTP--glucose-1-phosphate uridylyltransferase(313)","gtaB(313)",888,891,888.08,300,2,"CFBP6625_03761","CFBP6626_03625"
"g003523_1_000006","g003523_1","fumC","Fumarate hydratase class II",80,18,311,1,1,1,1,0,1,0,311,"Fumarate hydratase class II(312)","fumC(312)",303,1545,1402.72,301,1,"CFBP6625_01271","CFBP6626_01209"
"g001617","g001617",NA,"hypothetical protein",50,33,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",1059,1965,1907.56,301,2,"CFBP6625_01270","CFBP6626_01208"
"g002488_000002","g002488","ccmF","Cytochrome c-type biogenesis protein CcmF",70,28,311,1.01,1,2,1,3,1,3,314,"Cytochrome c-type biogenesis protein CcmF(313):hypothetical protein(2)","ccmF(313):NA(2)",252,2034,1982.16,302,1,"CFBP6625_00642;CFBP6625_04901","CFBP6626_00624"
"g002029_000002","g002029","ccmE","Cytochrome c-type biogenesis protein CcmE",70,32,311,1,1,1,0,0,0,0,311,"Cytochrome c-type biogenesis protein CcmE(311)","ccmE(311)",450,513,481.34,302,2,"CFBP6625_00641","CFBP6626_00623"
"g003145_000003","g003145","ubiE","Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE",80,25,311,1,1,1,0,0,0,0,311,"Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE(311)","ubiE(311)",777,777,777,303,1,"CFBP6625_02999","CFBP6626_02835"
"g002821_000003","g002821","ubiB","putative protein kinase UbiB",80,26,311,1,1,1,0,0,0,0,311,"putative protein kinase UbiB(308):protein kinase UbiB(3)","ubiB(311)",1575,1584,1576.45,303,2,"CFBP6625_02998","CFBP6626_02834"
"g000004_1_000364","g000004_1","ugpC","sn-glycerol-3-phosphate import ATP-binding protein UgpC",80,24,311,1,1,2,0,1,0,1,312,"sn-glycerol-3-phosphate import ATP-binding protein UgpC(312)","ugpC(312)",1086,1092,1090.27,304,1,"CFBP6625_03310","CFBP6626_03178"
"g000460_1_000007","g000460_1","araQ","L-arabinose transport system permease protein AraQ",70,34,311,1.03,1,3,0,7,0,8,319,"L-arabinose transport system permease protein AraQ(318):hypothetical protein(1)","araQ(318):NA(1)",171,960,938.16,304,2,"CFBP6625_03311","CFBP6626_03179"
"g002521_1_000005","g002521_1","argH","Argininosuccinate lyase",80,24,311,1,1,1,1,0,1,0,311,"Argininosuccinate lyase(312)","argH(312)",381,1404,1397.09,305,1,"CFBP6625_03632","CFBP6626_03440"
"g000802_000001","g000802","tlpA","Thiol:disulfide interchange protein TlpA",60,45,311,1,1,1,0,0,0,0,311,"Thiol:disulfide interchange protein TlpA(264):Thiol-disulfide oxidoreductase ResA(47)","tlpA(264):resA(47)",447,672,666.23,305,2,"CFBP6625_03631","CFBP6626_03439"
"g001195_000001","g001195","yegS","lipid kinase YegS",60,39,311,1,1,1,0,0,0,0,311,"lipid kinase YegS(184):Putative lipid kinase(122):Diacylglycerol kinase(5)","yegS(184):NA(122):dagK(5)",909,987,924.68,306,1,"CFBP6625_00668","CFBP6626_00650"
"g000676_000002","g000676","spuC","Putrescine--pyruvate aminotransferase",70,47,311,1,1,1,0,0,0,0,311,"Putrescine--pyruvate aminotransferase(311)","spuC(311)",339,1434,1373.38,306,2,"CFBP6625_00669","CFBP6626_00651"
"g002678_000003","g002678","nadE","Glutamine-dependent NAD(+) synthetase",80,27,311,1,1,1,0,0,0,0,311,"Glutamine-dependent NAD(+) synthetase(311)","nadE(311)",1680,1689,1680.38,307,1,"CFBP6625_01359","CFBP6626_01250"
"g000131_000001","g000131","tolB","putative protein",60,76,311,1,1,2,0,1,0,1,312,"putative protein(310):hypothetical protein(1):Protein TolB(1)","NA(311):tolB(1)",300,906,827.32,307,2,"CFBP6625_01357","CFBP6626_01248"
"g008018_000003","g008018","nqo1","NADH-quinone oxidoreductase chain 1",80,8,311,1,1,1,0,0,0,0,311,"NADH-quinone oxidoreductase chain 1(311)","nqo1(311)",774,1305,1303.29,308,1,"CFBP6625_00931","CFBP6626_00911"
"g000875_1_000005","g000875_1","rplU","50S ribosomal protein L21",70,35,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L21(248):NADH-quinone oxidoreductase chain 2(54):hypothetical protein(9)","rplU(248):nqo2(54):NA(9)",801,1152,1055.09,308,2,"CFBP6625_00930","CFBP6626_00910"
"g001849_000001","g001849","fruK","Fructose import ATP-binding protein FruK",60,33,311,1,1,2,2,1,2,1,312,"Fructose import ATP-binding protein FruK(313):hypothetical protein(1)","fruK(313):NA(1)",195,1569,1521.93,309,1,"CFBP6625_03179","CFBP6626_03048"
"g003921_000002","g003921","ytfQ","ABC transporter periplasmic-binding protein YtfQ",70,20,311,1,1,2,0,1,0,1,312,"ABC transporter periplasmic-binding protein YtfQ(312)","ytfQ(312)",960,984,961.38,309,2,"CFBP6625_03178","CFBP6626_03047"
"g000996_000001","g000996","nagZ","Beta-hexosaminidase",60,39,311,1,1,1,1,0,1,0,311,"Beta-hexosaminidase(312)","nagZ(312)",309,1149,1015.72,310,1,"CFBP6625_01410","CFBP6626_01299"
"g001584_000002","g001584","scpA","Segregation and condensation protein A",70,34,311,1,1,1,0,0,0,0,311,"Segregation and condensation protein A(311)","scpA(311)",798,900,849.87,310,2,"CFBP6625_01409","CFBP6626_01298"
"g002585_000002","g002585",NA,"hypothetical protein",70,28,311,1,1,1,1,0,1,0,311,"hypothetical protein(312)","NA(312)",189,927,877.07,311,1,"CFBP6625_00020","CFBP6626_00020"
"g002643_000002","g002643","mutS","DNA mismatch repair protein MutS",70,26,311,1,1,1,0,0,0,0,311,"DNA mismatch repair protein MutS(311)","mutS(311)",2652,2865,2731.8,311,2,"CFBP6625_00021","CFBP6626_00021"
"g004252_000001","g004252",NA,"hypothetical protein",60,19,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",312,318,315.45,312,1,"CFBP6625_01048","CFBP6626_01028"
"g003929_1_000004","g003929_1","acoA","Acetoin:2%2C6-dichlorophenolindophenol oxidoreductase subunit alpha",80,18,311,1,1,1,0,0,0,0,311,"Acetoin:2%2C6-dichlorophenolindophenol oxidoreductase subunit alpha(311)","acoA(311)",1044,1047,1044.77,312,2,"CFBP6625_01049","CFBP6626_01029"
"g004695_000003","g004695","lon","Lon protease",80,16,311,1,1,1,0,0,0,0,311,"Lon protease(311)","lon(311)",1590,2421,2416.62,313,1,"CFBP6625_00917","CFBP6626_00897"
"g006205_000003","g006205","hupB","DNA-binding protein HRL18",80,12,311,1,1,1,0,0,0,0,311,"DNA-binding protein HRL18(159):DNA-binding protein HRL53(82):DNA-binding protein HRm(70)","NA(241):hupB(70)",276,276,276,313,2,"CFBP6625_00918","CFBP6626_00898"
"g003433_000002","g003433","pcaH","Protocatechuate 3%2C4-dioxygenase beta chain",70,21,311,1.01,1,2,1,2,1,2,313,"Protocatechuate 3%2C4-dioxygenase beta chain(313):hypothetical protein(1)","pcaH(313):NA(1)",198,750,739.52,314,1,"CFBP6625_04510","CFBP6626_04359"
"g001662_000001","g001662","pcaG","Protocatechuate 3%2C4-dioxygenase alpha chain",60,33,311,1.01,1,2,1,2,1,2,313,"Protocatechuate 3%2C4-dioxygenase alpha chain(313):hypothetical protein(1)","pcaG(313):NA(1)",204,621,614.48,314,2,"CFBP6625_04509","CFBP6626_04358"
"g002874_000003","g002874","truB","tRNA pseudouridine synthase B",80,26,311,1,1,1,0,0,0,0,311,"tRNA pseudouridine synthase B(310):hypothetical protein(1)","truB(310):NA(1)",138,948,938.04,315,1,"CFBP6625_02770","CFBP6626_02609"
"g003812_000002","g003812","rbfA","Ribosome-binding factor A",70,20,311,1,1,1,0,0,0,0,311,"Ribosome-binding factor A(311)","rbfA(311)",405,429,417.13,315,2,"CFBP6625_02771","CFBP6626_02610"
"g000227","g000227","cobD","Cobalamin biosynthesis protein CobD",50,70,311,1,1,1,1,0,1,0,311,"Cobalamin biosynthesis protein CobD(246):Cobalamin biosynthesis protein CbiB(65):hypothetical protein(1)","cobD(246):cbiB(65):NA(1)",144,1086,962.89,316,1,"CFBP6625_02664","CFBP6626_02503"
"g000249","g000249","cobQ","Cobyric acid synthase",50,68,311,1,1,1,0,0,0,0,311,"Cobyric acid synthase(311)","cobQ(311)",1362,1458,1454.6,316,2,"CFBP6625_02663","CFBP6626_02502"
"g000605","g000605",NA,"hypothetical protein",50,50,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",777,993,852.78,317,1,"CFBP6625_03710","CFBP6626_03575"
"g003792_000003","g003792","yebC","putative transcriptional regulatory protein",80,21,311,1,1,1,1,0,1,0,311,"putative transcriptional regulatory protein(311):transcriptional regulatory protein YebC(1)","NA(311):yebC(1)",330,849,746.77,317,2,"CFBP6625_03708","CFBP6626_03573"
"g004552_000002","g004552","nqo5","NADH-quinone oxidoreductase chain 5",70,17,311,1,1,1,0,0,0,0,311,"NADH-quinone oxidoreductase chain 5(311)","nqo5(311)",603,603,603,318,1,"CFBP6625_00926","CFBP6626_00906"
"g007262_000003","g007262","nuoD","NADH-quinone oxidoreductase subunit D",80,9,311,1,1,1,0,0,0,0,311,"NADH-quinone oxidoreductase subunit D(311)","nuoD(311)",1191,1245,1191.35,318,2,"CFBP6625_00928","CFBP6626_00908"
"g001839_000001","g001839","bamA","Outer membrane protein assembly factor BamA",60,33,311,1.01,1,2,0,4,0,4,315,"Outer membrane protein assembly factor BamA(315)","bamA(315)",2220,2355,2329.5,319,1,"CFBP6625_01035","CFBP6626_01015"
"g000597_000001","g000597","lpxD","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ",60,51,311,1,1,1,309,0,309,0,311,"3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ(309):UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase(226):UDP-3-O-acylglucosamine N-acyltransferase(85)","lpxD(311):fabZ(309)",465,1527,770.68,319,2,"(CFBP6625_01036:CFBP6625_01037)","(CFBP6626_01016:CFBP6626_01017)"
"g001050_1_000003","g001050_1","glpK","Glycerol kinase",70,26,311,1,1,2,0,1,0,1,312,"Glycerol kinase(312)","glpK(312)",1494,1536,1497.97,320,1,"CFBP6625_03861","CFBP6626_03744"
"g000984_000002","g000984","lig","DNA ligase",70,40,311,1,1,1,0,0,0,0,311,"DNA ligase(311)","lig(311)",1614,1638,1627.6,320,2,"CFBP6625_00508","CFBP6626_00489"
"g000663","g000663","iolC","5-dehydro-2-deoxygluconokinase",50,49,311,1.09,1,2,4,27,4,27,338,"5-dehydro-2-deoxygluconokinase(338):hypothetical protein(4)","iolC(338):NA(4)",147,1995,1882.47,321,1,"CFBP6625_04484","CFBP6626_04331"
"g000489_000001","g000489","iolD","3D-(3%2C5/4)-trihydroxycyclohexane-1%2C2-dione hydrolase",60,48,311,1.08,1,2,2,25,2,25,336,"3D-(3%2C5/4)-trihydroxycyclohexane-1%2C2-dione hydrolase(338)","iolD(338)",480,1851,1822.22,321,2,"CFBP6625_04483","CFBP6626_04330"
"g001915_000001","g001915",NA,"hypothetical protein",60,30,311,1,1,1,1,0,1,0,311,"hypothetical protein(312)","NA(312)",333,783,695.25,322,1,"CFBP6625_01165","CFBP6626_01144"
"g000891","g000891",NA,"hypothetical protein",50,45,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",921,1020,979.33,322,2,"CFBP6625_01166","CFBP6626_01145"
"g001700","g001700",NA,"hypothetical protein",50,35,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",303,342,321.94,323,1,"CFBP6625_00863","CFBP6626_00844"
"g001865_000001","g001865","ilvA","L-threonine dehydratase biosynthetic IlvA",60,33,311,1,1,2,1,1,1,1,312,"L-threonine dehydratase biosynthetic IlvA(312):hypothetical protein(2)","ilvA(312):NA(2)",153,1377,1254.7,323,2,"CFBP6625_00862","CFBP6626_00843"
"g000874_000003","g000874","purD","Phosphoribosylamine--glycine ligase",80,45,311,1,1,1,0,0,0,0,311,"Phosphoribosylamine--glycine ligase(311)","purD(311)",1269,1281,1273.66,324,1,"CFBP6625_00306","CFBP6626_00284"
"g002338_000002","g002338","yhgF","Protein YhgF",70,29,311,1,1,1,1,0,1,0,311,"Protein YhgF(312)","yhgF(312)",948,2325,2310.05,324,2,"CFBP6625_00307","CFBP6626_00285"
"g001806","g001806",NA,"hypothetical protein",50,33,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",381,420,394.67,325,1,"CFBP6625_00435","CFBP6626_00415"
"g000863","g000863",NA,"hypothetical protein",50,46,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",693,786,753.44,325,2,"CFBP6625_00436","CFBP6626_00416"
"g001462_000003","g001462",NA,"hypothetical protein",80,36,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",396,546,426.96,326,1,"CFBP6625_02147","CFBP6626_02058"
"g000322","g000322",NA,"hypothetical protein",50,61,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",333,468,378.24,326,2,"CFBP6625_02145","CFBP6626_02056"
"g000579_000001","g000579","yfiH","Polyphenol oxidase",60,53,311,1,1,1,1,0,1,0,311,"Polyphenol oxidase(311):hypothetical protein(1)","yfiH(265):rl5(46):NA(1)",186,831,794.56,327,1,"CFBP6625_01984","CFBP6626_01895"
"g001986_000002","g001986","doeA","Ectoine hydrolase",70,32,311,1,1,1,2,0,2,0,311,"Ectoine hydrolase(309):hypothetical protein(4)","doeA(309):NA(4)",306,1155,1145.14,327,2,"CFBP6625_01985","CFBP6626_01896"
"g005375_000003","g005375",NA,"2-haloacrylate reductase",80,14,311,1,1,1,0,0,0,0,311,"2-haloacrylate reductase(311)","NA(311)",1029,1029,1029,328,1,"CFBP6625_01250","CFBP6626_01189"
"g001646_000002","g001646","lpxL","Lipid A biosynthesis lauroyltransferase",70,35,311,1.01,1,2,0,2,0,2,313,"Lipid A biosynthesis lauroyltransferase(112):Lipid A biosynthesis myristoyltransferase 2(82):Lipid A biosynthesis myristoyltransferase(72):Lipid A biosynthesis myristoyltransferase 1(47)","lpxL(112):lpxM2(82):lpxM(72):lpxM1(47)",621,972,930.68,328,2,"CFBP6625_01249","CFBP6626_01188"
"g001767_000002","g001767","ureE","Urease accessory protein UreE",70,29,311,1,1,1,0,0,0,0,311,"Urease accessory protein UreE(235):Urease accessory protein UreE 1(76)","ureE(235):ureE1(76)",462,810,501.26,329,1,"CFBP6625_02162","CFBP6626_02074"
"g000091","g000091","ureF","Urease accessory protein UreF",50,87,311,1,1,1,0,0,0,0,311,"Urease accessory protein UreF(311)","ureF(311)",624,735,678.88,329,2,"CFBP6625_02161","CFBP6626_02073"
"g005680_000004","g005680","cytR","HTH-type transcriptional repressor CytR",90,13,311,1,1,2,1,1,1,1,312,"HTH-type transcriptional repressor CytR(311):Maltose regulon regulatory protein MalI(1):HTH-type transcriptional repressor PurR(1)","cytR(311):malI(1):purR(1)",255,1041,1019.88,330,1,"CFBP6625_04478","CFBP6626_04325"
"g000531_000001","g000531","ghrB","2-ketogluconate reductase",60,51,311,1,1,2,0,1,0,1,312,"2-ketogluconate reductase(308):Glyoxylate/hydroxypyruvate reductase B(4)","NA(308):ghrB(4)",957,1029,964.44,330,2,"CFBP6625_04479","CFBP6626_04326"
"g002861_000002","g002861","rimP","Ribosome maturation factor RimP",70,26,311,1,1,1,0,0,0,0,311,"Ribosome maturation factor RimP(311)","rimP(311)",393,789,606.7,331,1,"CFBP6625_02776","CFBP6626_02614"
"g005906_000004","g005906","nusA","Transcription termination/antitermination protein NusA",90,12,311,1,1,1,2,0,2,0,311,"Transcription termination/antitermination protein NusA(311):hypothetical protein(2)","nusA(311):NA(2)",282,1623,1603.08,331,2,"CFBP6625_02775","CFBP6626_02613"
"g002416_1_000007","g002416_1","parA","Chromosome partitioning protein ParA",80,24,311,1,1,1,0,0,0,0,311,"Chromosome partitioning protein ParA(311)","parA(311)",792,867,796.3,332,1,"CFBP6625_02683","CFBP6626_02522"
"g002759_000003","g002759","parB","Chromosome-partitioning protein ParB",80,23,311,1,1,1,0,0,0,0,311,"Chromosome-partitioning protein ParB(311)","parB(311)",786,885,882.2,332,2,"CFBP6625_02682","CFBP6626_02521"
"g001538_000002","g001538","cinA","hypothetical protein",70,36,311,1,1,1,2,0,2,0,311,"hypothetical protein(312):Putative competence-damage inducible protein(1)","NA(312):cinA(1)",255,846,778.17,333,1,"CFBP6625_01430","CFBP6626_01319"
"g002610","g002610",NA,"hypothetical protein",50,28,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",189,846,841.78,333,2,"CFBP6625_01431","CFBP6626_01320"
"g000469_000002","g000469","yggS","Pyridoxal phosphate homeostasis protein",70,56,311,1,1,1,0,0,0,0,311,"Pyridoxal phosphate homeostasis protein(311)","NA(209):yggS(102)",660,660,660,334,1,"CFBP6625_02602","CFBP6626_02441"
"g001731_000003","g001731","leuS","Leucine--tRNA ligase",80,34,311,1,1,1,4,0,4,0,311,"Leucine--tRNA ligase(315)","leuS(315)",567,2631,2597.54,334,2,"CFBP6625_02603","CFBP6626_02442"
"g002068_000002","g002068","ppdK","Pyruvate%2C phosphate dikinase",70,23,311,1,1,2,5,1,5,1,312,"Pyruvate%2C phosphate dikinase(313):hypothetical protein(4)","ppdK(313):NA(4)",141,2994,2661.14,335,1,"CFBP6625_00467","CFBP6626_00447"
"g001318_000003","g001318","smc","Chromosome partition protein Smc",80,33,311,1,1,2,2,1,2,1,312,"Chromosome partition protein Smc(314)","smc(314)",192,3519,3432.47,335,2,"CFBP6625_00464","CFBP6626_00443"
"g004050_000003","g004050","gltB","Ferredoxin-dependent glutamate synthase 1",80,18,311,1,1,1,2,0,2,0,311,"Ferredoxin-dependent glutamate synthase 1(311):hypothetical protein(2)","gltB(311):NA(2)",1062,4755,4706.12,336,1,"CFBP6625_03767","CFBP6626_03631"
"g004083_000004","g004083","gltD","Glutamate synthase [NADPH] small chain",90,16,311,1,1,1,1,0,1,0,311,"Glutamate synthase [NADPH] small chain(312)","gltD(312)",666,1458,1447.33,336,2,"CFBP6625_03766","CFBP6626_03630"
"g001610_1_000001","g001610_1","rcsC","Sensor histidine kinase RcsC",60,29,311,1,1,2,6,1,6,1,312,"Sensor histidine kinase RcsC(312):hypothetical protein(6)","rcsC(312):NA(6)",222,3408,3317.11,337,1,"CFBP6625_02182","CFBP6626_02095"
"g001732","g001732","cheB","Chemotaxis response regulator protein-glutamate methylesterase",50,33,311,1,1,1,1,0,1,0,311,"Chemotaxis response regulator protein-glutamate methylesterase(254):Sensor histidine kinase RcsC(57):hypothetical protein(1)","cheB(254):rcsC(57):NA(1)",696,1239,931.49,337,2,"CFBP6625_02183","CFBP6626_02096"
"g002074_000001","g002074","gdh","NAD-specific glutamate dehydrogenase",60,31,311,1,1,1,0,0,0,0,311,"NAD-specific glutamate dehydrogenase(311)","gdh(235):gdhB(76)",4410,4842,4774.8,338,1,"CFBP6625_02620","CFBP6626_02459"
"g000673_000002","g000673",NA,"hypothetical protein",70,47,311,1,1,1,2,0,2,0,311,"hypothetical protein(313)","NA(313)",498,1440,1370.83,338,2,"CFBP6625_02621","CFBP6626_02460"
