"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","UMA610","ICMP6402","SBV_302782"
"g000666_000002","g000666",NA,"hypothetical protein",70,48,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1185,1257,1203.57,262,1,"UMA610_00956","ICMP6402_00276","SBV_302782_02066"
"g000262_000001","g000262","bioM","Biotin transport ATP-binding protein BioM",60,67,311,1,1,1,0,0,0,0,311,"Biotin transport ATP-binding protein BioM(311)","bioM(311)",636,756,685.37,262,2,"UMA610_00957","ICMP6402_00274","SBV_302782_02065"
"g001670_000002","g001670","mscL","Large-conductance mechanosensitive channel",70,35,311,1,1,1,0,0,0,0,311,"Large-conductance mechanosensitive channel(311)","mscL(311)",426,492,439.39,263,1,"UMA610_01513","ICMP6402_00056","SBV_302782_01847"
"g002502_000002","g002502","aspC","Aspartate aminotransferase",70,28,311,1,1,1,0,0,0,0,311,"Aspartate aminotransferase(310):Putative N-acetyl-LL-diaminopimelate aminotransferase(1)","aspC(310):patA(1)",501,1188,1168.72,263,2,"UMA610_01512","ICMP6402_00057","SBV_302782_01848"
"g001980_000001","g001980","degQ","Periplasmic pH-dependent serine endoprotease DegQ",60,30,311,1,1,1,1,0,1,0,311,"Periplasmic pH-dependent serine endoprotease DegQ(193):Periplasmic serine endoprotease DegP(118):hypothetical protein(1)","degQ(193):degP(118):NA(1)",546,1410,1395.86,264,1,"UMA610_02368","ICMP6402_01576","SBV_302782_00036"
"g003690_000003","g003690","rarA","Replication-associated recombination protein A",80,21,311,1,1,1,0,0,0,0,311,"Replication-associated recombination protein A(311)","rarA(311)",1308,1317,1315.48,264,2,"UMA610_02369","ICMP6402_01575","SBV_302782_00037"
"g003568_000003","g003568",NA,"hypothetical protein",80,22,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",567,582,568.07,265,1,"UMA610_01056","ICMP6402_00175","SBV_302782_01967"
"g000750_000001","g000750","ubiA","4-hydroxybenzoate octaprenyltransferase",60,47,311,1,1,1,0,0,0,0,311,"4-hydroxybenzoate octaprenyltransferase(311)","ubiA(311)",954,1044,958.09,265,2,"UMA610_01057","ICMP6402_00174","SBV_302782_01966"
"g003878_000001","g003878","waaA","3-deoxy-D-manno-octulosonic acid transferase",60,19,311,1,1,1,0,0,0,0,311,"3-deoxy-D-manno-octulosonic acid transferase(310):hypothetical protein(1)","waaA(310):NA(1)",1164,1338,1320.95,266,1,"UMA610_01010","ICMP6402_00221","SBV_302782_02012"
"g000614_000001","g000614","gph","Phosphoglycolate phosphatase",60,51,311,1,1,1,0,0,0,0,311,"Phosphoglycolate phosphatase(296):N-acetylmuramic acid 6-phosphate phosphatase(13):Pyrophosphatase PpaX(2)","gph(296):mupP(13):ppaX(2)",696,750,735.63,266,2,"UMA610_01009","ICMP6402_00222","SBV_302782_02013"
"g001799_000001","g001799",NA,"hypothetical protein",60,34,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",498,519,503.07,267,1,"UMA610_00384","ICMP6402_00847","SBV_302782_00608"
"g003480_000002","g003480",NA,"hypothetical protein",70,23,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",399,399,399,267,2,"UMA610_00382","ICMP6402_00849","SBV_302782_00606"
"g002635_000002","g002635","purL","Phosphoribosylformylglycinamidine synthase subunit PurL",70,27,311,1,1,1,0,0,0,0,311,"Phosphoribosylformylglycinamidine synthase subunit PurL(311)","purL(311)",2223,2328,2249.59,268,1,"UMA610_02429","ICMP6402_01515","SBV_302782_00099"
"g010772_000004","g010772",NA,"putative protein RP812",90,6,311,1,1,1,0,0,0,0,311,"putative protein RP812(311)","NA(311)",234,237,234.49,268,2,"UMA610_02428","ICMP6402_01516","SBV_302782_00098"
"g003311_000003","g003311","priA","Primosomal protein N'",80,22,311,1,1,1,0,0,0,0,311,"Primosomal protein N'(311)","priA(311)",2088,2325,2242.39,269,1,"UMA610_03548","ICMP6402_04282","SBV_302782_04010"
"g001270_000002","g001270","xerC","Tyrosine recombinase XerC",70,38,311,1,1,1,0,0,0,0,311,"Tyrosine recombinase XerC(311)","xerC(311)",900,1026,935.28,269,2,"UMA610_03549","ICMP6402_04281","SBV_302782_04009"
"g001906_000002","g001906",NA,"hypothetical protein",70,33,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",372,507,438.18,270,1,"UMA610_02511","ICMP6402_01384","SBV_302782_00181"
"g001333_1_000011","g001333_1","sdaB","L-serine dehydratase 2",90,30,311,1.01,1,2,0,3,0,3,314,"L-serine dehydratase 2(205):L-serine dehydratase TdcG(83):L-serine dehydratase(24):L-serine dehydratase 1(2)","sdaB(205):tdcG(83):sdaA(26)",321,1410,1396.98,270,2,"UMA610_02510","ICMP6402_01385","SBV_302782_00180"
"g002717_000003","g002717","rnd","Ribonuclease D",80,27,311,1,1,1,0,0,0,0,311,"Ribonuclease D(311)","rnd(311)",624,690,627.17,271,1,"UMA610_04150","ICMP6402_04555","SBV_302782_04689"
"g006250_000004","g006250","lepA","Elongation factor 4",90,11,311,1,1,1,0,0,0,0,311,"Elongation factor 4(311)","lepA(311)",1821,1938,1837.03,271,2,"UMA610_03276","ICMP6402_03850","SBV_302782_01570"
"g000730","g000730",NA,"hypothetical protein",50,49,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",699,768,706.5,272,1,"UMA610_02387","ICMP6402_01557","SBV_302782_00054"
"g004266_000003","g004266","cobU","Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase",80,18,311,1,1,1,0,0,0,0,311,"Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase(311)","cobU(310):cobT(1)",1008,2010,1031.27,272,2,"UMA610_02388","ICMP6402_01554","SBV_302782_00057"
"g002367_000002","g002367","hss","Homospermidine synthase",70,26,311,1,1,1,2,0,2,0,311,"Homospermidine synthase(313)","hss(313)",204,1452,1430.52,273,1,"UMA610_02902","ICMP6402_02809","SBV_302782_02943"
"g000845","g000845",NA,"hypothetical protein",50,46,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",609,678,641.86,273,2,"UMA610_02900","ICMP6402_02812","SBV_302782_02941"
"g000367","g000367",NA,"hypothetical protein",50,60,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",582,726,693.11,274,1,"UMA610_03207","ICMP6402_03919","SBV_302782_01486"
"g002230_1_000003","g002230_1","phnM","Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase",70,26,311,1,1,1,0,0,0,0,311,"Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase(311)","phnM(311)",1137,1200,1140.88,274,2,"UMA610_03206","ICMP6402_03920","SBV_302782_01485"
"g001215_000003","g001215","ycfH","putative metal-dependent hydrolase YcfH",80,39,311,1,1,1,0,0,0,0,311,"putative metal-dependent hydrolase YcfH(311)","ycfH(311)",171,786,781.06,275,1,"UMA610_00224","ICMP6402_01005","SBV_302782_00479"
"g000659_000002","g000659","rbn","Ribonuclease BN",70,51,311,1,1,1,0,0,0,0,311,"Ribonuclease BN(256):hypothetical protein(55)","rbn(256):NA(55)",330,834,824.05,275,2,"UMA610_00225","ICMP6402_01004","SBV_302782_00480"
"g003406_1_000003","g003406_1","tmpC","Membrane lipoprotein TmpC",70,21,311,1.01,1,2,0,2,0,2,313,"Membrane lipoprotein TmpC(267):hypothetical protein(46)","tmpC(267):NA(46)",141,996,989.03,276,1,"UMA610_03166","ICMP6402_03960","SBV_302782_01444"
"g002820_1_000005","g002820_1","mglA","Galactose/methyl galactoside import ATP-binding protein MglA",80,24,311,1,1,2,0,1,0,1,312,"Galactose/methyl galactoside import ATP-binding protein MglA(312)","mglA(312)",1506,1575,1511.54,276,2,"UMA610_03167","ICMP6402_03959","SBV_302782_01445"
"g004381_000002","g004381",NA,"hypothetical protein",70,16,311,1.01,1,2,3,2,3,2,313,"hypothetical protein(316)","NA(316)",225,807,644.08,277,1,"UMA610_02276","ICMP6402_03604","SBV_302782_01315;SBV_302782_03713"
"g006395_000004","g006395","ilvC","Ketol-acid reductoisomerase (NADP(+))",90,11,311,1.01,1,2,0,2,0,2,313,"Ketol-acid reductoisomerase (NADP(+))(313)","ilvC(313)",1020,1020,1020,277,2,"UMA610_02277","ICMP6402_03605","SBV_302782_01314;SBV_302782_03714"
"g000365","g000365",NA,"hypothetical protein",50,60,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1101,1125,1122.08,278,1,"UMA610_03321","ICMP6402_03805","SBV_302782_01615"
"g000393_000001","g000393",NA,"hypothetical protein",60,56,311,1,1,1,1,0,1,0,311,"hypothetical protein(312)","NA(312)",492,1095,1085.18,278,2,"UMA610_03320","ICMP6402_03806","SBV_302782_01614"
"g004429_000001","g004429",NA,"hypothetical protein",60,18,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",312,342,316.94,279,1,"UMA610_03691","ICMP6402_04138","SBV_302782_03868"
"g004842_000003","g004842","bfr","Bacterioferritin",80,16,311,1,1,1,0,0,0,0,311,"Bacterioferritin(311)","bfr(311)",486,492,486.6,279,2,"UMA610_03692","ICMP6402_04137","SBV_302782_03867"
"g003647_000003","g003647","thrS","Threonine--tRNA ligase",80,20,311,1,1,1,4,0,4,0,311,"Threonine--tRNA ligase(311):Threonine--tRNA ligase 1(4)","thrS(315)",837,2019,1975.24,280,1,"UMA610_02523","ICMP6402_01372","SBV_302782_00193"
"g000691_000001","g000691","sufU","hypothetical protein",60,49,311,1,1,1,0,0,0,0,311,"hypothetical protein(310):Zinc-dependent sulfurtransferase SufU(1)","NA(310):sufU(1)",441,546,450.78,280,2,"UMA610_02520","ICMP6402_01375","SBV_302782_00190"
"g003257_1_000007","g003257_1","ohrB","Organic hydroperoxide resistance protein OhrB",80,19,311,1,1,1,0,0,0,0,311,"Organic hydroperoxide resistance protein OhrB(306):hypothetical protein(5)","ohrB(306):NA(5)",423,555,425.21,281,1,"UMA610_00857","ICMP6402_00374","SBV_302782_02165"
"g001286_1_000001","g001286_1","ohrR","Organic hydroperoxide resistance transcriptional regulator",60,37,311,1,1,2,0,1,0,1,312,"Organic hydroperoxide resistance transcriptional regulator(310):hypothetical protein(2)","ohrR(310):NA(2)",444,489,457.28,281,2,"UMA610_00858","ICMP6402_00373","SBV_302782_02164"
"g004006_000001","g004006",NA,"hypothetical protein",60,20,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",345,348,346.56,282,1,"UMA610_01128","ICMP6402_00104","SBV_302782_01896"
"g005203_000002","g005203","flbT","flagellum biosynthesis repressor protein FlbT",70,13,311,1,1,1,0,0,0,0,311,"flagellum biosynthesis repressor protein FlbT(311)","flbT(311)",447,453,449.8,282,2,"UMA610_01127","ICMP6402_00105","SBV_302782_01897"
"g002882","g002882","yjiA","hypothetical protein",50,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(289):putative GTP-binding protein YjiA(17):Putative metal chaperone YciC(5)","NA(289):yjiA(17):yciC(5)",657,1077,1045.93,283,1,"UMA610_03726","ICMP6402_04103","SBV_302782_03833"
"g000271_000001","g000271","cobP","Bifunctional adenosylcobalamin biosynthesis protein CobP",60,65,311,1,1,1,0,0,0,0,311,"Bifunctional adenosylcobalamin biosynthesis protein CobP(307):hypothetical protein(4)","cobP(307):NA(4)",507,597,524.51,283,2,"UMA610_00155","ICMP6402_01063","SBV_302782_00435"
"g004005_000003","g004005",NA,"hypothetical protein",80,20,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",246,360,256.26,284,1,"UMA610_00127","ICMP6402_01091","SBV_302782_00407"
"g001688_000002","g001688","bpoC","Putative non-heme bromoperoxidase BpoC",70,35,311,1,1,1,0,0,0,0,311,"Putative non-heme bromoperoxidase BpoC(179):Haloalkane dehalogenase(84):Aclacinomycin methylesterase RdmC(43):2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxylate synthase(3):Arylesterase(2)","bpoC(179):dhmA(84):rdmC(43):menH(3):NA(2)",777,876,782.48,284,2,"UMA610_00128","ICMP6402_01090","SBV_302782_00408"
"g001771","g001771",NA,"hypothetical protein",50,34,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",585,591,588.45,285,1,"UMA610_00780","ICMP6402_00452","SBV_302782_02243"
"g001362","g001362",NA,"hypothetical protein",50,38,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",549,579,555.45,285,2,"UMA610_00781","ICMP6402_00451","SBV_302782_02242"
"g003247_000003","g003247","engB","putative GTP-binding protein EngB",80,24,311,1,1,1,0,0,0,0,311,"putative GTP-binding protein EngB(282):GTP-binding protein EngB(29)","engB(311)",648,750,657.89,286,1,"UMA610_03415","ICMP6402_03710","SBV_302782_01709"
"g002240_000001","g002240","yidC","Membrane protein insertase YidC",60,30,311,1,1,1,0,0,0,0,311,"Membrane protein insertase YidC(311)","yidC(311)",1791,1869,1812.59,286,2,"UMA610_03416","ICMP6402_03709","SBV_302782_01710"
"g001155_1_000003","g001155_1","pepA","Cytosol aminopeptidase",70,37,311,1,1,2,2,1,2,1,312,"Cytosol aminopeptidase(304):cytosol aminopeptidase(8):hypothetical protein(2)","pepA(312):NA(2)",180,1620,1505.54,287,1,"UMA610_00595","ICMP6402_00639","SBV_302782_00877"
"g000898_000001","g000898",NA,"hypothetical protein",60,39,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",450,486,451.1,287,2,"UMA610_00594","ICMP6402_00640","SBV_302782_00876"
"g002300_000002","g002300","ycf3","Photosystem I assembly protein Ycf3",70,29,311,1,1,2,0,1,0,1,312,"Photosystem I assembly protein Ycf3(312)","ycf3(312)",798,900,890.73,288,1,"UMA610_04213","ICMP6402_04505","SBV_302782_04734"
"g000400_1_000004","g000400_1","rpsU","30S ribosomal protein S21",80,10,311,1,1,2,0,1,0,1,312,"30S ribosomal protein S21(312)","rpsU(312)",213,252,226.5,288,2,"UMA610_04212","ICMP6402_04506","SBV_302782_04733"
"g002380_000001","g002380",NA,"hypothetical protein",60,29,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1014,1200,1027.55,289,1,"UMA610_02881","ICMP6402_02831","SBV_302782_02922"
"g003205_000002","g003205",NA,"hypothetical protein",70,23,311,1,1,1,1,0,1,0,311,"hypothetical protein(312)","NA(312)",327,1032,1027.94,289,2,"UMA610_02880","ICMP6402_02832","SBV_302782_02921"
"g002547_000002","g002547","prmA","Ribosomal protein L11 methyltransferase",70,28,311,1,1,1,0,0,0,0,311,"Ribosomal protein L11 methyltransferase(311)","prmA(311)",873,990,885.9,290,1,"UMA610_02220","ICMP6402_03549","SBV_302782_03658"
"g001990_1_000001","g001990_1",NA,"hypothetical protein",60,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",600,666,606.4,290,2,"UMA610_02219","ICMP6402_03548","SBV_302782_03657"
"g002675_000002","g002675","pmbA","Metalloprotease PmbA",70,27,311,1,1,1,1,0,1,0,311,"Metalloprotease PmbA(312)","pmbA(312)",429,1362,1343.74,291,1,"UMA610_01013","ICMP6402_00218","SBV_302782_02009"
"g001026_000001","g001026","suhB","Fructose-1%2C6-bisphosphatase/inositol-1-monophosphatase",60,43,311,1,1,1,1,0,1,0,311,"Fructose-1%2C6-bisphosphatase/inositol-1-monophosphatase(169):3'-phosphoadenosine 5'-phosphate phosphatase(64):Inositol-1-monophosphatase(64):hypothetical protein(15)","suhB(233):cysQ(64):NA(15)",321,900,809,291,2,"UMA610_01012","ICMP6402_00219","SBV_302782_02010"
"g001784_000001","g001784","htpX","Protease HtpX ",60,34,311,1,1,1,11,0,11,0,311,"Protease HtpX (311):Protease HtpX(11)","htpX(322)",492,1029,948.77,292,1,"UMA610_03746","ICMP6402_04083","SBV_302782_03813"
"g000780_000001","g000780","rsmB","Ribosomal RNA small subunit methyltransferase B",60,47,311,1,1,1,1,0,1,0,311,"Ribosomal RNA small subunit methyltransferase B(311):hypothetical protein(1)","rsmB(311):NA(1)",171,1500,1387.09,292,2,"UMA610_03745","ICMP6402_04084","SBV_302782_03814"
"g004962_1_000007","g004962_1","ftsH","ATP-dependent zinc metalloprotease FtsH",90,14,311,1,1,1,0,0,0,0,311,"ATP-dependent zinc metalloprotease FtsH(311)","ftsH(311)",1929,2007,1950.12,293,1,"UMA610_02840","ICMP6402_02872","SBV_302782_02881"
"g003522_000003","g003522","glmM","Phosphoglucosamine mutase",80,21,311,1,1,1,1,0,1,0,311,"Phosphoglucosamine mutase(311):hypothetical protein(1)","glmM(311):NA(1)",147,1437,1368.39,293,2,"UMA610_02839","ICMP6402_02873","SBV_302782_02880"
"g002413_000001","g002413","lsrR","Transcriptional regulator LsrR",60,29,311,1,1,1,0,0,0,0,311,"Transcriptional regulator LsrR(311)","lsrR(311)",954,987,954.33,294,1,"UMA610_04086","ICMP6402_04618","SBV_302782_04397"
"g000452_1_000003","g000452_1","mtlK","Mannitol 2-dehydrogenase",70,55,311,1,1,2,0,1,0,1,312,"Mannitol 2-dehydrogenase(312)","mtlK(312)",1482,1488,1484.54,294,2,"UMA610_01416","ICMP6402_02252","SBV_302782_01167"
"g002657_1_000003","g002657_1",NA,"hypothetical protein",80,22,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1230,1287,1250.44,295,1,"UMA610_01980","ICMP6402_03306","SBV_302782_03397"
"g000596_1_000002","g000596_1","guaD","Guanine deaminase",70,46,311,1.01,1,2,1,3,1,3,314,"Guanine deaminase(311):hypothetical protein(4)","guaD(311):NA(4)",204,1320,1295.01,295,2,"UMA610_01979","ICMP6402_03305","SBV_302782_03396"
"g002666_000002","g002666","dnaK","Chaperone protein DnaK",70,27,311,1,1,1,0,0,0,0,311,"Chaperone protein DnaK(298):Chaperone protein HscA(13)","dnaK(298):hscA(13)",1287,1419,1295.43,296,1,"UMA610_00712","ICMP6402_00522","SBV_302782_02313"
"g000467_000001","g000467","udg","hypothetical protein",60,54,311,1,1,1,0,0,0,0,311,"hypothetical protein(310):Type-4 uracil-DNA glycosylase(1)","NA(310):udg(1)",453,924,894.17,296,2,"UMA610_00713","ICMP6402_00521","SBV_302782_02312"
"g000693","g000693",NA,"hypothetical protein",50,50,311,1,1,1,1,0,1,0,311,"hypothetical protein(312)","NA(312)",225,774,706.06,297,1,"UMA610_03256","ICMP6402_03869","SBV_302782_01535"
"g002103_000002","g002103",NA,"hypothetical protein",70,31,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",1272,1290,1282.17,297,2,"UMA610_03255","ICMP6402_03870","SBV_302782_01534"
"g001051","g001051","envC","hypothetical protein",50,41,311,1,1,1,1,0,1,0,311,"hypothetical protein(268):Murein hydrolase activator EnvC(45)","NA(268):envC(45)",429,1530,1398.88,298,1,"UMA610_03696","ICMP6402_04133","SBV_302782_03863"
"g003363_1_000005","g003363_1",NA,"hypothetical protein",80,19,311,1.01,1,2,4,3,4,3,314,"hypothetical protein(171):putative CtpA-like serine protease(147)","NA(318)",228,1332,1307.67,298,2,"UMA610_03695","ICMP6402_04134","SBV_302782_03864"
"g002832_000002","g002832","recJ","Single-stranded-DNA-specific exonuclease RecJ",70,24,311,1,1,1,2,0,2,0,311,"Single-stranded-DNA-specific exonuclease RecJ(312):hypothetical protein(1)","recJ(312):NA(1)",357,1818,1784.74,299,1,"UMA610_00118","ICMP6402_01100","SBV_302782_00398"
"g003689_000003","g003689","hom","Homoserine dehydrogenase",80,21,311,1,1,1,0,0,0,0,311,"Homoserine dehydrogenase(311)","hom(311)",1311,1323,1315.43,299,2,"UMA610_00116","ICMP6402_01102","SBV_302782_00396"
"g002362_000002","g002362",NA,"Tn3 family transposase TnXax1",70,28,311,1,1,2,1,1,1,1,312,"Tn3 family transposase TnXax1(304):hypothetical protein(9)","NA(313)",357,1335,1227.07,300,1,"UMA610_02912","ICMP6402_02799","SBV_302782_02953"
"g002050_1_000004","g002050_1","gtaB","UTP--glucose-1-phosphate uridylyltransferase",80,21,311,1.01,1,2,0,2,0,2,313,"UTP--glucose-1-phosphate uridylyltransferase(313)","gtaB(313)",888,891,888.08,300,2,"UMA610_02911","ICMP6402_02800","SBV_302782_02952"
"g003523_1_000006","g003523_1","fumC","Fumarate hydratase class II",80,18,311,1,1,1,1,0,1,0,311,"Fumarate hydratase class II(312)","fumC(312)",303,1545,1402.72,301,1,"UMA610_00090","ICMP6402_01128","SBV_302782_00370"
"g001617","g001617",NA,"hypothetical protein",50,33,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",1059,1965,1907.56,301,2,"UMA610_00091","ICMP6402_01127","SBV_302782_00371"
"g002488_000002","g002488","ccmF","Cytochrome c-type biogenesis protein CcmF",70,28,311,1.01,1,2,1,3,1,3,314,"Cytochrome c-type biogenesis protein CcmF(313):hypothetical protein(2)","ccmF(313):NA(2)",252,2034,1982.16,302,1,"UMA610_00725","ICMP6402_00509","SBV_302782_02300"
"g002029_000002","g002029","ccmE","Cytochrome c-type biogenesis protein CcmE",70,32,311,1,1,1,0,0,0,0,311,"Cytochrome c-type biogenesis protein CcmE(311)","ccmE(311)",450,513,481.34,302,2,"UMA610_00726","ICMP6402_00508","SBV_302782_02299"
"g003145_000003","g003145","ubiE","Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE",80,25,311,1,1,1,0,0,0,0,311,"Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE(311)","ubiE(311)",777,777,777,303,1,"UMA610_03354","ICMP6402_03771","SBV_302782_01648"
"g002821_000003","g002821","ubiB","putative protein kinase UbiB",80,26,311,1,1,1,0,0,0,0,311,"putative protein kinase UbiB(308):protein kinase UbiB(3)","ubiB(311)",1575,1584,1576.45,303,2,"UMA610_03353","ICMP6402_03772","SBV_302782_01647"
"g000004_1_000364","g000004_1","ugpC","sn-glycerol-3-phosphate import ATP-binding protein UgpC",80,24,311,1,1,2,0,1,0,1,312,"sn-glycerol-3-phosphate import ATP-binding protein UgpC(312)","ugpC(312)",1086,1092,1090.27,304,1,"UMA610_01615","ICMP6402_02530","SBV_302782_02556"
"g000460_1_000007","g000460_1","araQ","L-arabinose transport system permease protein AraQ",70,34,311,1.03,1,3,0,7,0,8,319,"L-arabinose transport system permease protein AraQ(318):hypothetical protein(1)","araQ(318):NA(1)",171,960,938.16,304,2,"UMA610_01614","ICMP6402_02529","SBV_302782_02557"
"g002521_1_000005","g002521_1","argH","Argininosuccinate lyase",80,24,311,1,1,1,1,0,1,0,311,"Argininosuccinate lyase(312)","argH(312)",381,1404,1397.09,305,1,"UMA610_02769","ICMP6402_02943","SBV_302782_02811"
"g000802_000001","g000802","tlpA","Thiol:disulfide interchange protein TlpA",60,45,311,1,1,1,0,0,0,0,311,"Thiol:disulfide interchange protein TlpA(264):Thiol-disulfide oxidoreductase ResA(47)","tlpA(264):resA(47)",447,672,666.23,305,2,"UMA610_02768","ICMP6402_02944","SBV_302782_02810"
"g001195_000001","g001195","yegS","lipid kinase YegS",60,39,311,1,1,1,0,0,0,0,311,"lipid kinase YegS(184):Putative lipid kinase(122):Diacylglycerol kinase(5)","yegS(184):NA(122):dagK(5)",909,987,924.68,306,1,"UMA610_00700","ICMP6402_00535","SBV_302782_02326"
"g000676_000002","g000676","spuC","Putrescine--pyruvate aminotransferase",70,47,311,1,1,1,0,0,0,0,311,"Putrescine--pyruvate aminotransferase(311)","spuC(311)",339,1434,1373.38,306,2,"UMA610_00698","ICMP6402_00536","SBV_302782_02327"
"g002678_000003","g002678","nadE","Glutamine-dependent NAD(+) synthetase",80,27,311,1,1,1,0,0,0,0,311,"Glutamine-dependent NAD(+) synthetase(311)","nadE(311)",1680,1689,1680.38,307,1,"UMA610_00052","ICMP6402_01192","SBV_302782_00336"
"g000131_000001","g000131","tolB","putative protein",60,76,311,1,1,2,0,1,0,1,312,"putative protein(310):hypothetical protein(1):Protein TolB(1)","NA(311):tolB(1)",300,906,827.32,307,2,"UMA610_00054","ICMP6402_01187","SBV_302782_00338"
"g008018_000003","g008018","nqo1","NADH-quinone oxidoreductase chain 1",80,8,311,1,1,1,0,0,0,0,311,"NADH-quinone oxidoreductase chain 1(311)","nqo1(311)",774,1305,1303.29,308,1,"UMA610_00434","ICMP6402_00797","SBV_302782_00657"
"g000875_1_000005","g000875_1","rplU","50S ribosomal protein L21",70,35,311,1,1,1,0,0,0,0,311,"50S ribosomal protein L21(248):NADH-quinone oxidoreductase chain 2(54):hypothetical protein(9)","rplU(248):nqo2(54):NA(9)",801,1152,1055.09,308,2,"UMA610_00435","ICMP6402_00796","SBV_302782_00658"
"g001849_000001","g001849","fruK","Fructose import ATP-binding protein FruK",60,33,311,1,1,2,2,1,2,1,312,"Fructose import ATP-binding protein FruK(313):hypothetical protein(1)","fruK(313):NA(1)",195,1569,1521.93,309,1,"UMA610_04458","ICMP6402_01875","SBV_302782_02417"
"g003921_000002","g003921","ytfQ","ABC transporter periplasmic-binding protein YtfQ",70,20,311,1,1,2,0,1,0,1,312,"ABC transporter periplasmic-binding protein YtfQ(312)","ytfQ(312)",960,984,961.38,309,2,"UMA610_04459","ICMP6402_01874","SBV_302782_02416"
"g000996_000001","g000996","nagZ","Beta-hexosaminidase",60,39,311,1,1,1,1,0,1,0,311,"Beta-hexosaminidase(312)","nagZ(312)",309,1149,1015.72,310,1,"UMA610_00001","ICMP6402_01243","SBV_302782_00282"
"g001584_000002","g001584","scpA","Segregation and condensation protein A",70,34,311,1,1,1,0,0,0,0,311,"Segregation and condensation protein A(311)","scpA(311)",798,900,849.87,310,2,"UMA610_00002","ICMP6402_01242","SBV_302782_00283"
"g002585_000002","g002585",NA,"hypothetical protein",70,28,311,1,1,1,1,0,1,0,311,"hypothetical protein(312)","NA(312)",189,927,877.07,311,1,"UMA610_03377","ICMP6402_03748","SBV_302782_01671"
"g002643_000002","g002643","mutS","DNA mismatch repair protein MutS",70,26,311,1,1,1,0,0,0,0,311,"DNA mismatch repair protein MutS(311)","mutS(311)",2652,2865,2731.8,311,2,"UMA610_03378","ICMP6402_03747","SBV_302782_01672"
"g004252_000001","g004252",NA,"hypothetical protein",60,19,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",312,318,315.45,312,1,"UMA610_00316","ICMP6402_00916","SBV_302782_00540"
"g003929_1_000004","g003929_1","acoA","Acetoin:2%2C6-dichlorophenolindophenol oxidoreductase subunit alpha",80,18,311,1,1,1,0,0,0,0,311,"Acetoin:2%2C6-dichlorophenolindophenol oxidoreductase subunit alpha(311)","acoA(311)",1044,1047,1044.77,312,2,"UMA610_00315","ICMP6402_00917","SBV_302782_00539"
"g004695_000003","g004695","lon","Lon protease",80,16,311,1,1,1,0,0,0,0,311,"Lon protease(311)","lon(311)",1590,2421,2416.62,313,1,"UMA610_00448","ICMP6402_00783","SBV_302782_00671"
"g006205_000003","g006205","hupB","DNA-binding protein HRL18",80,12,311,1,1,1,0,0,0,0,311,"DNA-binding protein HRL18(159):DNA-binding protein HRL53(82):DNA-binding protein HRm(70)","NA(241):hupB(70)",276,276,276,313,2,"UMA610_00447","ICMP6402_00784","SBV_302782_00670"
"g003433_000002","g003433","pcaH","Protocatechuate 3%2C4-dioxygenase beta chain",70,21,311,1.01,1,2,1,2,1,2,313,"Protocatechuate 3%2C4-dioxygenase beta chain(313):hypothetical protein(1)","pcaH(313):NA(1)",198,750,739.52,314,1,"UMA610_01343","ICMP6402_02179","SBV_302782_01095"
