"allele_name","gene_family","consensus_gene_name","consensus_product","threshold","alleles_at_maximum_threshold","number_genomes","average_dose","min_dose","max_dose","genomes_containing_fissions","genomes_containing_duplications","number_fission_loci","number_duplicated_loci","no_loci","products","gene_names","min_length.bp.","max_length.bp.","average_length.bp.","cluster","cluster_order","CFBP5877","CFBP5499","NCPPB925"
"g003240_000003","g003240",NA,"hypothetical protein",80,24,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",504,513,510.82,378,1,"CFBP5877_01726","CFBP5499_01826","NCPPB925_00486"
"g002943_000001","g002943",NA,"hypothetical protein",60,26,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",366,396,377.35,379,1,"CFBP5877_00283","CFBP5499_00376","NCPPB925_01946"
"g000155","g000155","menF","Isochorismate synthase MenF",50,74,311,1,1,1,0,0,0,0,311,"Isochorismate synthase MenF(216):Aminodeoxychorismate synthase component 1(95)","menF(216):pabB(95)",927,1254,1156.56,380,1,"CFBP5877_01357","CFBP5499_01457","NCPPB925_00859"
"g000138_1_000001","g000138_1","gntK","Gluconokinase",60,49,311,1,1,1,0,0,0,0,311,"Gluconokinase(260):Thermoresistant gluconokinase(51)","NA(260):gntK(51)",504,546,520.36,381,1,"CFBP5877_02686","CFBP5499_02786","NCPPB925_02435"
"g002378_000001","g002378","ycaD","putative MFS-type transporter YcaD",60,25,311,1,1,1,1,0,1,0,311,"putative MFS-type transporter YcaD(312)","ycaD(312)",444,1296,1280.08,382,1,"CFBP5877_03704","CFBP5499_03808","NCPPB925_04068"
"g000007_1_000003","g000007_1","omp2b","Porin Omp2b",80,181,311,4.22,1,11,20,253,20,1001,1312,"Porin Omp2b(608):Outer membrane protein IIIA(565):Porin Omp2a(154):hypothetical protein(5)","omp2b(608):ropA(565):omp2a(154):NA(5)",207,1296,1055.67,383,1,"CFBP5877_00745;CFBP5877_00746;CFBP5877_02941","CFBP5499_00838;CFBP5499_00839;CFBP5499_03042","NCPPB925_01479;NCPPB925_01480;NCPPB925_04833"
"g004240_000003","g004240","queF","NADPH-dependent 7-cyano-7-deazaguanine reductase",80,19,311,1,1,1,0,0,0,0,311,"NADPH-dependent 7-cyano-7-deazaguanine reductase(311)","queF(311)",465,465,465,384,1,"CFBP5877_01940","CFBP5499_02040","NCPPB925_00271"
"g000658","g000658","dgkA","hypothetical protein",50,47,311,1.02,1,2,0,6,0,6,317,"hypothetical protein(189):Diacylglycerol kinase(128)","NA(189):dgkA(128)",381,450,406.24,385,1,"CFBP5877_01584","CFBP5499_01684","NCPPB925_00630"
"g003143_000002","g003143",NA,"hypothetical protein",70,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",390,399,394.13,386,1,"CFBP5877_00554","CFBP5499_00647","NCPPB925_01673"
"g002446_1_000003","g002446_1","phaB","Acetoacetyl-CoA reductase",70,27,311,1.25,1,2,0,77,0,77,388,"Acetoacetyl-CoA reductase(381):3-oxoacyl-[acyl-carrier-protein] reductase FabG(7)","phaB(381):fabG(7)",726,726,726,387,1,"CFBP5877_02431","CFBP5499_02531","NCPPB925_02685"
"g001547_1_000001","g001547_1","erfK","hypothetical protein",60,31,311,1.01,1,2,0,4,0,4,315,"hypothetical protein(314):putative L%2CD-transpeptidase ErfK/SrfK(1)","NA(314):erfK(1)",336,825,742.43,388,1,"CFBP5877_00361","CFBP5499_00454","NCPPB925_01867"
"g001759_000002","g001759","mgtA","GDP-mannose-dependent alpha-mannosyltransferase",70,26,311,1,1,1,1,0,1,0,311,"GDP-mannose-dependent alpha-mannosyltransferase(304):hypothetical protein(8)","mgtA(304):NA(8)",495,1173,1066.43,389,1,"CFBP5877_01964","CFBP5499_02064","NCPPB925_00247"
"g002113_000003","g002113","purC","Phosphoribosylaminoimidazole-succinocarboxamide synthase",80,31,311,1,1,1,0,0,0,0,311,"Phosphoribosylaminoimidazole-succinocarboxamide synthase(311)","purC(311)",942,1119,962,390,1,"CFBP5877_02218","CFBP5499_02318","NCPPB925_02902"
"g000004_9_000001","g000004_9","malK","Maltose/maltodextrin import ATP-binding protein MalK",60,420,311,9.42,5,13,213,311,522,2620,2931,"Maltose/maltodextrin import ATP-binding protein MalK(1983):sn-glycerol-3-phosphate import ATP-binding protein UgpC(1367):Trehalose import ATP-binding protein SugC(143):hypothetical protein(26):Vitamin B12 import ATP-binding protein BtuD(1)","malK(1983):ugpC(1367):sugC(143):NA(26):btuD(1)",183,1206,1056.67,391,1,"CFBP5877_02791;CFBP5877_02983;CFBP5877_03086;CFBP5877_03287;CFBP5877_03957;CFBP5877_04256;CFBP5877_04341;CFBP5877_04477;CFBP5877_04651;CFBP5877_05062;CFBP5877_05260","CFBP5499_02891;CFBP5499_03084;CFBP5499_03187;CFBP5499_03388;CFBP5499_04062;CFBP5499_04414;CFBP5499_04499;CFBP5499_04635;CFBP5499_04809;CFBP5499_05221;CFBP5499_05418","NCPPB925_02330;NCPPB925_03062;NCPPB925_03235;NCPPB925_03372;NCPPB925_03457;NCPPB925_03816;NCPPB925_04488;NCPPB925_04690;NCPPB925_04791;NCPPB925_05381;NCPPB925_05718"
"g003021_000002","g003021","fliI","Flagellum-specific ATP synthase",70,25,311,1,1,1,0,0,0,0,311,"Flagellum-specific ATP synthase(161):ATP synthase subunit beta(121):V-type ATP synthase beta chain(23):putative ATP synthase YscN(6)","fliI(161):atpB(144):yscN(6)",423,1467,1391.49,392,1,"CFBP5877_00256","CFBP5499_00349","NCPPB925_01973"
"g001977_000001","g001977","rlmD","23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD",60,32,311,1,1,1,0,0,0,0,311,"23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD(311)","rlmD(311)",1251,1257,1251.99,393,1,"CFBP5877_00427","CFBP5499_00520","NCPPB925_01801"
"g000005_8","g000005_8","glnQ","Glutamine transport ATP-binding protein GlnQ",50,202,311,4.78,1,12,153,299,449,1175,1486,"Glutamine transport ATP-binding protein GlnQ(1303):L-cystine import ATP-binding protein TcyC(267):Vitamin B12 import ATP-binding protein BtuD(228):Octopine permease ATP-binding protein P(202):Arginine transport ATP-binding protein ArtM(47):hypothetical protein(2):Histidine transport ATP-binding protein HisP(1)","glnQ(1303):tcyC(267):btuD(228):occP(202):artM(47):NA(2):hisP(1)",252,1569,848.18,394,1,"CFBP5877_01101;CFBP5877_02874;CFBP5877_03898;CFBP5877_04226;CFBP5877_04728;CFBP5877_04823","(CFBP5499_04003:CFBP5499_04384);CFBP5499_01194;CFBP5499_02974;CFBP5499_04887;CFBP5499_04982","(NCPPB925_03487:NCPPB925_03875);NCPPB925_01124;NCPPB925_02984;NCPPB925_04902;NCPPB925_05143"
"g000298_000001","g000298","yffB","Protein YffB",60,65,311,1,1,1,0,0,0,0,311,"Protein YffB(189):putative protein(120):Regulatory protein Spx(2)","yffB(189):NA(120):spxA(2)",345,468,352.61,395,1,"CFBP5877_02760","CFBP5499_02860","NCPPB925_02361"
"g002497_000001","g002497","mdtD","Putative multidrug resistance protein MdtD",60,28,311,1,1,1,0,0,0,0,311,"Putative multidrug resistance protein MdtD(192):Multidrug resistance protein 3(119)","mdtD(192):bmr3(119)",1497,1605,1537.33,396,1,"CFBP5877_00532","CFBP5499_00625","NCPPB925_01695"
"g000069_000001","g000069","nasA","Nitrate reductase",60,98,311,1.03,1,2,0,9,0,9,320,"Nitrate reductase(320)","nasA(320)",2505,2721,2655.39,397,1,"CFBP5877_03848","CFBP5499_03953","NCPPB925_03921"
"g005682_000004","g005682","glyQ","Glycine--tRNA ligase alpha subunit",90,12,311,1,1,1,0,0,0,0,311,"Glycine--tRNA ligase alpha subunit(311)","glyQ(311)",954,1020,960.3,398,1,"CFBP5877_00331","CFBP5499_00424","NCPPB925_01898"
"g000717","g000717","gloB","Hydroxyacylglutathione hydrolase",50,49,311,1,1,1,0,0,0,0,311,"Hydroxyacylglutathione hydrolase(311)","gloB(311)",909,981,911.55,399,1,"CFBP5877_00504","CFBP5499_00597","NCPPB925_01723"
"g001395_1_000002","g001395_1","kup","Low affinity potassium transport system protein kup",70,31,311,1.13,1,3,1,39,1,40,351,"Low affinity potassium transport system protein kup(352)","kup(352)",396,2061,1897.84,400,1,"CFBP5877_00404","CFBP5499_00497","NCPPB925_01824"
"g002508_1_000007","g002508_1","leuC","3-isopropylmalate dehydratase large subunit",80,20,311,1,1,1,1,0,1,0,311,"3-isopropylmalate dehydratase large subunit(308):3-isopropylmalate dehydratase large subunit 1(4)","leuC(308):leuC1(4)",375,1422,1405.57,401,1,"CFBP5877_02374","CFBP5499_02474","NCPPB925_02744"
"g000427","g000427","recQ","ATP-dependent DNA helicase RecQ",50,51,311,1.02,1,3,5,5,5,6,317,"ATP-dependent DNA helicase RecQ(316):hypothetical protein(6)","recQ(316):NA(6)",174,2025,1798.18,402,1,"CFBP5877_02561","CFBP5499_02661","NCPPB925_02560"
"g000048_1_000062","g000048_1","cspG","Cold shock-like protein 7.0",90,7,311,1,1,1,0,0,0,0,311,"Cold shock-like protein 7.0(257):Cold shock-like protein CspG(53):Cold shock protein CspA(1)","NA(257):cspG(53):cspA(1)",216,216,216,403,1,"CFBP5877_01869","CFBP5499_01969","NCPPB925_00342"
"g001253_1_000001","g001253_1","rafR","HTH-type transcriptional regulator RafR",60,37,311,1,1,1,0,0,0,0,311,"HTH-type transcriptional regulator RafR(298):HTH-type transcriptional repressor PurR(13)","rafR(298):purR(13)",867,1236,1049.12,404,1,"CFBP5877_01229","CFBP5499_01329","NCPPB925_00987"
"g000627_000001","g000627",NA,"Tn3 family transposase TnXax1",60,49,311,1,1,1,1,0,1,0,311,"Tn3 family transposase TnXax1(257):hypothetical protein(55)","NA(312)",540,1461,1298.55,405,1,"CFBP5877_02589","CFBP5499_02689","NCPPB925_02532"
"g000308_1_000001","g000308_1","accA1","Acetyl-/propionyl-coenzyme A carboxylase alpha chain",60,62,311,1.06,1,2,0,19,0,19,330,"Acetyl-/propionyl-coenzyme A carboxylase alpha chain(210):D-alanine--D-alanine ligase(119):hypothetical protein(1)","accA1(210):ddl(119):NA(1)",780,2022,2001.79,406,1,"CFBP5877_03519","CFBP5499_03620","NCPPB925_04256"
"g002517_000003","g002517","pfp","Pyrophosphate--fructose 6-phosphate 1-phosphotransferase",80,27,311,1,1,1,1,0,1,0,311,"Pyrophosphate--fructose 6-phosphate 1-phosphotransferase(312)","pfp(312)",606,1215,1208.67,407,1,"CFBP5877_01790","CFBP5499_01890","NCPPB925_00422"
"g000637_000002","g000637",NA,"hypothetical protein",70,51,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",993,1008,1002.76,408,1,"CFBP5877_00528","CFBP5499_00621","NCPPB925_01699"
"g001457_1_000001","g001457_1",NA,"hypothetical protein",60,31,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",552,714,655.1,409,1,"CFBP5877_03145","CFBP5499_03245","NCPPB925_04631"
"g003937_000002","g003937","ecfG","ECF RNA polymerase sigma factor EcfG",70,20,311,1,1,1,0,0,0,0,311,"ECF RNA polymerase sigma factor EcfG(311)","ecfG(311)",552,573,563.37,410,1,"CFBP5877_04142","CFBP5499_04300","NCPPB925_03572"
"g001879_000001","g001879",NA,"hypothetical protein",60,33,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",471,729,532.22,411,1,"CFBP5877_02647","CFBP5499_02747","NCPPB925_02474"
"g002470_000001","g002470",NA,"hypothetical protein",60,28,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",330,429,385.78,412,1,"CFBP5877_00174","CFBP5499_00267","NCPPB925_02053"
"g003860_000002","g003860","gndA","6-phosphogluconate dehydrogenase%2C NADP(+)-dependent%2C decarboxylating",70,20,311,1,1,1,0,0,0,0,311,"6-phosphogluconate dehydrogenase%2C NADP(+)-dependent%2C decarboxylating(271):6-phosphogluconate dehydrogenase%2C NAD(+)-dependent%2C decarboxylating(32):6-phosphogluconate dehydrogenase%2C decarboxylating(8)","gndA(271):gntZ(32):gnd(8)",1422,1458,1430.86,413,1,"CFBP5877_01233","CFBP5499_01333","NCPPB925_00983"
"g001033_000002","g001033","fcbB1","4-chlorobenzoyl coenzyme A dehalogenase-1",70,43,311,1,1,1,0,0,0,0,311,"4-chlorobenzoyl coenzyme A dehalogenase-1(172):putative enoyl-CoA hydratase echA8(77):1%2C2-epoxyphenylacetyl-CoA isomerase(31):2%2C3-dehydroadipyl-CoA hydratase(25):Crotonyl-CoA hydratase(3):4-chlorobenzoyl coenzyme A dehalogenase-2(3)","fcbB1(172):echA8(77):paaG(31):paaF(25):fcbB2(3):NA(3)",753,765,757.64,414,1,"CFBP5877_00425","CFBP5499_00518","NCPPB925_01803"
"g001606_000001","g001606","mtgA","Monofunctional biosynthetic peptidoglycan transglycosylase",60,35,311,1,1,1,0,0,0,0,311,"Monofunctional biosynthetic peptidoglycan transglycosylase(310):hypothetical protein(1)","mtgA(310):NA(1)",1311,2535,2361.56,415,1,"CFBP5877_02601","CFBP5499_02701","NCPPB925_02520"
"g001776_000001","g001776","yfcA","putative membrane transporter protein YfcA",60,34,311,1,1,1,0,0,0,0,311,"putative membrane transporter protein YfcA(295):hypothetical protein(16)","yfcA(295):NA(16)",786,942,807.86,416,1,"CFBP5877_01286","CFBP5499_01386","NCPPB925_00930"
"g002124_000003","g002124",NA,"hypothetical protein",80,31,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",957,966,962.25,417,1,"CFBP5877_00091","CFBP5499_00094","NCPPB925_02225"
"g001864_000003","g001864","tyrS","Tyrosine--tRNA ligase",80,28,311,1,1,1,4,0,4,0,311,"Tyrosine--tRNA ligase(311):hypothetical protein(4)","tyrS(311):NA(4)",126,1323,1240.49,418,1,"CFBP5877_01523","CFBP5499_01623","NCPPB925_00691"
"g000005_5_000001","g000005_5","glnQ","Glutamine transport ATP-binding protein GlnQ",60,107,311,2.15,1,5,25,229,25,357,668,"Glutamine transport ATP-binding protein GlnQ(685):Arginine transport ATP-binding protein ArtM(6):L-cystine import ATP-binding protein TcyC(2)","glnQ(685):artM(6):tcyC(2)",261,897,754.2,419,1,"CFBP5877_02556;CFBP5877_03111;CFBP5877_03935;CFBP5877_04184","(CFBP5499_03212:CFBP5499_04040);CFBP5499_02656;CFBP5499_04342","NCPPB925_02565;NCPPB925_03529;NCPPB925_03838;NCPPB925_04665"
"g003644_000002","g003644","ndvA","Beta-(1-->2)glucan export ATP-binding/permease protein NdvA",70,21,311,1,1,1,0,0,0,0,311,"Beta-(1-->2)glucan export ATP-binding/permease protein NdvA(311)","ndvA(311)",1731,1830,1766.05,420,1,"CFBP5877_02392","CFBP5499_02492","NCPPB925_02725"
"g003826_000003","g003826","parC","DNA topoisomerase 4 subunit A",80,20,311,1,1,1,0,0,0,0,311,"DNA topoisomerase 4 subunit A(311)","parC(311)",474,2307,2257.54,421,1,"CFBP5877_00877","CFBP5499_00970","NCPPB925_01349"
"g002437_000002","g002437",NA,"hypothetical protein",70,25,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",501,639,636.96,422,1,"CFBP5877_02646","CFBP5499_02746","NCPPB925_02475"
"g001704_000001","g001704",NA,"hypothetical protein",60,35,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",435,465,448.78,423,1,"CFBP5877_01011","CFBP5499_01104","NCPPB925_01214"
"g000065_1_000005","g000065_1","glpD","Aerobic glycerol-3-phosphate dehydrogenase",70,85,311,1.56,1,3,0,163,0,175,486,"Aerobic glycerol-3-phosphate dehydrogenase(485):hypothetical protein(1)","glpD(485):NA(1)",918,1791,1525.46,424,1,"CFBP5877_03516;CFBP5877_03845","CFBP5499_03617;CFBP5499_03950","NCPPB925_03924;NCPPB925_04259"
"g001188_1_000003","g001188_1","hisI","Phosphoribosyl-AMP cyclohydrolase",70,39,311,1,1,1,0,0,0,0,311,"Phosphoribosyl-AMP cyclohydrolase(311)","hisI(311)",444,522,455.49,425,1,"CFBP5877_01429","CFBP5499_01529","NCPPB925_00786"
"g002042_1_000001","g002042_1",NA,"2-keto-3-deoxy-L-fuconate dehydrogenase",60,29,311,1.01,1,2,1,4,1,4,315,"2-keto-3-deoxy-L-fuconate dehydrogenase(315):hypothetical protein(1)","NA(316)",204,744,729.38,426,1,"CFBP5877_04491","CFBP5499_04649","NCPPB925_03221"
"g002829_000003","g002829","purH","Bifunctional purine biosynthesis protein PurH",80,26,311,1,1,1,0,0,0,0,311,"Bifunctional purine biosynthesis protein PurH(311)","purH(311)",1617,1617,1617,427,1,"CFBP5877_02484","CFBP5499_02584","NCPPB925_02632"
"g000279_000001","g000279","fdhD","Sulfur carrier protein FdhD",60,66,311,1.01,1,2,0,2,0,2,313,"Sulfur carrier protein FdhD(312):Protein FdhD(1)","fdhD(313)",717,921,835.03,428,1,"CFBP5877_02286","CFBP5499_02386","NCPPB925_02833"
"g001918_000001","g001918",NA,"hypothetical protein",60,33,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",564,660,658.75,429,1,"CFBP5877_00530","CFBP5499_00623","NCPPB925_01697"
"g002212_000003","g002212","pgk","Phosphoglycerate kinase",80,27,311,1,1,1,0,0,0,0,311,"Phosphoglycerate kinase(311)","pgk(311)",1188,1203,1202.78,430,1,"CFBP5877_03701","CFBP5499_03805","NCPPB925_04071"
"g001677_000003","g001677","rppH","RNA pyrophosphohydrolase",80,35,311,1,1,1,1,0,1,0,311,"RNA pyrophosphohydrolase(312)","rppH(312)",216,558,502.18,431,1,"CFBP5877_02434","CFBP5499_02534","NCPPB925_02682"
"g000518_000002","g000518","hisS","Histidine--tRNA ligase",70,50,311,1,1,1,1,0,1,0,311,"Histidine--tRNA ligase(312)","hisS(312)",738,1695,1539.21,432,1,"CFBP5877_00369","CFBP5499_00462","NCPPB925_01859"
"g004384_000003","g004384","hpt","Hypoxanthine phosphoribosyltransferase",80,18,311,1,1,1,0,0,0,0,311,"Hypoxanthine phosphoribosyltransferase(310):Hypoxanthine-guanine phosphoribosyltransferase(1)","hpt(311)",543,561,545.86,433,1,"CFBP5877_03542","CFBP5499_03643","NCPPB925_04233"
"g005716_000004","g005716","carD","RNA polymerase-binding transcription factor CarD",90,10,311,1,1,1,0,0,0,0,311,"RNA polymerase-binding transcription factor CarD(202):hypothetical protein(109)","carD(202):NA(109)",570,828,571.84,434,1,"CFBP5877_02426","CFBP5499_02526","NCPPB925_02690"
"g001115","g001115","ribN","Riboflavin transporter",50,41,311,1.02,1,3,2,3,2,5,316,"Riboflavin transporter(315):hypothetical protein(3)","ribN(315):NA(3)",876,1005,903.15,435,1,"CFBP5877_03998","CFBP5499_04103","NCPPB925_03771"
"g000133_000001","g000133",NA,"hypothetical protein",60,77,311,1,1,1,1,0,1,0,311,"hypothetical protein(256):putative protein(56)","NA(312)",489,1281,1223.11,436,1,"CFBP5877_04029","CFBP5499_04134","NCPPB925_03740"
"g001060","g001060",NA,"hypothetical protein",50,42,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",564,672,603.55,437,1,"CFBP5877_02641","CFBP5499_02741","NCPPB925_02480"
"g000195","g000195","tusA","Sulfur carrier protein TusA",50,70,311,1,1,1,1,0,1,0,311,"Sulfur carrier protein TusA(298):Sulfurtransferase TusA(14)","tusA(312)",228,264,241.19,438,1,"CFBP5877_03570","CFBP5499_03671","NCPPB925_04205"
"g000106_1_000006","g000106_1",NA,"hypothetical protein",70,36,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",1047,1158,1059.17,439,1,"CFBP5877_04455","CFBP5499_04613","NCPPB925_03257"
"g001902","g001902","cobO","Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase",50,33,311,1,1,1,0,0,0,0,311,"Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase(311)","cobO(311)",618,732,632.46,440,1,"CFBP5877_02469","CFBP5499_02569","NCPPB925_02647"
"g003369_000002","g003369","pccB","Propionyl-CoA carboxylase beta chain",70,23,311,1.06,1,2,0,19,0,19,330,"Propionyl-CoA carboxylase beta chain(330)","pccB(330)",600,1560,1528.09,441,1,"CFBP5877_03522","CFBP5499_03623","NCPPB925_04253"
"g000253_000001","g000253","ttr","Acetyltransferase",60,66,311,1,1,1,0,0,0,0,311,"Acetyltransferase(311)","ttr(311)",519,549,521.9,442,1,"CFBP5877_02730","CFBP5499_02830","NCPPB925_02391"
"g002309_000001","g002309","vdcA","hypothetical protein",60,29,311,1,1,1,1,0,1,0,311,"hypothetical protein(306):Diguanylate cyclase VdcA(5):putative diguanylate cyclase DgcT(1)","NA(306):vdcA(5):dgcT(1)",231,1071,1063.05,443,1,"CFBP5877_01370","CFBP5499_01470","NCPPB925_00846"
"g000274_1_000001","g000274_1","yvgN","Glyoxal reductase",60,65,311,1,1,2,5,1,5,1,312,"Glyoxal reductase(249):putative oxidoreductase YtbE(53):putative oxidoreductase/MSMEI_2347(9):Aldo-keto reductase YhdN(4):hypothetical protein(2)","yvgN(249):ytbE(53):NA(11):yhdN(4)",243,846,832.4,444,1,"CFBP5877_01709","CFBP5499_01809","NCPPB925_00503"
"g001124","g001124","betI","HTH-type transcriptional regulator BetI",50,41,311,1.18,1,2,0,55,0,55,366,"HTH-type transcriptional regulator BetI(196):hypothetical protein(105):Fatty acid metabolism regulator protein(51):HTH-type transcriptional repressor Bm3R1(14)","betI(196):NA(105):fadR(51):bm3R1(14)",345,726,681.86,445,1,"CFBP5877_04502","CFBP5499_04660","NCPPB925_03209"
"g005130_000003","g005130","ppa","Inorganic pyrophosphatase",80,15,311,1,1,1,0,0,0,0,311,"Inorganic pyrophosphatase(311)","ppa(311)",531,546,536.72,446,1,"CFBP5877_02326","CFBP5499_02426","NCPPB925_02793"
"g002310_000002","g002310","ccmC","Heme exporter protein C",70,29,311,1,1,1,0,0,0,0,311,"Heme exporter protein C(311)","ccmC(311)",750,855,772.82,447,1,"CFBP5877_02353","CFBP5499_02453","NCPPB925_02765"
"g000173","g000173","mopA","hypothetical protein",50,74,311,1,1,1,2,0,2,0,311,"hypothetical protein(215):Molybdenum-pterin-binding protein MopA(95):Molybdenum-pterin-binding protein MopB(3)","NA(215):mopA(95):mopB(3)",180,426,392.71,448,1,"CFBP5877_02233","CFBP5499_02333","NCPPB925_02887"
"g001024_1_000006","g001024_1",NA,"hypothetical protein",80,39,311,1,1,1,0,0,0,0,311,"hypothetical protein(311)","NA(311)",129,291,287.9,449,1,"CFBP5877_02780","CFBP5499_02880","NCPPB925_02341"
"g000013_1_000001","g000013_1","fliC","Flagellin",60,198,311,3.84,1,7,21,310,21,884,1195,"Flagellin(898):hypothetical protein(319)","fliC(898):NA(319)",234,1857,1031.9,450,1,"CFBP5877_00200;CFBP5877_00241;CFBP5877_00242;CFBP5877_00243;CFBP5877_00265","CFBP5499_00293;CFBP5499_00334;CFBP5499_00335;CFBP5499_00336;CFBP5499_00358","(NCPPB925_01964:NCPPB925_02027);NCPPB925_01986;NCPPB925_01987;NCPPB925_01988"
"g004142_000003","g004142","gshB","Glutathione synthetase",80,19,311,1,1,1,0,0,0,0,311,"Glutathione synthetase(311)","gshB(311)",948,960,954.5,451,1,"CFBP5877_02793","CFBP5499_02893","NCPPB925_02328"
"g002489_000003","g002489","yheS","putative ABC transporter ATP-binding protein YheS",80,28,311,1.03,1,2,0,9,0,9,320,"putative ABC transporter ATP-binding protein YheS(318):putative ABC transporter ATP-binding protein(1):hypothetical protein(1)","yheS(318):NA(2)",354,2016,1878.76,452,1,"CFBP5877_00838","CFBP5499_00931","NCPPB925_01388"
"g001313","g001313","cobM","Precorrin-4 C(11)-methyltransferase",50,39,311,1,1,1,0,0,0,0,311,"Precorrin-4 C(11)-methyltransferase(311)","cobM(311)",759,792,772.58,453,1,"CFBP5877_02458","CFBP5499_02558","NCPPB925_02658"
"g000331","g000331","yncA","L-methionine sulfoximine/L-methionine sulfone acetyltransferase",50,62,311,1,1,1,77,0,77,0,311,"L-methionine sulfoximine/L-methionine sulfone acetyltransferase(349):hypothetical protein(20):Phosphinothricin N-acetyltransferase(19)","yncA(142):pitA(117):NA(110):pat(19)",540,852,570.36,454,1,"CFBP5877_00564","CFBP5499_00657","NCPPB925_01663"
"g004528_000003","g004528","pncB","Nicotinate phosphoribosyltransferase",80,17,311,1,1,1,1,0,1,0,311,"Nicotinate phosphoribosyltransferase(312)","pncB(312)",333,1365,1301.48,455,1,"CFBP5877_02701","CFBP5499_02801","NCPPB925_02420"
"g000207_000001","g000207","ygfA","5-formyltetrahydrofolate cyclo-ligase",60,71,311,1,1,1,0,0,0,0,311,"5-formyltetrahydrofolate cyclo-ligase(282):hypothetical protein(29)","NA(298):ygfA(13)",579,618,603.67,456,1,"CFBP5877_03693","CFBP5499_03797","NCPPB925_04079"
"g000059_1_000004","g000059_1",NA,"hypothetical protein",70,72,311,1.22,1,2,0,67,0,67,378,"hypothetical protein(378)","NA(378)",171,270,187.87,457,1,"CFBP5877_02712","CFBP5499_02812","NCPPB925_02409"
"g001002_1_000004","g001002_1","gpr","L-glyceraldehyde 3-phosphate reductase",80,29,311,1,1,1,0,0,0,0,311,"L-glyceraldehyde 3-phosphate reductase(311)","gpr(311)",1032,1092,1033.27,458,1,"CFBP5877_01231","CFBP5499_01331","NCPPB925_00985"
"g001238_000002","g001238","pepN","Aminopeptidase N",70,39,311,1,1,1,0,0,0,0,311,"Aminopeptidase N(311)","pepN(311)",2649,2679,2653.05,459,1,"CFBP5877_00679","CFBP5499_00772","NCPPB925_01546"
"g000499","g000499","coaA","Pantothenate kinase",50,55,311,1,1,1,0,0,0,0,311,"Pantothenate kinase(311)","coaA(311)",447,636,631.22,460,1,"CFBP5877_02566","CFBP5499_02666","NCPPB925_02555"
"g003387_000001","g003387","yvoA","HTH-type transcriptional repressor YvoA",60,23,311,1,1,1,0,0,0,0,311,"HTH-type transcriptional repressor YvoA(310):hypothetical protein(1)","yvoA(310):NA(1)",591,768,756.55,461,1,"CFBP5877_02273","CFBP5499_02373","NCPPB925_02846"
"g000540","g000540","araB","L-arabinolactonase",50,54,311,1,1,1,0,0,0,0,311,"L-arabinolactonase(187):6-deoxy-6-sulfogluconolactonase(124)","araB(187):NA(124)",840,891,886.88,462,1,"CFBP5877_00395","CFBP5499_00488","NCPPB925_01833"
"g002192_000001","g002192","deaD","ATP-dependent RNA helicase DeaD",60,30,311,1,1,1,0,0,0,0,311,"ATP-dependent RNA helicase DeaD(311)","deaD(311)",1836,2112,1914.47,463,1,"CFBP5877_04154","CFBP5499_04312","NCPPB925_03560"
"g001236_1_000004","g001236_1","purK","N5-carboxyaminoimidazole ribonucleotide synthase",80,35,311,1.12,1,4,9,35,9,38,349,"N5-carboxyaminoimidazole ribonucleotide synthase(175):4-hydroxy-2-oxovalerate aldolase(164):hypothetical protein(8):2-oxoglutarate carboxylase large subunit(5):2-oxoglutarate carboxylase small subunit(5):Biotin carboxylase(1)","purK(175):mhpE(164):NA(8):cfiA(5):cfiB(5):accC(1)",219,3501,3330.21,464,1,"CFBP5877_02390","CFBP5499_02490","(NCPPB925_02727:NCPPB925_02728)"
"g002172","g002172",NA,"hypothetical protein",50,31,311,1,1,2,0,1,0,1,312,"hypothetical protein(312)","NA(312)",222,300,225.74,465,1,"CFBP5877_03312","CFBP5499_03413","NCPPB925_04463"
"g000101_000002","g000101",NA,"hypothetical protein",70,83,311,2.59,1,5,0,301,0,495,806,"hypothetical protein(806)","NA(806)",144,285,149.77,466,1,"CFBP5877_01347;CFBP5877_02963","CFBP5499_01447;CFBP5499_03064","NCPPB925_00869;NCPPB925_04811"
